Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
CBBL,2012-01-05,346.0,340.0,340.0,340.0,-1.73 %,20.0,6800.0,,,,,340.0,340.0,23.860125456417876,0.0,0.0,,,,,,0.0
CBBL,2012-01-11,340.0,334.0,328.0,328.0,-3.53 %,30.0,9900.0,-0.03529411764705881,-0.03593200922606333,,,338.15384615384613,339.11111111111114,40.812579821200494,-0.9572649572650107,-0.19145299145300215,,,,,,-30.0
CBBL,2012-01-18,328.0,322.0,322.0,322.0,-1.83 %,21.0,6762.0,-0.018292682926829285,-0.018462062839735442,,,335.6686390532544,337.843621399177,49.476348402862605,-2.174982345922558,-0.5881588623469134,,,,,,-51.0
CBBL,2012-01-25,322.0,323.0,323.0,323.0,0.31 %,977.0,315571.0,0.0031055900621117516,0.0031007776782481854,,,333.71961766044603,336.7440938881268,51.033259423503395,-3.0244762276807933,-1.0754223354136894,,,,,,926.0
CBBL,2012-02-06,323.0,320.0,320.0,320.0,-0.93 %,20.0,6400.0,-0.009287925696594423,-0.009331327428884305,326.6,,331.60890725114666,335.50379063715445,44.94961331146002,-3.894883386007791,-1.6393145455325098,,,,,,906.0
CBBL,2012-02-08,320.0,326.0,326.0,326.0,1.88 %,158.0,51508.0,0.018750000000000044,0.018576385572935457,323.8,,330.7459984432779,334.7998061455134,46.73489278752438,-4.053807702235474,-2.1222131768731027,,,,,,1064.0
CBBL,2012-02-16,326.0,320.0,314.0,314.0,-3.68 %,138.0,43932.0,-0.036809815950920255,-0.037504395458454284,321.0,,328.16969099046594,333.25907976436423,54.886404615939384,-5.089388773898293,-2.7156482962781405,,,,,,926.0
CBBL,2012-02-23,314.0,309.0,297.0,297.0,-5.41 %,50.0,15210.0,-0.05414012738853502,-0.05566084710555374,316.0,,323.37435391500964,330.57322200404093,42.26787181594087,-7.1988680890312935,-3.6122922548287715,,,,,,876.0
CBBL,2012-02-28,297.0,292.0,277.0,277.0,-6.73 %,178.0,51106.0,-0.06734006734006737,-0.06971463261536115,306.8,,316.2398379280851,326.6048351889268,46.59420289855073,-10.364997260841733,-4.962833256031364,,,,,,698.0
CBBL,2012-02-29,277.0,282.0,282.0,282.0,1.81 %,82.0,23124.0,0.018050541516245522,0.017889564750775123,299.2,,310.9721705545335,323.3007733230804,55.97424071012099,-12.328602768546943,-6.435987158534481,,,,,,780.0
