Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
GFCL,2012-03-18,178.0,175.0,172.0,172.0,-3.37 %,110.0,19220.0,,,,,172.0,172.0,13.102656608724189,0.0,0.0,,,,,,0.0
GFCL,2012-03-20,172.0,169.0,169.0,169.0,-1.74 %,10.0,1690.0,-0.01744186046511631,-0.0175957618903796,,,171.53846153846155,171.77777777777777,21.255653099228525,-0.23931623931622426,-0.047863247863244855,,,,,,-10.0
GFCL,2012-05-22,169.0,174.0,172.0,174.0,2.96 %,146.0,25256.0,0.029585798816567976,0.029156584291455487,,,171.9171597633136,171.9423868312757,23.413919413919402,-0.025227067962106275,-0.043336011883017146,,,,,,136.0
GFCL,2012-07-02,174.0,171.0,171.0,171.0,-1.72 %,50.0,8550.0,-0.017241379310344862,-0.01739174271186922,,,171.77605826126538,171.87258039932937,23.28088578088581,-0.0965221380639889,-0.0539732371192115,,,,,,86.0
GFCL,2012-07-18,171.0,168.0,168.0,168.0,-1.75 %,50.0,8400.0,-0.01754385964912286,-0.017699577099400975,170.8,,171.1951262210707,171.58572259197166,21.720810112817773,-0.39059637090096544,-0.1212978638755623,,,,,,36.0
GFCL,2012-07-31,168.0,165.0,164.0,164.0,-2.38 %,240.0,39370.0,-0.023809523809523836,-0.02409755157906053,169.2,,170.08818372552136,171.02381721478858,20.31269861446549,-0.935633489267218,-0.2841649889538934,,,,,,-204.0
GFCL,2012-10-03,164.0,161.0,161.0,161.0,-1.83 %,61.0,9821.0,-0.018292682926829285,-0.018462062839735442,167.6,,168.6900016139027,170.28131223591535,21.983766680423727,-1.5913106220126565,-0.5455941155656461,,,,,,-265.0
GFCL,2012-10-10,161.0,158.0,158.0,158.0,-1.86 %,100.0,15800.0,-0.018633540372670843,-0.018809331957496227,164.4,,167.0453859809946,169.37158540362532,15.77974870657792,-2.326199422630708,-0.9017151769786584,,,,,,-365.0
GFCL,2012-11-04,158.0,155.0,155.0,155.0,-1.90 %,1428.0,221340.0,-0.01898734177215189,-0.01916991610772017,161.2,,165.1922496762262,168.3070235218753,16.19264315510044,-3.114773845649097,-1.3443269107127462,,,,,,-1793.0
GFCL,2012-12-03,155.0,158.0,158.0,158.0,1.94 %,387.0,61146.0,0.019354838709677358,0.019169916107720123,159.2,,164.08574972603756,167.54354029803267,27.762430939226434,-3.4577905719951048,-1.767019642969218,,,,,,-1406.0
GFCL,2012-12-04,158.0,155.0,154.0,154.0,-2.53 %,186.0,28730.0,-0.025316455696202556,-0.02564243061333767,157.2,,162.53409592203178,166.540315090771,15.292120526241277,-4.0062191687392215,-2.214859548123219,,,,,,-1592.0
GFCL,2012-12-05,154.0,151.0,146.0,146.0,-5.19 %,3481.0,508576.0,-0.051948051948051965,-0.053345980705292735,154.2,,159.9903888571038,165.0188102692324,12.878246366452174,-5.028421412128608,-2.777571920924297,,,,,,-5073.0
GFCL,2012-12-06,146.0,144.0,132.0,132.0,-9.59 %,17939.0,2452244.0,-0.09589041095890416,-0.10080469912196564,149.0,,155.68417518678015,162.5729724715115,11.836198401401475,-6.888797284731339,-3.599816993685706,,,,,,-23012.0
GFCL,2013-01-27,132.0,128.0,128.0,128.0,-3.03 %,73.0,9344.0,-0.030303030303030276,-0.03077165866675366,143.6,,151.42507131189092,160.0120115476958,9.671381031613947,-8.586940235804889,-4.597241642109543,4.5,,,,,-23085.0
