Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,BNHC,469.2,487.0,469.2,480.0,305.0
2024_03_05,BNHC,489.6,489.6,453.0,455.0,9651.0
2024_03_06,BNHC,464.1,464.1,442.0,456.6,7968.0
2024_03_07,BNHC,447.5,502.0,440.0,483.8,64515.0
2024_03_08,BNHC,447.5,502.0,440.0,483.8,64515.0
2024_03_09,BNHC,447.5,502.0,440.0,483.8,64515.0
2024_03_10,BNHC,474.2,490.0,467.0,480.0,9904.0
2024_03_11,BNHC,474.2,490.0,467.0,480.0,9904.0
2024_03_12,BNHC,489.6,489.6,461.0,470.0,5305.0
2024_03_13,BNHC,465.0,487.0,462.0,470.0,18798.0
2024_03_14,BNHC,479.3,485.5,465.0,479.5,22316.0
2024_03_15,BNHC,479.3,485.5,465.0,479.5,22316.0
2024_03_16,BNHC,479.3,485.5,465.0,479.5,22316.0
2024_03_17,BNHC,471.0,497.0,470.0,480.0,13021.0
2024_03_18,BNHC,483.0,522.0,480.0,500.0,33172.0
2024_03_19,BNHC,510.0,550.0,498.0,550.0,66462.0
2024_03_20,BNHC,550.0,605.0,519.1,605.0,29502.0
2024_03_21,BNHC,617.0,617.0,544.5,544.5,82137.0
2024_03_22,BNHC,617.0,617.0,544.5,544.5,82137.0
2024_03_23,BNHC,617.0,617.0,544.5,544.5,82137.0
2024_03_24,BNHC,617.0,617.0,544.5,544.5,82137.0
2024_03_25,BNHC,533.7,533.7,490.1,490.1,28031.0
2024_03_26,BNHC,480.3,508.8,480.3,497.0,19846.0
2024_03_27,BNHC,506.0,506.0,478.3,480.1,15944.0
2024_03_28,BNHC,473.0,493.6,473.0,490.0,24760.0
2024_03_29,BNHC,473.0,493.6,473.0,490.0,24760.0
2024_03_30,BNHC,473.0,493.6,473.0,490.0,24760.0
2024_03_31,BNHC,480.3,499.6,478.3,479.0,8635.0
2024_04_01,BNHC,478.0,480.4,470.1,475.0,8667.0
2024_04_02,BNHC,471.0,473.0,462.0,464.0,6711.0
2024_04_03,BNHC,473.2,473.2,452.4,460.0,6436.0
2024_04_04,BNHC,452.0,487.0,447.9,469.2,15732.0
2024_04_05,BNHC,452.0,487.0,447.9,469.2,15732.0
2024_04_06,BNHC,452.0,487.0,447.9,469.2,15732.0
2024_04_07,BNHC,460.0,505.0,451.0,505.0,9072.0
2024_04_08,BNHC,460.0,505.0,451.0,505.0,9072.0
2024_04_09,BNHC,495.0,504.9,485.0,485.0,20349.0
2024_04_10,BNHC,475.3,512.0,470.4,480.0,9713.0
2024_04_11,BNHC,475.3,512.0,470.4,480.0,9713.0
2024_04_12,BNHC,475.3,512.0,470.4,480.0,9713.0
2024_04_13,BNHC,475.3,512.0,470.4,480.0,9713.0
2024_04_14,BNHC,471.5,498.0,471.5,484.3,5245.0
2024_04_15,BNHC,474.7,486.5,470.0,475.0,8583.0
2024_04_16,BNHC,467.4,478.0,466.0,469.9,1572.0
2024_04_17,BNHC,467.4,478.0,466.0,469.9,1572.0
2024_04_18,BNHC,465.3,474.0,452.0,460.9,3111.0
2024_04_19,BNHC,465.3,474.0,452.0,460.9,3111.0
2024_04_20,BNHC,465.3,474.0,452.0,460.9,3111.0
2024_04_21,BNHC,470.1,470.1,452.2,467.8,5246.0
2024_04_22,BNHC,475.0,475.0,454.0,455.0,2490.0
2024_04_23,BNHC,475.0,475.0,454.0,455.0,2490.0
2024_04_24,BNHC,456.0,463.0,445.0,454.9,5551.0
2024_04_25,BNHC,447.0,455.0,446.6,451.0,5402.0
2024_04_26,BNHC,447.0,455.0,446.6,451.0,5402.0
2024_04_27,BNHC,447.0,455.0,446.6,451.0,5402.0
2024_04_28,BNHC,459.0,459.0,449.9,450.0,2919.0
2024_04_29,BNHC,446.0,458.0,442.0,446.0,4731.0
2024_04_30,BNHC,446.0,464.0,441.0,456.0,5908.0
2024_05_01,BNHC,446.0,464.0,441.0,456.0,5908.0
2024_05_02,BNHC,456.0,472.9,448.0,448.2,2062.0
2024_05_03,BNHC,456.0,472.9,448.0,448.2,2062.0
2024_05_04,BNHC,456.0,472.9,448.0,448.2,2062.0
2024_05_05,BNHC,455.0,458.9,443.0,444.0,3341.0
2024_05_06,BNHC,452.0,452.0,427.0,437.9,5675.0
2024_05_07,BNHC,440.0,443.0,426.3,434.8,3201.0
2024_05_08,BNHC,427.1,435.0,422.0,427.9,2275.0
2024_05_09,BNHC,434.9,448.6,427.2,445.0,6663.0
2024_05_10,BNHC,434.9,448.6,427.2,445.0,6663.0
2024_05_11,BNHC,434.9,448.6,427.2,445.0,6663.0
2024_05_12,BNHC,441.0,467.0,441.0,454.0,9744.0
2024_05_13,BNHC,454.0,462.0,449.0,453.0,2507.0
2024_05_14,BNHC,444.0,492.0,444.0,492.0,26303.0
2024_05_15,BNHC,501.8,530.4,493.0,520.0,46632.0
2024_05_16,BNHC,510.1,525.0,510.0,520.0,21402.0
2024_05_17,BNHC,510.1,525.0,510.0,520.0,21402.0
2024_05_18,BNHC,510.1,525.0,510.0,520.0,21402.0
2024_05_19,BNHC,520.0,571.0,520.0,547.0,31815.0
2024_05_20,BNHC,536.1,601.7,536.1,601.7,105690.0
2024_05_21,BNHC,613.7,661.8,605.0,610.0,29624.0
2024_05_22,BNHC,622.2,671.0,593.1,671.0,30363.0
2024_05_23,BNHC,622.2,671.0,593.1,671.0,30363.0
2024_05_24,BNHC,622.2,671.0,593.1,671.0,30363.0
2024_05_25,BNHC,622.2,671.0,593.1,671.0,30363.0
2024_05_26,BNHC,657.6,730.0,603.9,720.0,64670.0
2024_05_27,BNHC,734.4,734.4,648.0,648.0,7827.0
2024_05_28,BNHC,734.4,734.4,648.0,648.0,7827.0
2024_05_29,BNHC,635.1,635.1,583.3,587.0,37942.0
2024_05_30,BNHC,577.0,597.0,577.0,591.0,14082.0
2024_05_31,BNHC,577.0,597.0,577.0,591.0,14082.0
2024_06_01,BNHC,577.0,597.0,577.0,591.0,14082.0
2024_06_02,BNHC,579.2,636.0,579.2,611.0,27355.0
2024_06_03,BNHC,611.0,672.0,596.9,672.0,66873.0
2024_06_04,BNHC,658.6,710.0,620.0,635.0,45110.0
2024_06_05,BNHC,622.3,686.0,622.3,650.7,21282.0
2024_06_06,BNHC,637.7,715.0,622.1,715.0,35257.0
2024_06_07,BNHC,637.7,715.0,622.1,715.0,35257.0
2024_06_08,BNHC,637.7,715.0,622.1,715.0,35257.0
2024_06_09,BNHC,700.7,700.7,643.5,643.5,47275.0
2024_06_10,BNHC,630.7,656.0,617.1,624.1,17818.0
2024_06_11,BNHC,625.0,630.0,620.1,628.0,4945.0
2024_06_12,BNHC,620.0,625.0,605.0,609.0,14820.0
2024_06_13,BNHC,597.3,619.0,597.1,607.3,16468.0
2024_06_14,BNHC,597.3,619.0,597.1,607.3,16468.0
2024_06_15,BNHC,597.3,619.0,597.1,607.3,16468.0
2024_06_16,BNHC,596.0,635.0,596.0,629.0,20294.0
2024_06_17,BNHC,596.0,635.0,596.0,629.0,20294.0
2024_06_18,BNHC,616.5,642.8,616.5,640.1,32139.0
2024_06_19,BNHC,652.9,688.0,639.9,660.0,55418.0
2024_06_20,BNHC,646.8,696.0,646.8,671.1,58921.0
2024_06_21,BNHC,646.8,696.0,646.8,671.1,58921.0
2024_06_22,BNHC,646.8,696.0,646.8,671.1,58921.0
2024_06_23,BNHC,657.7,726.0,633.0,725.9,30234.0
2024_06_24,BNHC,711.4,711.4,653.4,675.0,16396.0
2024_06_25,BNHC,661.5,691.0,649.0,655.0,17362.0
2024_06_26,BNHC,667.9,667.9,639.1,641.1,8640.0
2024_06_27,BNHC,653.0,653.0,631.0,640.0,8763.0
2024_06_28,BNHC,653.0,653.0,631.0,640.0,8763.0
2024_06_29,BNHC,653.0,653.0,631.0,640.0,8763.0
2024_06_30,BNHC,631.0,647.0,631.0,641.0,8250.0
2024_07_01,BNHC,642.0,653.8,642.0,649.0,11325.0
2024_07_02,BNHC,661.9,701.0,637.1,645.0,5450.0
2024_07_03,BNHC,635.0,645.0,620.3,635.0,11769.0
2024_07_04,BNHC,622.3,652.8,622.3,640.4,11878.0
2024_07_05,BNHC,622.3,652.8,622.3,640.4,11878.0
2024_07_06,BNHC,622.3,652.8,622.3,640.4,11878.0
2024_07_07,BNHC,653.2,680.0,653.2,665.0,46370.0
2024_07_08,BNHC,651.7,705.0,651.7,675.1,31776.0
2024_07_09,BNHC,662.0,742.0,657.0,742.0,30415.0
2024_07_10,BNHC,727.2,727.2,667.8,667.8,63030.0
2024_07_11,BNHC,654.5,668.0,641.5,655.0,45136.0
2024_07_12,BNHC,654.5,668.0,641.5,655.0,45136.0
2024_07_13,BNHC,654.5,668.0,641.5,655.0,45136.0
2024_07_14,BNHC,655.0,668.1,647.1,649.0,15591.0
2024_07_15,BNHC,661.0,661.0,636.0,637.0,13513.0
2024_07_16,BNHC,640.0,659.0,640.0,655.0,43195.0
2024_07_17,BNHC,657.0,664.9,635.0,650.0,19832.0
2024_07_18,BNHC,662.9,663.1,643.1,654.6,25070.0
2024_07_19,BNHC,662.9,663.1,643.1,654.6,25070.0
2024_07_20,BNHC,662.9,663.1,643.1,654.6,25070.0
2024_07_21,BNHC,667.6,667.6,644.0,648.3,29699.0
2024_07_22,BNHC,637.0,654.0,637.0,646.0,7619.0
2024_07_23,BNHC,645.0,654.0,641.2,648.0,20456.0
2024_07_24,BNHC,659.0,659.0,632.4,633.3,16391.0
