Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,BPCL,304.9,329.0,304.9,329.0,370.0
2024_03_05,BPCL,335.0,335.0,309.0,311.0,15871.0
2024_03_06,BPCL,315.0,315.5,308.0,309.0,7797.0
2024_03_07,BPCL,315.0,321.0,308.2,310.0,7339.0
2024_03_08,BPCL,315.0,321.0,308.2,310.0,7339.0
2024_03_09,BPCL,315.0,321.0,308.2,310.0,7339.0
2024_03_10,BPCL,316.2,316.2,311.5,312.0,4009.0
2024_03_11,BPCL,316.2,316.2,311.5,312.0,4009.0
2024_03_12,BPCL,314.0,316.4,311.2,316.0,13741.0
2024_03_13,BPCL,316.0,318.0,312.0,314.5,6475.0
2024_03_14,BPCL,314.0,316.1,311.1,311.1,6799.0
2024_03_15,BPCL,314.0,316.1,311.1,311.1,6799.0
2024_03_16,BPCL,314.0,316.1,311.1,311.1,6799.0
2024_03_17,BPCL,308.2,313.9,308.2,310.0,3187.0
2024_03_18,BPCL,309.0,313.9,308.0,309.2,5398.0
2024_03_19,BPCL,309.0,312.0,308.5,310.0,8112.0
2024_03_20,BPCL,316.0,316.0,306.0,306.1,7418.0
2024_03_21,BPCL,312.2,312.2,306.0,307.0,8294.0
2024_03_22,BPCL,312.2,312.2,306.0,307.0,8294.0
2024_03_23,BPCL,312.2,312.2,306.0,307.0,8294.0
2024_03_24,BPCL,312.2,312.2,306.0,307.0,8294.0
2024_03_25,BPCL,305.0,308.0,303.4,304.0,10724.0
2024_03_26,BPCL,304.4,308.0,304.0,305.1,7516.0
2024_03_27,BPCL,308.0,308.0,304.0,304.0,7561.0
2024_03_28,BPCL,301.1,306.5,301.1,305.0,4274.0
2024_03_29,BPCL,301.1,306.5,301.1,305.0,4274.0
2024_03_30,BPCL,301.1,306.5,301.1,305.0,4274.0
2024_03_31,BPCL,301.0,303.0,300.4,301.0,14561.0
2024_04_01,BPCL,307.0,307.0,300.0,300.9,7593.0
2024_04_02,BPCL,306.0,306.0,300.0,300.0,8385.0
2024_04_03,BPCL,305.0,305.0,298.5,299.1,10080.0
2024_04_04,BPCL,304.0,304.0,296.1,296.1,14534.0
2024_04_05,BPCL,304.0,304.0,296.1,296.1,14534.0
2024_04_06,BPCL,304.0,304.0,296.1,296.1,14534.0
2024_04_07,BPCL,302.0,302.0,296.0,297.8,12704.0
2024_04_08,BPCL,302.0,302.0,296.0,297.8,12704.0
2024_04_09,BPCL,303.7,303.7,298.0,300.0,14482.0
2024_04_10,BPCL,300.0,300.6,297.1,298.0,10516.0
2024_04_11,BPCL,300.0,300.6,297.1,298.0,10516.0
2024_04_12,BPCL,300.0,300.6,297.1,298.0,10516.0
2024_04_13,BPCL,300.0,300.6,297.1,298.0,10516.0
2024_04_14,BPCL,303.9,309.9,297.2,299.8,5829.0
2024_04_15,BPCL,305.7,305.7,297.0,298.0,9489.0
2024_04_16,BPCL,298.0,303.0,296.1,298.0,4314.0
2024_04_17,BPCL,298.0,303.0,296.1,298.0,4314.0
2024_04_18,BPCL,296.0,297.0,295.5,297.0,3883.0
2024_04_19,BPCL,296.0,297.0,295.5,297.0,3883.0
2024_04_20,BPCL,296.0,297.0,295.5,297.0,3883.0
2024_04_21,BPCL,296.0,296.0,292.0,294.0,12615.0
2024_04_22,BPCL,299.8,299.8,294.0,294.0,5154.0
2024_04_23,BPCL,299.8,299.8,294.0,294.0,5154.0
2024_04_24,BPCL,294.0,297.0,292.6,293.1,4991.0
2024_04_25,BPCL,295.0,295.0,292.2,292.8,5333.0
2024_04_26,BPCL,295.0,295.0,292.2,292.8,5333.0
2024_04_27,BPCL,295.0,295.0,292.2,292.8,5333.0
2024_04_28,BPCL,295.0,297.0,293.0,294.0,10729.0
2024_04_29,BPCL,296.9,298.0,294.0,296.0,4866.0
2024_04_30,BPCL,296.0,298.0,294.1,296.8,7849.0
2024_05_01,BPCL,296.0,298.0,294.1,296.8,7849.0
2024_05_02,BPCL,302.7,302.7,296.5,296.6,5510.0
2024_05_03,BPCL,302.7,302.7,296.5,296.6,5510.0
2024_05_04,BPCL,302.7,302.7,296.5,296.6,5510.0
2024_05_05,BPCL,295.0,300.9,293.5,293.5,4890.0
2024_05_06,BPCL,299.3,299.3,292.0,292.0,15474.0
2024_05_07,BPCL,297.0,297.0,291.5,291.5,5386.0
2024_05_08,BPCL,290.0,296.9,290.0,290.0,5720.0
2024_05_09,BPCL,294.9,294.9,288.0,292.0,7586.0
2024_05_10,BPCL,294.9,294.9,288.0,292.0,7586.0
2024_05_11,BPCL,294.9,294.9,288.0,292.0,7586.0
2024_05_12,BPCL,289.1,292.0,289.0,290.0,8184.0
2024_05_13,BPCL,284.4,293.0,284.4,291.0,7971.0
2024_05_14,BPCL,296.8,296.8,290.0,294.5,4481.0
2024_05_15,BPCL,294.5,299.8,290.1,294.0,5355.0
