Date,Symbol,Open,High,Low,Close,Volume
2025_05_21,EBLD91,1000.0,1025.0,996.0,1025.0,1195.0
2025_05_22,EBLD91,1018.0,1025.0,1015.0,1024.0,1066.0
2025_05_23,EBLD91,1018.0,1025.0,1015.0,1024.0,1066.0
2025_05_24,EBLD91,1018.0,1025.0,1015.0,1024.0,1066.0
2025_05_25,EBLD91,1015.0,1030.0,1010.0,1026.26,1433.0
2025_05_26,EBLD91,1015.0,1045.0,1015.0,1015.0,2286.0
2025_05_27,EBLD91,1017.1,1025.0,1010.1,1025.0,325.0
2025_05_28,EBLD91,1015.1,1025.0,1015.1,1017.1,75.0
2025_05_29,EBLD91,1015.1,1025.0,1015.1,1017.1,75.0
2025_05_30,EBLD91,1015.1,1025.0,1015.1,1017.1,75.0
2025_05_31,EBLD91,1015.1,1025.0,1015.1,1017.1,75.0
2025_06_01,EBLD91,1015.1,1025.0,1015.1,1017.1,75.0
2025_06_02,EBLD91,1010.1,1037.4,1010.1,1037.4,475.0
2025_06_03,EBLD91,1020.0,1031.0,1020.0,1025.0,265.0
2025_06_04,EBLD91,1015.0,1021.0,1015.0,1021.0,150.0
2025_06_05,EBLD91,1000.6,1030.3,1000.6,1029.0,475.0
2025_06_06,EBLD91,1000.6,1030.3,1000.6,1029.0,475.0
2025_06_07,EBLD91,1000.6,1030.3,1000.6,1029.0,475.0
2025_06_08,EBLD91,1030.0,1040.0,1026.0,1030.0,235.0
2025_06_09,EBLD91,1025.0,1045.0,1020.0,1026.0,3045.0
2025_06_10,EBLD91,1026.0,1040.0,1017.0,1038.29,650.0
2025_06_11,EBLD91,1018.0,1030.0,1018.0,1030.0,75.0
2025_06_12,EBLD91,1030.0,1035.0,1030.0,1035.0,50.0
2025_06_13,EBLD91,1030.0,1035.0,1030.0,1035.0,50.0
2025_06_14,EBLD91,1030.0,1035.0,1030.0,1035.0,50.0
2025_06_15,EBLD91,1025.0,1035.0,1025.0,1035.0,165.0
2025_06_16,EBLD91,1024.0,1024.0,1024.0,1024.0,100.0
2025_06_17,EBLD91,1024.0,1024.0,1024.0,1024.0,50.0
2025_06_18,EBLD91,1025.0,1029.0,1025.0,1029.0,475.0
2025_06_19,EBLD91,1030.1,1039.0,1030.1,1039.0,375.0
2025_06_20,EBLD91,1030.1,1039.0,1030.1,1039.0,375.0
2025_06_21,EBLD91,1030.1,1039.0,1030.1,1039.0,375.0
2025_06_22,EBLD91,1026.0,1039.0,1026.0,1039.0,75.0
2025_06_23,EBLD91,1045.0,1045.0,1026.0,1027.0,2476.0
2025_06_24,EBLD91,1030.0,1030.1,1030.0,1030.1,50.0
2025_06_25,EBLD91,1030.1,1047.0,1028.0,1028.0,290.0
2025_06_29,EBLD91,1028.0,1045.0,1028.0,1045.0,450.0
2025_06_30,EBLD91,1024.2,1026.0,1024.2,1026.0,55.0
2025_07_01,EBLD91,1026.0,1030.0,1026.0,1030.0,75.0
2025_07_02,EBLD91,1030.0,1030.0,1030.0,1030.0,50.0
2025_07_03,EBLD91,1030.0,1040.0,1026.0,1026.5,110.0
2025_07_04,EBLD91,1030.0,1040.0,1026.0,1026.5,110.0
2025_07_05,EBLD91,1030.0,1040.0,1026.0,1026.5,110.0
2025_07_06,EBLD91,1020.0,1030.0,1020.0,1025.0,150.0
2025_07_07,EBLD91,1023.0,1023.0,1023.0,1023.0,15.0
2025_07_08,EBLD91,1023.0,1023.1,1023.0,1023.1,50.0
2025_07_09,EBLD91,1026.0,1026.0,1025.0,1025.0,100.0
2025_07_10,EBLD91,1020.1,1020.1,1020.1,1020.1,25.0
2025_07_11,EBLD91,1020.1,1020.1,1020.1,1020.1,25.0
2025_07_12,EBLD91,1020.1,1020.1,1020.1,1020.1,25.0
2025_07_13,EBLD91,1020.1,1030.0,1020.1,1030.0,85.0
2025_07_14,EBLD91,1010.0,1030.0,1010.0,1020.0,300.0
