Date,Symbol,Open,High,Low,Close,Volume
2024_06_25,GBILD84/85,1000.0,1100.0,1000.0,1100.0,770.0
2024_06_26,GBILD84/85,1105.0,1110.0,1101.0,1110.0,900.0
2024_06_27,GBILD84/85,1120.0,1141.0,1098.0,1141.0,570.0
2024_06_28,GBILD84/85,1120.0,1141.0,1098.0,1141.0,570.0
2024_06_29,GBILD84/85,1120.0,1141.0,1098.0,1141.0,570.0
2024_06_30,GBILD84/85,1121.0,1147.5,1121.0,1147.5,875.0
2024_07_01,GBILD84/85,1150.0,1190.0,1150.0,1166.2,1480.0
2024_07_02,GBILD84/85,1143.0,1143.0,1143.0,1143.0,15.0
2024_07_03,GBILD84/85,1130.0,1130.0,1130.0,1130.0,25.0
2024_07_04,GBILD84/85,1110.0,1110.0,1110.0,1110.0,50.0
2024_07_05,GBILD84/85,1110.0,1110.0,1110.0,1110.0,50.0
2024_07_06,GBILD84/85,1110.0,1110.0,1110.0,1110.0,50.0
2024_07_07,GBILD84/85,1130.0,1150.0,1130.0,1135.0,370.0
2024_07_08,GBILD84/85,1130.0,1150.0,1124.0,1137.0,655.0
2024_07_09,GBILD84/85,1159.7,1200.0,1159.7,1180.0,100145.0
2024_07_10,GBILD84/85,1180.0,1180.0,1170.0,1170.0,95.0
2024_07_11,GBILD84/85,1189.9,1190.0,1189.9,1190.0,1930.0
2024_07_12,GBILD84/85,1189.9,1190.0,1189.9,1190.0,1930.0
2024_07_13,GBILD84/85,1189.9,1190.0,1189.9,1190.0,1930.0
2024_07_14,GBILD84/85,1168.0,1170.0,1168.0,1170.0,150.0
2024_07_15,GBILD84/85,1172.0,1172.0,1170.0,1170.0,10015.0
2024_07_16,GBILD84/85,1170.0,1170.0,1170.0,1170.0,25.0
2024_07_21,GBILD84/85,1155.0,1155.0,1155.0,1155.0,226.0
2024_07_22,GBILD84/85,1155.0,1155.0,1155.0,1155.0,210.0
2024_07_23,GBILD84/85,1150.0,1150.0,1150.0,1150.0,175.0
2024_07_25,GBILD84/85,1155.0,1155.0,1155.0,1155.0,25.0
2024_07_26,GBILD84/85,1155.0,1155.0,1155.0,1155.0,25.0
2024_07_27,GBILD84/85,1155.0,1155.0,1155.0,1155.0,25.0
2024_07_30,GBILD84/85,1155.0,1155.0,1155.0,1155.0,65.0
2024_08_01,GBILD84/85,1135.0,1135.0,1135.0,1135.0,75.0
2024_08_02,GBILD84/85,1135.0,1135.0,1135.0,1135.0,75.0
2024_08_03,GBILD84/85,1135.0,1135.0,1135.0,1135.0,75.0
2024_08_04,GBILD84/85,1135.0,1135.0,1135.0,1135.0,75.0
2024_08_05,GBILD84/85,1135.0,1135.0,1135.0,1135.0,150.0
2024_08_06,GBILD84/85,1141.0,1141.0,1140.0,1140.0,200.0
2024_08_07,GBILD84/85,1140.0,1140.0,1140.0,1140.0,25.0
2024_08_12,GBILD84/85,1140.0,1140.0,1140.0,1140.0,25.0
2024_08_13,GBILD84/85,1150.0,1150.0,1141.0,1141.0,125.0
2024_08_14,GBILD84/85,1140.0,1145.0,1140.0,1145.0,85.0
2024_08_18,GBILD84/85,1140.0,1140.0,1140.0,1140.0,25.0
2024_08_19,GBILD84/85,1140.0,1140.0,1140.0,1140.0,25.0
2024_08_20,GBILD84/85,1140.0,1140.0,1140.0,1140.0,25.0
2024_08_22,GBILD84/85,1140.0,1140.0,1140.0,1140.0,50.0
2024_08_23,GBILD84/85,1140.0,1140.0,1140.0,1140.0,50.0
2024_08_24,GBILD84/85,1140.0,1140.0,1140.0,1140.0,50.0
2024_08_25,GBILD84/85,1140.0,1140.0,1140.0,1140.0,125.0
