Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,GMFIL,346.8,353.7,346.8,353.7,20.0
2024_03_05,GMFIL,360.7,360.7,343.0,349.0,7081.0
2024_03_06,GMFIL,353.9,356.0,343.0,354.8,6273.0
2024_03_07,GMFIL,361.0,361.0,349.0,350.5,5242.0
2024_03_08,GMFIL,361.0,361.0,349.0,350.5,5242.0
2024_03_09,GMFIL,361.0,361.0,349.0,350.5,5242.0
2024_03_10,GMFIL,357.0,360.0,351.7,357.0,6672.0
2024_03_11,GMFIL,357.0,360.0,351.7,357.0,6672.0
2024_03_12,GMFIL,360.0,370.0,360.0,367.4,9424.0
2024_03_13,GMFIL,370.0,380.0,368.0,368.1,19736.0
2024_03_14,GMFIL,373.0,380.0,361.2,370.9,15513.0
2024_03_15,GMFIL,373.0,380.0,361.2,370.9,15513.0
2024_03_16,GMFIL,373.0,380.0,361.2,370.9,15513.0
2024_03_17,GMFIL,370.0,377.0,361.0,369.9,12557.0
2024_03_18,GMFIL,374.0,374.0,362.0,366.0,6794.0
2024_03_19,GMFIL,373.0,384.0,370.0,370.0,29784.0
2024_03_20,GMFIL,377.0,384.0,361.9,362.9,6748.0
2024_03_21,GMFIL,370.0,377.4,361.0,366.0,31370.0
2024_03_22,GMFIL,370.0,377.4,361.0,366.0,31370.0
2024_03_23,GMFIL,370.0,377.4,361.0,366.0,31370.0
2024_03_24,GMFIL,370.0,377.4,361.0,366.0,31370.0
2024_03_25,GMFIL,361.0,364.0,356.0,360.0,4653.0
2024_03_26,GMFIL,365.9,365.9,354.3,364.0,1797.0
2024_03_27,GMFIL,369.0,369.0,354.0,354.0,5805.0
2024_03_28,GMFIL,352.0,363.9,350.0,352.0,9483.0
2024_03_29,GMFIL,352.0,363.9,350.0,352.0,9483.0
2024_03_30,GMFIL,352.0,363.9,350.0,352.0,9483.0
2024_03_31,GMFIL,358.0,359.0,350.0,359.0,5063.0
2024_04_01,GMFIL,353.0,365.0,352.0,352.6,3561.0
2024_04_02,GMFIL,359.5,359.6,350.0,357.0,2467.0
2024_04_03,GMFIL,350.3,354.0,349.0,354.0,5840.0
2024_04_04,GMFIL,358.0,368.2,349.0,356.0,10817.0
2024_04_05,GMFIL,358.0,368.2,349.0,356.0,10817.0
2024_04_06,GMFIL,358.0,368.2,349.0,356.0,10817.0
2024_04_07,GMFIL,351.1,377.9,351.0,373.0,30104.0
2024_04_08,GMFIL,351.1,377.9,351.0,373.0,30104.0
2024_04_09,GMFIL,380.4,387.6,373.0,382.0,61127.0
2024_04_10,GMFIL,385.0,387.8,366.0,370.0,23852.0
2024_04_11,GMFIL,385.0,387.8,366.0,370.0,23852.0
2024_04_12,GMFIL,385.0,387.8,366.0,370.0,23852.0
