Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,HHL,328.0,350.0,328.0,350.0,4022.0
2024_03_05,HHL,357.0,357.0,327.0,334.0,24342.0
2024_03_06,HHL,327.4,344.7,323.0,334.0,26579.0
2024_03_07,HHL,340.6,346.9,325.0,332.0,21090.0
2024_03_08,HHL,340.6,346.9,325.0,332.0,21090.0
2024_03_09,HHL,340.6,346.9,325.0,332.0,21090.0
2024_03_10,HHL,330.1,338.0,330.0,330.0,8998.0
2024_03_11,HHL,330.1,338.0,330.0,330.0,8998.0
2024_03_12,HHL,336.6,343.0,323.0,335.0,23768.0
2024_03_13,HHL,335.0,340.0,326.0,334.5,13428.0
2024_03_14,HHL,328.0,335.0,325.4,327.0,12029.0
2024_03_15,HHL,328.0,335.0,325.4,327.0,12029.0
2024_03_16,HHL,328.0,335.0,325.4,327.0,12029.0
2024_03_17,HHL,323.5,329.6,320.0,321.2,17156.0
2024_03_18,HHL,320.0,339.4,318.0,338.0,27386.0
2024_03_19,HHL,336.0,347.8,335.0,337.9,36327.0
2024_03_20,HHL,340.0,351.4,332.6,338.1,36600.0
2024_03_21,HHL,343.9,343.9,331.6,334.0,11057.0
2024_03_22,HHL,343.9,343.9,331.6,334.0,11057.0
2024_03_23,HHL,343.9,343.9,331.6,334.0,11057.0
2024_03_24,HHL,343.9,343.9,331.6,334.0,11057.0
2024_03_25,HHL,340.0,367.1,330.0,355.0,79379.0
2024_03_26,HHL,359.9,377.2,345.0,366.0,113628.0
2024_03_27,HHL,361.3,375.0,353.0,353.0,47447.0
2024_03_28,HHL,359.0,388.3,342.1,383.8,98880.0
2024_03_29,HHL,359.0,388.3,342.1,383.8,98880.0
2024_03_30,HHL,359.0,388.3,342.1,383.8,98880.0
2024_03_31,HHL,391.4,415.0,380.0,397.0,121674.0
2024_04_01,HHL,400.0,400.1,372.1,372.1,58009.0
2024_04_02,HHL,364.7,382.0,358.0,362.0,38756.0
2024_04_03,HHL,365.0,382.3,358.0,362.5,31030.0
2024_04_04,HHL,362.5,378.0,355.0,372.0,30263.0
2024_04_05,HHL,362.5,378.0,355.0,372.0,30263.0
2024_04_06,HHL,362.5,378.0,355.0,372.0,30263.0
2024_04_07,HHL,379.0,390.0,366.0,384.0,41389.0
2024_04_08,HHL,379.0,390.0,366.0,384.0,41389.0
2024_04_09,HHL,388.0,416.0,383.0,408.0,78512.0
2024_04_10,HHL,416.0,420.0,387.0,387.0,71066.0
2024_04_11,HHL,416.0,420.0,387.0,387.0,71066.0
2024_04_12,HHL,416.0,420.0,387.0,387.0,71066.0
2024_04_13,HHL,416.0,420.0,387.0,387.0,71066.0
2024_04_14,HHL,387.0,394.0,372.6,373.1,43174.0
2024_04_15,HHL,369.5,385.0,367.0,385.0,38204.0
2024_04_16,HHL,385.0,385.0,367.0,373.5,24981.0
2024_04_17,HHL,385.0,385.0,367.0,373.5,24981.0
2024_04_18,HHL,378.0,378.0,356.0,359.0,15057.0
2024_04_19,HHL,378.0,378.0,356.0,359.0,15057.0
2024_04_20,HHL,378.0,378.0,356.0,359.0,15057.0
2024_04_21,HHL,366.1,374.0,353.0,356.2,12571.0
2024_04_22,HHL,363.3,369.0,357.1,366.9,25519.0
2024_04_23,HHL,363.3,369.0,357.1,366.9,25519.0
2024_04_24,HHL,359.6,380.9,358.1,364.0,15900.0
2024_04_25,HHL,360.0,368.9,353.7,354.0,15902.0
2024_04_26,HHL,360.0,368.9,353.7,354.0,15902.0
2024_04_27,HHL,360.0,368.9,353.7,354.0,15902.0
2024_04_28,HHL,361.0,366.0,350.0,354.0,17308.0
2024_04_29,HHL,361.0,361.0,351.0,358.0,16486.0
2024_04_30,HHL,365.1,375.0,351.0,371.2,29177.0
2024_05_01,HHL,365.1,375.0,351.0,371.2,29177.0
2024_05_02,HHL,370.0,370.0,350.0,356.0,18099.0
2024_05_03,HHL,370.0,370.0,350.0,356.0,18099.0
2024_05_04,HHL,370.0,370.0,350.0,356.0,18099.0
2024_05_05,HHL,349.1,356.0,343.0,352.5,15660.0
2024_05_06,HHL,346.0,350.0,338.8,338.8,13236.0
