Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,JOSHI,356.4,384.4,355.4,384.4,15897.0
2024_03_05,JOSHI,388.0,388.0,346.0,346.0,369561.0
2024_03_06,JOSHI,346.0,379.0,333.6,376.0,173733.0
2024_03_07,JOSHI,368.5,390.9,341.0,363.0,206185.0
2024_03_08,JOSHI,368.5,390.9,341.0,363.0,206185.0
2024_03_09,JOSHI,368.5,390.9,341.0,363.0,206185.0
2024_03_10,JOSHI,355.8,362.0,336.7,342.0,229675.0
2024_03_11,JOSHI,355.8,362.0,336.7,342.0,229675.0
2024_03_12,JOSHI,345.0,355.0,331.3,337.0,225308.0
2024_03_13,JOSHI,333.0,338.6,328.0,329.0,91881.0
2024_03_14,JOSHI,326.0,342.6,326.0,338.0,100689.0
2024_03_15,JOSHI,326.0,342.6,326.0,338.0,100689.0
2024_03_16,JOSHI,326.0,342.6,326.0,338.0,100689.0
2024_03_17,JOSHI,335.0,345.0,334.0,334.0,63258.0
2024_03_18,JOSHI,339.9,342.0,333.0,336.0,72085.0
2024_03_19,JOSHI,334.0,353.9,334.0,345.0,156129.0
2024_03_20,JOSHI,351.9,352.9,337.6,338.0,73610.0
2024_03_21,JOSHI,344.7,344.7,333.0,335.0,43075.0
2024_03_22,JOSHI,344.7,344.7,333.0,335.0,43075.0
2024_03_23,JOSHI,344.7,344.7,333.0,335.0,43075.0
2024_03_24,JOSHI,344.7,344.7,333.0,335.0,43075.0
2024_03_25,JOSHI,340.9,340.9,326.5,335.0,67256.0
2024_03_26,JOSHI,335.0,364.0,333.2,354.0,234624.0
2024_03_27,JOSHI,361.0,375.0,350.0,359.0,230182.0
2024_03_28,JOSHI,356.7,359.8,345.0,347.0,132372.0
2024_03_29,JOSHI,356.7,359.8,345.0,347.0,132372.0
2024_03_30,JOSHI,356.7,359.8,345.0,347.0,132372.0
2024_03_31,JOSHI,341.0,356.0,336.0,338.0,125433.0
2024_04_01,JOSHI,338.0,344.0,332.0,333.0,89350.0
2024_04_02,JOSHI,339.0,339.0,330.0,332.1,72056.0
2024_04_03,JOSHI,336.0,336.0,330.0,332.8,36245.0
2024_04_04,JOSHI,339.4,339.4,328.0,329.0,58184.0
2024_04_05,JOSHI,339.4,339.4,328.0,329.0,58184.0
2024_04_06,JOSHI,339.4,339.4,328.0,329.0,58184.0
2024_04_07,JOSHI,335.5,335.5,329.0,333.0,53526.0
2024_04_08,JOSHI,335.5,335.5,329.0,333.0,53526.0
2024_04_09,JOSHI,334.0,339.0,330.0,335.0,65789.0
2024_04_10,JOSHI,339.0,340.0,330.1,333.0,60770.0
2024_04_11,JOSHI,339.0,340.0,330.1,333.0,60770.0
2024_04_12,JOSHI,339.0,340.0,330.1,333.0,60770.0
2024_04_13,JOSHI,339.0,340.0,330.1,333.0,60770.0
2024_04_14,JOSHI,333.0,346.8,330.0,338.0,75877.0
2024_04_15,JOSHI,333.4,350.0,333.4,335.5,77188.0
2024_04_16,JOSHI,335.7,340.0,330.0,330.1,36823.0
2024_04_17,JOSHI,335.7,340.0,330.0,330.1,36823.0
2024_04_18,JOSHI,332.0,350.0,319.5,345.0,72164.0
2024_04_19,JOSHI,332.0,350.0,319.5,345.0,72164.0
2024_04_20,JOSHI,332.0,350.0,319.5,345.0,72164.0
2024_04_21,JOSHI,338.1,379.5,330.0,355.0,119241.0
2024_04_22,JOSHI,362.0,369.0,350.0,359.0,279563.0
2024_04_23,JOSHI,362.0,369.0,350.0,359.0,279563.0
2024_04_24,JOSHI,351.9,366.0,347.9,348.0,77488.0
2024_04_25,JOSHI,346.0,352.0,335.3,337.0,81436.0
2024_04_26,JOSHI,346.0,352.0,335.3,337.0,81436.0
2024_04_27,JOSHI,346.0,352.0,335.3,337.0,81436.0
2024_04_28,JOSHI,337.0,347.9,333.9,339.0,57418.0
2024_04_29,JOSHI,332.3,345.6,328.3,340.0,139494.0
2024_04_30,JOSHI,335.0,344.0,334.0,335.1,65110.0
2024_05_01,JOSHI,335.0,344.0,334.0,335.1,65110.0
2024_05_02,JOSHI,340.0,341.7,331.0,331.2,63698.0
2024_05_03,JOSHI,340.0,341.7,331.0,331.2,63698.0
2024_05_04,JOSHI,340.0,341.7,331.0,331.2,63698.0
