Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,KPCL,418.2,418.2,418.2,418.2,60.0
2024_03_05,KPCL,426.5,426.5,402.0,410.0,5556.0
2024_03_06,KPCL,409.0,418.0,401.0,417.0,2878.0
2024_03_07,KPCL,425.3,440.0,408.0,415.0,3249.0
2024_03_08,KPCL,425.3,440.0,408.0,415.0,3249.0
2024_03_09,KPCL,425.3,440.0,408.0,415.0,3249.0
2024_03_10,KPCL,415.0,417.9,410.0,414.0,3198.0
2024_03_11,KPCL,415.0,417.9,410.0,414.0,3198.0
2024_03_12,KPCL,422.0,422.2,404.0,414.7,6165.0
2024_03_13,KPCL,415.0,415.0,407.8,413.7,3248.0
2024_03_14,KPCL,405.5,413.0,405.5,410.9,1286.0
2024_03_15,KPCL,405.5,413.0,405.5,410.9,1286.0
2024_03_16,KPCL,405.5,413.0,405.5,410.9,1286.0
2024_03_17,KPCL,405.0,414.9,403.1,411.0,2482.0
2024_03_18,KPCL,403.1,410.9,403.1,410.9,1980.0
2024_03_19,KPCL,403.2,411.0,403.2,411.0,3647.0
2024_03_20,KPCL,406.0,411.0,405.0,405.0,4511.0
2024_03_21,KPCL,406.0,410.0,402.0,410.0,2706.0
2024_03_22,KPCL,406.0,410.0,402.0,410.0,2706.0
2024_03_23,KPCL,406.0,410.0,402.0,410.0,2706.0
2024_03_24,KPCL,406.0,410.0,402.0,410.0,2706.0
2024_03_25,KPCL,405.0,409.0,402.0,408.9,1783.0
2024_03_26,KPCL,407.5,431.0,401.0,431.0,26789.0
2024_03_27,KPCL,425.0,425.0,410.5,425.0,27874.0
2024_03_28,KPCL,416.5,433.0,408.5,420.5,49995.0
2024_03_29,KPCL,416.5,433.0,408.5,420.5,49995.0
2024_03_30,KPCL,416.5,433.0,408.5,420.5,49995.0
2024_03_31,KPCL,422.0,422.0,410.0,418.0,4039.0
2024_04_01,KPCL,409.7,415.0,408.0,409.5,1246.0
2024_04_02,KPCL,416.0,416.0,404.0,406.9,4261.0
2024_04_03,KPCL,403.1,406.0,402.7,402.7,6210.0
