Date,Symbol,Open,High,Low,Close,Volume
2024_03_05,LEMF,9.3,9.6,9.3,9.45,8282.0
2024_03_06,LEMF,9.27,9.44,9.27,9.38,7588.0
2024_03_07,LEMF,9.34,9.4,9.33,9.4,41101.0
2024_03_08,LEMF,9.34,9.4,9.33,9.4,41101.0
2024_03_09,LEMF,9.34,9.4,9.33,9.4,41101.0
2024_03_10,LEMF,9.36,9.5,9.36,9.4,3312.0
2024_03_11,LEMF,9.36,9.5,9.36,9.4,3312.0
2024_03_12,LEMF,9.36,9.58,9.36,9.58,18145.0
2024_03_13,LEMF,9.6,9.6,9.55,9.6,19589.0
2024_03_14,LEMF,9.42,9.42,9.42,9.42,500.0
2024_03_15,LEMF,9.42,9.42,9.42,9.42,500.0
2024_03_16,LEMF,9.42,9.42,9.42,9.42,500.0
2024_03_17,LEMF,9.24,9.6,9.24,9.5,15982.0
2024_03_18,LEMF,9.41,9.41,9.34,9.37,3000.0
2024_03_19,LEMF,9.27,9.6,9.27,9.6,699642.0
2024_03_20,LEMF,9.46,9.5,9.33,9.46,752321.0
2024_03_21,LEMF,9.5,9.5,9.5,9.5,3300.0
2024_03_22,LEMF,9.5,9.5,9.5,9.5,3300.0
2024_03_23,LEMF,9.5,9.5,9.5,9.5,3300.0
2024_03_24,LEMF,9.5,9.5,9.5,9.5,3300.0
2024_03_25,LEMF,9.46,9.46,9.43,9.43,57850.0
2024_03_26,LEMF,9.4,9.5,9.4,9.45,42383.0
2024_03_27,LEMF,9.55,9.55,9.5,9.5,41616.0
2024_03_28,LEMF,9.47,9.65,9.47,9.5,30418.0
2024_03_29,LEMF,9.47,9.65,9.47,9.5,30418.0
2024_03_30,LEMF,9.47,9.65,9.47,9.5,30418.0
2024_03_31,LEMF,9.51,9.6,9.48,9.6,85713.0
2024_04_01,LEMF,9.51,9.64,9.51,9.64,20100.0
2024_04_02,LEMF,9.51,9.63,9.51,9.55,2200.0
2024_04_03,LEMF,9.55,9.64,9.49,9.58,21277.0
2024_04_04,LEMF,9.51,9.51,9.5,9.5,16400.0
2024_04_05,LEMF,9.51,9.51,9.5,9.5,16400.0
2024_04_06,LEMF,9.51,9.51,9.5,9.5,16400.0
2024_04_07,LEMF,9.51,9.6,9.51,9.52,12483.0
2024_04_08,LEMF,9.51,9.6,9.51,9.52,12483.0
2024_04_09,LEMF,9.52,9.55,9.52,9.55,17000.0
2024_04_10,LEMF,9.51,9.55,9.5,9.5,22486.0
2024_04_11,LEMF,9.51,9.55,9.5,9.5,22486.0
2024_04_12,LEMF,9.51,9.55,9.5,9.5,22486.0
2024_04_13,LEMF,9.51,9.55,9.5,9.5,22486.0
2024_04_14,LEMF,9.5,9.5,9.46,9.48,34500.0
2024_04_16,LEMF,9.5,9.64,9.5,9.64,42960.0
2024_04_17,LEMF,9.5,9.64,9.5,9.64,42960.0
2024_04_18,LEMF,9.46,9.5,9.46,9.5,21758.0
2024_04_19,LEMF,9.46,9.5,9.46,9.5,21758.0
2024_04_20,LEMF,9.46,9.5,9.46,9.5,21758.0
2024_04_22,LEMF,9.6,9.6,9.5,9.5,11667.0
2024_04_23,LEMF,9.6,9.6,9.5,9.5,11667.0
2024_04_24,LEMF,9.35,9.35,9.35,9.35,1600.0
2024_04_25,LEMF,9.46,9.46,9.45,9.45,2500.0
2024_04_26,LEMF,9.46,9.46,9.45,9.45,2500.0
2024_04_27,LEMF,9.46,9.46,9.45,9.45,2500.0
2024_04_28,LEMF,9.45,9.6,9.45,9.6,14200.0
2024_04_30,LEMF,9.6,9.6,9.6,9.6,6527.0
2024_05_01,LEMF,9.6,9.6,9.6,9.6,6527.0
2024_05_02,LEMF,9.46,9.48,9.46,9.48,3000.0
2024_05_03,LEMF,9.46,9.48,9.46,9.48,3000.0
2024_05_04,LEMF,9.46,9.48,9.46,9.48,3000.0
2024_05_05,LEMF,9.42,9.42,9.3,9.41,39450.0
2024_05_06,LEMF,9.55,9.55,9.55,9.55,520.0
2024_05_07,LEMF,9.36,9.4,9.36,9.39,35000.0
2024_05_09,LEMF,9.4,9.4,9.35,9.36,16767.0
2024_05_10,LEMF,9.4,9.4,9.35,9.36,16767.0
2024_05_11,LEMF,9.4,9.4,9.35,9.36,16767.0
2024_05_13,LEMF,9.35,9.36,9.35,9.36,5900.0
2024_05_14,LEMF,9.49,9.69,9.42,9.69,294985.0
2024_05_16,LEMF,9.5,9.69,9.5,9.5,20100.0
2024_05_17,LEMF,9.5,9.69,9.5,9.5,20100.0
2024_05_18,LEMF,9.5,9.69,9.5,9.5,20100.0
2024_05_19,LEMF,9.6,9.66,9.6,9.66,106900.0
2024_05_20,LEMF,9.62,9.7,9.62,9.7,36900.0
2024_05_21,LEMF,9.55,9.67,9.54,9.61,20184.0
2024_05_22,LEMF,9.63,9.65,9.63,9.65,40404.0
2024_05_23,LEMF,9.63,9.65,9.63,9.65,40404.0
2024_05_24,LEMF,9.63,9.65,9.63,9.65,40404.0
2024_05_25,LEMF,9.63,9.65,9.63,9.65,40404.0
2024_05_26,LEMF,9.51,9.68,9.5,9.68,36913.0
2024_05_27,LEMF,9.5,9.69,9.5,9.69,13500.0
2024_05_28,LEMF,9.5,9.69,9.5,9.69,13500.0
2024_05_30,LEMF,9.71,9.71,9.53,9.71,14570.0
2024_05_31,LEMF,9.71,9.71,9.53,9.71,14570.0
2024_06_01,LEMF,9.71,9.71,9.53,9.71,14570.0
2024_06_02,LEMF,9.89,9.9,9.71,9.89,4689.0
2024_06_03,LEMF,9.7,9.7,9.7,9.7,9500.0
2024_06_04,LEMF,9.59,9.77,9.59,9.77,60100.0
2024_06_05,LEMF,9.83,9.83,9.8,9.8,15700.0
2024_06_06,LEMF,9.7,9.79,9.51,9.79,173150.0
2024_06_07,LEMF,9.7,9.79,9.51,9.79,173150.0
2024_06_08,LEMF,9.7,9.79,9.51,9.79,173150.0
2024_06_09,LEMF,9.6,9.76,9.47,9.47,205516.0
