Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,NRIC,735.0,793.0,735.0,790.0,2611.0
2024_03_05,NRIC,780.0,780.0,742.3,743.0,32845.0
2024_03_06,NRIC,733.0,764.0,733.0,753.9,45182.0
2024_03_07,NRIC,753.0,762.0,748.0,757.0,20323.0
2024_03_08,NRIC,753.0,762.0,748.0,757.0,20323.0
2024_03_09,NRIC,753.0,762.0,748.0,757.0,20323.0
2024_03_10,NRIC,758.0,760.0,750.4,760.0,13788.0
2024_03_11,NRIC,758.0,760.0,750.4,760.0,13788.0
2024_03_12,NRIC,775.2,780.0,753.0,777.0,29866.0
2024_03_13,NRIC,792.5,792.5,770.0,788.0,56884.0
2024_03_14,NRIC,772.4,780.2,770.0,776.0,43320.0
2024_03_15,NRIC,772.4,780.2,770.0,776.0,43320.0
2024_03_16,NRIC,772.4,780.2,770.0,776.0,43320.0
2024_03_17,NRIC,762.1,776.0,761.1,764.0,6832.0
2024_03_18,NRIC,753.2,768.0,753.2,759.0,20204.0
2024_03_19,NRIC,750.0,771.0,750.0,750.7,14981.0
2024_03_20,NRIC,750.7,763.0,745.0,746.9,14289.0
2024_03_21,NRIC,747.0,752.0,735.1,739.0,19620.0
2024_03_22,NRIC,747.0,752.0,735.1,739.0,19620.0
2024_03_23,NRIC,747.0,752.0,735.1,739.0,19620.0
2024_03_24,NRIC,747.0,752.0,735.1,739.0,19620.0
2024_03_25,NRIC,726.0,734.9,725.5,733.0,12686.0
2024_03_26,NRIC,733.0,737.0,727.1,735.6,15803.0
2024_03_27,NRIC,735.0,747.0,728.0,732.0,25479.0
2024_03_28,NRIC,723.3,734.0,721.0,734.0,16883.0
2024_03_29,NRIC,723.3,734.0,721.0,734.0,16883.0
2024_03_30,NRIC,723.3,734.0,721.0,734.0,16883.0
2024_03_31,NRIC,721.0,734.0,721.0,728.9,15424.0
2024_04_01,NRIC,726.1,729.0,720.0,723.5,10770.0
2024_04_02,NRIC,720.2,725.0,711.3,712.1,17425.0
2024_04_03,NRIC,715.0,715.0,700.0,703.9,18827.0
2024_04_04,NRIC,700.0,710.0,699.1,704.0,18675.0
2024_04_05,NRIC,700.0,710.0,699.1,704.0,18675.0
2024_04_06,NRIC,700.0,710.0,699.1,704.0,18675.0
2024_04_07,NRIC,718.0,730.0,701.0,723.0,26119.0
2024_04_08,NRIC,718.0,730.0,701.0,723.0,26119.0
2024_04_09,NRIC,737.4,760.0,725.2,753.0,75942.0
2024_04_10,NRIC,754.0,775.1,753.0,775.1,113069.0
2024_04_11,NRIC,754.0,775.1,753.0,775.1,113069.0
2024_04_12,NRIC,754.0,775.1,753.0,775.1,113069.0
2024_04_13,NRIC,754.0,775.1,753.0,775.1,113069.0
2024_04_14,NRIC,776.0,776.0,756.1,760.0,26585.0
2024_04_15,NRIC,760.0,766.0,735.0,736.1,16299.0
2024_04_16,NRIC,750.8,750.8,711.0,718.0,20911.0
2024_04_17,NRIC,750.8,750.8,711.0,718.0,20911.0
2024_04_18,NRIC,730.0,730.0,704.0,706.0,13252.0
2024_04_19,NRIC,730.0,730.0,704.0,706.0,13252.0
2024_04_20,NRIC,730.0,730.0,704.0,706.0,13252.0
2024_04_21,NRIC,706.5,717.0,702.0,713.0,10450.0
2024_04_22,NRIC,727.0,727.0,708.0,714.0,7779.0
2024_04_23,NRIC,727.0,727.0,708.0,714.0,7779.0
2024_04_24,NRIC,723.0,723.0,705.0,708.5,9626.0
2024_04_25,NRIC,701.0,710.0,700.0,702.0,12532.0
2024_04_26,NRIC,701.0,710.0,700.0,702.0,12532.0
2024_04_27,NRIC,701.0,710.0,700.0,702.0,12532.0
2024_04_28,NRIC,716.0,716.0,702.1,708.0,10104.0
2024_04_29,NRIC,722.1,722.1,698.0,703.0,29302.0
2024_04_30,NRIC,717.0,717.0,698.1,706.2,16660.0
2024_05_01,NRIC,717.0,717.0,698.1,706.2,16660.0
2024_05_02,NRIC,720.3,720.3,700.0,705.0,19328.0
2024_05_03,NRIC,720.3,720.3,700.0,705.0,19328.0
2024_05_04,NRIC,720.3,720.3,700.0,705.0,19328.0
2024_05_05,NRIC,698.0,704.0,680.0,689.9,39140.0
2024_05_06,NRIC,702.9,702.9,670.0,675.0,17328.0
2024_05_07,NRIC,680.0,688.5,675.0,682.4,13156.0
2024_05_08,NRIC,672.5,688.0,671.5,675.5,7634.0
2024_05_09,NRIC,687.9,687.9,675.0,678.0,11556.0
2024_05_10,NRIC,687.9,687.9,675.0,678.0,11556.0
2024_05_11,NRIC,687.9,687.9,675.0,678.0,11556.0
2024_05_12,NRIC,678.1,688.0,670.0,678.0,13457.0
2024_05_13,NRIC,691.5,691.5,678.1,685.0,12364.0
2024_05_14,NRIC,680.0,695.0,678.0,694.0,9641.0
2024_05_15,NRIC,707.8,707.8,681.1,687.5,17408.0
2024_05_16,NRIC,701.2,701.2,680.0,693.0,28988.0
2024_05_17,NRIC,701.2,701.2,680.0,693.0,28988.0
2024_05_18,NRIC,701.2,701.2,680.0,693.0,28988.0
2024_05_19,NRIC,674.8,687.5,667.3,679.9,34132.0
2024_05_20,NRIC,691.1,693.0,679.0,682.9,26833.0
2024_05_21,NRIC,681.0,698.0,675.1,692.0,18140.0
2024_05_22,NRIC,680.0,690.0,668.0,678.0,52362.0
2024_05_23,NRIC,680.0,690.0,668.0,678.0,52362.0
2024_05_24,NRIC,680.0,690.0,668.0,678.0,52362.0
2024_05_25,NRIC,680.0,690.0,668.0,678.0,52362.0
2024_05_26,NRIC,691.5,691.5,668.0,668.0,22831.0
2024_05_27,NRIC,680.4,693.0,668.2,675.0,20175.0
2024_05_28,NRIC,680.4,693.0,668.2,675.0,20175.0
2024_05_29,NRIC,687.0,687.0,663.0,666.0,10178.0
2024_05_30,NRIC,678.0,678.0,660.5,668.7,18002.0
2024_05_31,NRIC,678.0,678.0,660.5,668.7,18002.0
2024_06_01,NRIC,678.0,678.0,660.5,668.7,18002.0
2024_06_02,NRIC,680.0,680.0,664.0,669.0,14506.0
2024_06_03,NRIC,680.0,680.0,664.0,666.0,10572.0
2024_06_04,NRIC,679.3,679.3,663.0,663.0,13526.0
2024_06_05,NRIC,660.1,669.0,656.0,662.0,37201.0
2024_06_06,NRIC,660.0,674.0,652.0,656.0,17068.0
2024_06_07,NRIC,660.0,674.0,652.0,656.0,17068.0
2024_06_08,NRIC,660.0,674.0,652.0,656.0,17068.0
2024_06_09,NRIC,668.0,668.0,641.9,649.0,27773.0
2024_06_10,NRIC,644.1,655.0,644.1,647.0,12893.0
2024_06_11,NRIC,659.9,659.9,645.0,654.8,24438.0
2024_06_12,NRIC,663.8,663.8,656.5,656.7,14621.0
2024_06_13,NRIC,647.0,655.0,644.0,648.0,66007.0
2024_06_14,NRIC,647.0,655.0,644.0,648.0,66007.0
2024_06_15,NRIC,647.0,655.0,644.0,648.0,66007.0
2024_06_16,NRIC,643.0,655.0,633.1,635.0,50261.0
2024_06_17,NRIC,643.0,655.0,633.1,635.0,50261.0
2024_06_18,NRIC,646.0,646.0,630.4,630.7,21529.0
2024_06_19,NRIC,633.0,642.0,631.0,632.0,43838.0
2024_06_20,NRIC,644.6,647.7,630.1,636.5,20777.0
2024_06_21,NRIC,644.6,647.7,630.1,636.5,20777.0
2024_06_22,NRIC,644.6,647.7,630.1,636.5,20777.0
2024_06_23,NRIC,637.0,690.0,636.0,644.0,27655.0
2024_06_24,NRIC,644.0,696.0,644.0,648.0,22029.0
