Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,SPL,648.7,674.8,648.7,674.8,40.0
2024_03_05,SPL,688.2,701.9,645.0,647.0,3362.0
2024_03_06,SPL,638.1,670.0,637.9,665.0,2770.0
2024_03_07,SPL,670.0,675.0,660.0,664.0,1215.0
2024_03_08,SPL,670.0,675.0,660.0,664.0,1215.0
2024_03_09,SPL,670.0,675.0,660.0,664.0,1215.0
2024_03_10,SPL,665.0,670.0,655.0,664.9,1792.0
2024_03_11,SPL,665.0,670.0,655.0,664.9,1792.0
2024_03_12,SPL,655.0,673.0,655.0,672.0,3942.0
2024_03_13,SPL,660.0,685.4,647.0,662.3,3560.0
2024_03_14,SPL,662.0,668.0,657.1,664.0,1979.0
2024_03_15,SPL,662.0,668.0,657.1,664.0,1979.0
2024_03_16,SPL,662.0,668.0,657.1,664.0,1979.0
2024_03_17,SPL,655.0,665.5,655.0,664.0,1609.0
2024_03_18,SPL,670.0,675.0,654.0,669.0,1457.0
2024_03_19,SPL,675.0,681.9,653.1,660.3,1455.0
2024_03_20,SPL,662.0,672.9,654.0,654.0,998.0
2024_03_21,SPL,660.0,667.0,650.0,654.0,3474.0
2024_03_22,SPL,660.0,667.0,650.0,654.0,3474.0
2024_03_23,SPL,660.0,667.0,650.0,654.0,3474.0
2024_03_24,SPL,660.0,667.0,650.0,654.0,3474.0
2024_03_25,SPL,665.4,665.4,641.2,644.0,1190.0
2024_03_26,SPL,644.0,670.0,638.0,670.0,2410.0
2024_03_27,SPL,675.0,678.0,655.7,667.0,739.0
2024_03_28,SPL,655.0,670.0,655.0,670.0,1703.0
2024_03_29,SPL,655.0,670.0,655.0,670.0,1703.0
2024_03_30,SPL,655.0,670.0,655.0,670.0,1703.0
2024_03_31,SPL,670.0,670.0,665.0,670.0,3270.0
2024_04_01,SPL,669.9,670.0,651.1,669.0,1149.0
2024_04_02,SPL,659.0,666.8,650.0,654.9,1010.0
2024_04_03,SPL,667.9,667.9,650.0,650.0,1507.0
2024_04_04,SPL,663.0,663.0,639.0,650.1,1793.0
2024_04_05,SPL,663.0,663.0,639.0,650.1,1793.0
2024_04_06,SPL,663.0,663.0,639.0,650.1,1793.0
2024_04_07,SPL,650.1,662.1,648.0,648.2,3308.0
2024_04_08,SPL,650.1,662.1,648.0,648.2,3308.0
2024_04_09,SPL,661.1,668.0,641.0,652.0,3648.0
2024_04_10,SPL,647.0,667.0,646.0,658.0,2459.0
2024_04_11,SPL,647.0,667.0,646.0,658.0,2459.0
2024_04_12,SPL,647.0,667.0,646.0,658.0,2459.0
2024_04_13,SPL,647.0,667.0,646.0,658.0,2459.0
2024_04_14,SPL,658.0,665.0,650.0,663.0,1688.0
2024_04_15,SPL,656.0,665.0,655.0,660.9,1294.0
2024_04_16,SPL,650.1,659.0,648.0,650.0,1300.0
2024_04_17,SPL,650.1,659.0,648.0,650.0,1300.0
2024_04_18,SPL,650.0,650.0,640.0,640.0,1555.0
2024_04_19,SPL,650.0,650.0,640.0,640.0,1555.0
2024_04_20,SPL,650.0,650.0,640.0,640.0,1555.0
2024_04_21,SPL,630.0,647.7,630.0,647.7,1190.0
2024_04_22,SPL,650.0,660.0,637.0,637.0,1545.0
2024_04_23,SPL,650.0,660.0,637.0,637.0,1545.0
2024_04_24,SPL,649.0,649.0,630.0,639.5,775.0
2024_04_25,SPL,630.3,647.0,630.0,638.8,697.0
2024_04_26,SPL,630.3,647.0,630.0,638.8,697.0
2024_04_27,SPL,630.3,647.0,630.0,638.8,697.0
2024_04_28,SPL,627.0,642.0,627.0,642.0,750.0
2024_04_29,SPL,645.0,645.0,636.0,636.0,800.0
2024_04_30,SPL,640.0,645.0,627.1,645.0,3219.0
2024_05_01,SPL,640.0,645.0,627.1,645.0,3219.0
2024_05_02,SPL,653.0,653.0,635.0,635.0,1254.0
2024_05_03,SPL,653.0,653.0,635.0,635.0,1254.0
2024_05_04,SPL,653.0,653.0,635.0,635.0,1254.0
2024_05_05,SPL,623.5,635.0,623.5,629.1,1748.0
2024_05_06,SPL,628.0,664.8,628.0,635.0,1156.0
2024_05_07,SPL,626.3,645.0,626.2,637.0,783.0
2024_05_08,SPL,645.4,649.7,638.0,649.7,1000.0
2024_05_09,SPL,641.0,653.0,640.0,646.0,1697.0
2024_05_10,SPL,641.0,653.0,640.0,646.0,1697.0
2024_05_11,SPL,641.0,653.0,640.0,646.0,1697.0
2024_05_12,SPL,650.0,650.0,640.1,640.1,1756.0
2024_05_13,SPL,636.0,651.5,635.0,640.0,1506.0
2024_05_14,SPL,652.0,655.0,642.1,653.0,2639.0
2024_05_15,SPL,666.0,677.9,655.0,671.2,3968.0
2024_05_16,SPL,660.1,672.9,660.0,661.0,2214.0
2024_05_17,SPL,660.1,672.9,660.0,661.0,2214.0
2024_05_18,SPL,660.1,672.9,660.0,661.0,2214.0
2024_05_19,SPL,651.1,698.0,651.1,669.0,4569.0
2024_05_20,SPL,680.0,685.0,670.2,676.0,3298.0
2024_05_21,SPL,675.0,714.0,675.0,691.0,6156.0
2024_05_22,SPL,692.0,710.0,690.0,698.0,6513.0
2024_05_23,SPL,692.0,710.0,690.0,698.0,6513.0
2024_05_24,SPL,692.0,710.0,690.0,698.0,6513.0
2024_05_25,SPL,692.0,710.0,690.0,698.0,6513.0
2024_05_26,SPL,685.0,712.1,685.0,694.0,5087.0
2024_05_27,SPL,680.5,722.0,680.3,700.0,3338.0
2024_05_28,SPL,680.5,722.0,680.3,700.0,3338.0
2024_05_29,SPL,714.0,728.0,690.0,691.0,8785.0
2024_05_30,SPL,678.0,721.9,667.7,707.9,5660.0
2024_05_31,SPL,678.0,721.9,667.7,707.9,5660.0
2024_06_01,SPL,678.0,721.9,667.7,707.9,5660.0
2024_06_02,SPL,719.0,719.0,700.0,710.0,6681.0
2024_06_03,SPL,700.0,708.0,690.0,696.0,3702.0
2024_06_04,SPL,683.5,720.0,683.5,697.0,2671.0
2024_06_05,SPL,683.5,702.9,680.2,690.0,3661.0
2024_06_06,SPL,703.0,722.1,680.0,720.0,15619.0
2024_06_07,SPL,703.0,722.1,680.0,720.0,15619.0
2024_06_08,SPL,703.0,722.1,680.0,720.0,15619.0
2024_06_09,SPL,730.0,792.0,710.0,792.0,44793.0
2024_06_10,SPL,807.8,860.0,780.0,789.9,21767.0
2024_06_11,SPL,804.9,804.9,750.7,783.0,12784.0
2024_06_12,SPL,783.0,786.9,752.0,754.0,19372.0
2024_06_13,SPL,754.0,785.0,754.0,771.0,9909.0
2024_06_14,SPL,754.0,785.0,754.0,771.0,9909.0
2024_06_15,SPL,754.0,785.0,754.0,771.0,9909.0
2024_06_16,SPL,765.0,821.0,765.0,802.0,18211.0
2024_06_17,SPL,765.0,821.0,765.0,802.0,18211.0
2024_06_18,SPL,786.1,813.9,776.6,778.0,8967.0
2024_06_19,SPL,780.0,781.0,753.0,769.9,7674.0
2024_06_20,SPL,764.1,779.0,757.1,768.9,6190.0
2024_06_21,SPL,764.1,779.0,757.1,768.9,6190.0
2024_06_22,SPL,764.1,779.0,757.1,768.9,6190.0
2024_06_23,SPL,755.2,775.9,754.0,764.9,7911.0
2024_06_24,SPL,770.0,775.0,755.0,755.0,8472.0
2024_06_25,SPL,755.0,783.0,755.0,768.0,8692.0
2024_06_26,SPL,772.3,790.0,761.0,766.0,8542.0
2024_06_27,SPL,765.0,768.0,762.0,766.0,5516.0
2024_06_28,SPL,765.0,768.0,762.0,766.0,5516.0
2024_06_29,SPL,765.0,768.0,762.0,766.0,5516.0
2024_06_30,SPL,778.0,778.0,750.0,750.0,5634.0
2024_07_01,SPL,760.0,761.0,747.1,757.0,2799.0
2024_07_02,SPL,772.1,787.5,742.9,748.0,5654.0
2024_07_03,SPL,749.0,751.0,745.0,748.0,4668.0
2024_07_04,SPL,761.0,778.0,755.0,755.0,7971.0
2024_07_05,SPL,761.0,778.0,755.0,755.0,7971.0
2024_07_06,SPL,761.0,778.0,755.0,755.0,7971.0
2024_07_07,SPL,740.0,764.0,740.0,754.0,8723.0
2024_07_08,SPL,760.0,780.0,750.0,750.0,8201.0
2024_07_09,SPL,755.0,759.9,745.0,746.0,12424.0
2024_07_10,SPL,748.5,778.0,746.0,760.0,7512.0
2024_07_11,SPL,774.0,788.9,762.2,783.0,17490.0
2024_07_12,SPL,774.0,788.9,762.2,783.0,17490.0
2024_07_13,SPL,774.0,788.9,762.2,783.0,17490.0
2024_07_14,SPL,798.0,813.9,775.3,777.3,11030.0
2024_07_15,SPL,789.9,790.0,765.1,765.1,8202.0
2024_07_16,SPL,761.0,805.2,760.0,796.0,21197.0
2024_07_17,SPL,811.9,811.9,791.0,808.0,10969.0
2024_07_18,SPL,810.0,810.0,784.0,791.0,24137.0
2024_07_19,SPL,810.0,810.0,784.0,791.0,24137.0
2024_07_20,SPL,810.0,810.0,784.0,791.0,24137.0
2024_07_21,SPL,777.3,805.0,777.3,788.0,7636.0
2024_07_22,SPL,772.3,800.0,772.3,777.5,13272.0
2024_07_23,SPL,777.7,808.9,777.7,806.0,21044.0
2024_07_24,SPL,820.0,837.9,791.9,806.9,17163.0
2024_07_25,SPL,800.0,816.0,784.5,800.0,14781.0
2024_07_26,SPL,800.0,816.0,784.5,800.0,14781.0
2024_07_27,SPL,800.0,816.0,784.5,800.0,14781.0
2024_07_28,SPL,816.0,832.0,776.5,795.0,9908.0
2024_07_29,SPL,795.0,810.0,779.1,779.9,9778.0
2024_07_30,SPL,767.0,790.0,767.0,780.0,11069.0
2024_07_31,SPL,794.0,806.0,781.1,790.0,14853.0
2024_08_01,SPL,805.8,869.0,795.3,869.0,40237.0
2024_08_02,SPL,805.8,869.0,795.3,869.0,40237.0
2024_08_03,SPL,805.8,869.0,795.3,869.0,40237.0
2024_08_04,SPL,805.8,869.0,795.3,869.0,40237.0
2024_08_05,SPL,886.3,939.0,886.0,896.0,21540.0
