Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,ULBSL,1127.0,1149.5,1127.0,1149.5,20.0
2024_03_05,ULBSL,1127.0,1135.0,1075.0,1109.0,643.0
2024_03_06,ULBSL,1089.0,1131.1,1089.0,1120.0,792.0
2024_03_07,ULBSL,1115.0,1122.0,1093.1,1120.0,484.0
2024_03_08,ULBSL,1115.0,1122.0,1093.1,1120.0,484.0
2024_03_09,ULBSL,1115.0,1122.0,1093.1,1120.0,484.0
2024_03_10,ULBSL,1141.9,1200.0,1130.0,1169.5,3091.0
2024_03_11,ULBSL,1141.9,1200.0,1130.0,1169.5,3091.0
2024_03_12,ULBSL,1192.0,1242.0,1170.0,1220.2,3640.0
2024_03_13,ULBSL,1220.0,1258.6,1196.0,1248.0,2699.0
2024_03_14,ULBSL,1223.1,1290.0,1220.0,1240.0,3917.0
2024_03_15,ULBSL,1223.1,1290.0,1220.0,1240.0,3917.0
2024_03_16,ULBSL,1223.1,1290.0,1220.0,1240.0,3917.0
2024_03_17,ULBSL,1254.0,1254.0,1194.1,1225.0,1372.0
2024_03_18,ULBSL,1225.1,1225.1,1183.1,1206.1,1500.0
2024_03_19,ULBSL,1229.9,1270.0,1207.2,1239.3,3419.0
2024_03_20,ULBSL,1264.0,1335.0,1264.0,1295.0,4992.0
2024_03_21,ULBSL,1295.0,1319.8,1256.4,1260.0,2643.0
2024_03_22,ULBSL,1295.0,1319.8,1256.4,1260.0,2643.0
2024_03_23,ULBSL,1295.0,1319.8,1256.4,1260.0,2643.0
2024_03_24,ULBSL,1295.0,1319.8,1256.4,1260.0,2643.0
2024_03_25,ULBSL,1260.0,1285.0,1212.1,1212.7,642.0
2024_03_26,ULBSL,1213.0,1250.0,1201.0,1201.0,494.0
2024_03_27,ULBSL,1225.0,1249.5,1204.0,1205.0,1903.0
2024_03_28,ULBSL,1205.0,1265.0,1205.0,1230.0,781.0
2024_03_29,ULBSL,1205.0,1265.0,1205.0,1230.0,781.0
2024_03_30,ULBSL,1205.0,1265.0,1205.0,1230.0,781.0
