Date,Symbol,Open,High,Low,Close,Volume
2012-01-01,ALICL,168.0,165.0,165.0,165.0,50.0
2012-01-02,ALICL,165.0,175.0,168.0,173.0,1320.0
2012-01-03,ALICL,173.0,179.0,175.0,176.0,2370.0
2012-01-04,ALICL,176.0,179.0,170.0,170.0,390.0
2012-01-08,ALICL,170.0,168.0,167.0,168.0,160.0
2012-01-09,ALICL,168.0,171.0,168.0,171.0,200.0
2012-01-10,ALICL,171.0,169.0,169.0,169.0,80.0
2012-01-11,ALICL,169.0,171.0,170.0,171.0,630.0
2012-01-12,ALICL,171.0,172.0,172.0,172.0,70.0
2012-01-16,ALICL,172.0,177.0,173.0,175.0,880.0
2012-01-17,ALICL,175.0,177.0,174.0,174.0,410.0
2012-01-18,ALICL,174.0,173.0,173.0,173.0,180.0
2012-01-22,ALICL,173.0,176.0,162.0,162.0,4030.0
2012-01-23,ALICL,162.0,162.0,157.0,162.0,560.0
2012-01-25,ALICL,162.0,160.0,150.0,152.0,2630.0
2012-01-26,ALICL,152.0,154.0,148.0,149.0,1470.0
2012-01-29,ALICL,149.0,156.0,148.0,155.0,3020.0
2012-01-31,ALICL,155.0,152.0,145.0,148.0,1180.0
2012-02-01,ALICL,148.0,148.0,146.0,148.0,50.0
2012-02-02,ALICL,148.0,150.0,148.0,150.0,250.0
2012-03-13,ALICL,150.0,164.0,150.0,160.0,890.0
2012-03-14,ALICL,160.0,164.0,162.0,164.0,140.0
2012-03-15,ALICL,164.0,163.0,158.0,158.0,470.0
2012-03-18,ALICL,158.0,156.0,156.0,156.0,110.0
2012-03-19,ALICL,156.0,157.0,155.0,155.0,350.0
2012-03-20,ALICL,155.0,157.0,156.0,156.0,870.0
2012-03-21,ALICL,156.0,154.0,153.0,153.0,400.0
2012-03-25,ALICL,153.0,153.0,148.0,153.0,1390.0
2012-03-26,ALICL,153.0,151.0,151.0,151.0,30.0
2012-03-27,ALICL,151.0,153.0,150.0,150.0,1200.0
2012-03-28,ALICL,150.0,150.0,149.0,149.0,260.0
2012-03-29,ALICL,149.0,156.0,151.0,156.0,950.0
2012-04-01,ALICL,156.0,156.0,148.0,150.0,1100.0
2012-04-02,ALICL,150.0,156.0,148.0,154.0,770.0
2012-04-03,ALICL,154.0,155.0,149.0,155.0,110.0
2012-04-04,ALICL,155.0,155.0,153.0,155.0,220.0
2012-04-05,ALICL,155.0,158.0,150.0,156.0,1090.0
2012-04-08,ALICL,156.0,156.0,150.0,156.0,690.0
2012-04-09,ALICL,156.0,160.0,151.0,160.0,560.0
2012-04-10,ALICL,160.0,161.0,155.0,160.0,2830.0
2012-04-11,ALICL,160.0,172.0,160.0,172.0,110.0
2012-04-12,ALICL,172.0,175.0,164.0,175.0,2240.0
2012-04-15,ALICL,175.0,177.0,177.0,177.0,160.0
2012-04-17,ALICL,177.0,180.0,180.0,180.0,200.0
2012-04-18,ALICL,180.0,189.0,174.0,186.0,2070.0
2012-04-19,ALICL,186.0,196.0,189.0,191.0,880.0
2012-04-22,ALICL,191.0,197.0,191.0,191.0,1120.0
2012-04-25,ALICL,191.0,208.0,194.0,208.0,50.0
2012-04-26,ALICL,208.0,228.0,208.0,228.0,3400.0
2012-04-29,ALICL,228.0,242.0,230.0,234.0,1150.0
2012-04-30,ALICL,234.0,230.0,226.0,226.0,350.0
