Date,Symbol,Open,High,Low,Close,Volume
2024-01-08,HRL,309.2,340.1,309.2,340.1,30866.0
2024-01-09,HRL,346.9,374.1,346.9,374.1,10699.0
2024-01-10,HRL,381.5,411.5,381.5,411.5,17004.0
2024-01-11,HRL,419.7,452.6,419.7,452.6,37445.0
2024-01-14,HRL,461.6,497.8,461.6,497.8,45684.0
2024-01-16,HRL,507.7,547.5,507.7,547.5,70340.0
2024-01-17,HRL,558.4,602.2,558.4,602.2,1093487.0
2024-01-18,HRL,614.2,661.5,558.0,653.0,3044702.0
2024-01-21,HRL,666.0,709.0,663.0,681.0,827738.0
2024-01-22,HRL,667.4,675.0,641.0,646.0,1196355.0
2024-01-23,HRL,645.0,681.0,635.0,659.9,841022.0
2024-01-24,HRL,660.0,674.0,655.0,657.0,379833.0
2024-01-25,HRL,657.0,661.0,645.1,646.8,439859.0
2024-01-28,HRL,650.0,659.6,635.1,645.0,521843.0
2024-01-29,HRL,645.0,684.0,645.0,669.0,900511.0
2024-01-30,HRL,682.3,721.0,675.8,709.6,1070172.0
2024-01-31,HRL,723.0,728.0,698.0,714.6,889868.0
2024-02-01,HRL,720.0,722.1,695.0,695.1,769799.0
2024-02-04,HRL,695.1,700.0,680.0,688.1,486325.0
2024-02-05,HRL,690.0,700.0,685.1,685.5,269982.0
2024-02-06,HRL,685.5,708.0,685.5,704.9,481428.0
2024-02-07,HRL,700.0,714.0,695.2,696.1,354258.0
2024-02-08,HRL,698.0,709.0,688.0,689.0,273200.0
2024-02-11,HRL,702.7,731.0,691.0,694.9,887170.0
2024-02-12,HRL,703.0,704.0,690.0,692.1,331525.0
2024-02-13,HRL,692.1,692.1,672.0,672.0,478560.0
2024-02-14,HRL,680.0,680.0,666.5,668.1,256176.0
2024-02-15,HRL,670.0,674.0,654.8,655.7,345592.0
2024-02-18,HRL,655.0,666.0,640.1,645.1,632757.0
2024-02-20,HRL,621.0,652.5,620.0,650.0,493093.0
2024-02-21,HRL,650.0,662.9,633.1,633.2,173537.0
2024-02-22,HRL,633.2,637.9,617.6,624.0,237439.0
2024-02-25,HRL,624.0,632.0,607.5,607.6,179714.0
2024-02-26,HRL,604.9,616.8,604.9,616.0,126929.0
2024-02-27,HRL,616.0,620.0,606.0,610.0,104494.0
2024-02-28,HRL,609.0,620.0,609.0,615.0,131080.0
2024-02-29,HRL,615.0,620.0,604.9,605.4,131730.0
2024-03-03,HRL,605.4,613.0,595.2,595.6,138436.0
2024-03-04,HRL,607.5,652.0,607.5,622.0,46976.0
2024-03-05,HRL,630.0,633.9,610.0,613.5,206392.0
2024-03-06,HRL,613.0,631.0,608.1,624.9,209585.0
2024-03-07,HRL,630.0,634.0,621.0,624.0,104209.0
2024-03-10,HRL,624.0,630.0,618.0,620.0,114706.0
2024-03-12,HRL,632.4,635.5,620.0,635.0,249989.0
2024-03-13,HRL,647.7,650.0,631.1,642.0,319600.0
2024-03-14,HRL,638.6,644.0,628.0,630.5,155008.0
2024-03-17,HRL,630.0,635.0,619.0,620.5,162925.0
2024-03-18,HRL,621.0,630.2,618.0,621.0,89790.0
2024-03-19,HRL,621.0,629.9,615.0,618.0,138176.0
2024-03-20,HRL,618.0,627.0,609.0,614.1,120125.0
2024-03-21,HRL,614.1,618.0,605.0,606.5,157312.0
2024-03-25,HRL,607.0,613.8,602.0,608.9,103522.0
2024-03-26,HRL,606.0,613.4,606.0,608.0,104199.0
2024-03-27,HRL,608.0,611.7,597.0,602.0,117823.0
2024-03-28,HRL,602.0,610.0,601.0,604.1,65655.0
2024-03-31,HRL,604.0,607.0,598.5,600.9,103662.0
2024-04-01,HRL,600.0,603.0,596.1,596.8,83177.0
2024-04-02,HRL,608.7,608.7,595.1,595.2,64412.0
2024-04-03,HRL,585.0,609.0,585.0,595.0,73550.0
2024-04-04,HRL,595.0,596.5,590.0,590.5,76697.0
2024-04-07,HRL,590.0,598.9,588.0,596.0,106557.0
2024-04-09,HRL,596.0,624.9,596.0,623.9,250900.0
2024-04-10,HRL,623.0,634.0,610.0,610.2,202157.0
2024-04-14,HRL,610.2,618.0,606.2,613.2,121619.0
2024-04-15,HRL,614.0,620.0,606.2,606.5,102787.0
2024-04-16,HRL,606.0,607.0,598.2,605.1,71361.0
2024-04-18,HRL,598.2,606.0,597.2,600.0,88713.0
2024-04-21,HRL,595.0,607.0,590.0,601.0,92557.0
2024-04-22,HRL,601.0,607.0,595.0,595.0,50314.0
2024-04-24,HRL,599.9,600.1,590.0,592.1,68856.0
2024-04-25,HRL,592.2,596.3,590.7,592.0,67940.0
2024-04-28,HRL,593.0,600.0,588.0,595.6,73813.0
2024-04-29,HRL,606.0,606.0,588.0,589.0,49435.0
2024-04-30,HRL,589.0,599.7,585.0,590.0,104703.0
2024-05-02,HRL,600.0,600.0,585.6,586.0,94797.0
2024-05-05,HRL,580.0,596.9,580.0,592.5,97712.0
2024-05-06,HRL,589.0,597.0,575.1,575.1,114105.0
2024-05-07,HRL,574.0,581.5,565.0,569.0,75130.0
2024-05-08,HRL,569.0,578.0,561.0,562.0,52470.0
2024-05-09,HRL,564.2,569.0,553.0,560.0,91251.0
2024-05-12,HRL,571.2,582.0,566.0,567.0,96004.0
2024-05-13,HRL,567.0,577.9,562.1,565.0,63596.0
2024-05-14,HRL,564.0,574.0,563.0,570.1,59209.0
2024-05-15,HRL,575.5,580.0,563.1,563.1,73511.0
2024-05-16,HRL,563.0,566.1,556.1,556.6,94013.0
2024-05-19,HRL,567.7,585.0,560.0,582.1,165624.0
2024-05-20,HRL,581.0,592.0,579.0,583.0,157780.0
2024-05-21,HRL,584.0,588.5,575.0,585.7,97376.0
2024-05-22,HRL,597.4,597.4,580.0,595.3,188824.0
2024-05-26,HRL,585.0,598.0,584.0,584.3,77941.0
2024-05-27,HRL,572.7,595.8,572.7,585.1,108222.0
2024-05-29,HRL,588.0,596.0,578.0,578.1,76815.0
2024-05-30,HRL,578.1,586.0,573.7,573.7,74206.0
2024-06-02,HRL,567.1,582.0,567.1,580.0,78729.0
2024-06-03,HRL,580.0,581.9,571.2,572.1,43567.0
2024-06-04,HRL,573.0,575.0,570.1,570.7,47461.0
2024-06-05,HRL,559.4,571.9,559.4,568.1,69718.0
2024-06-06,HRL,568.0,572.9,561.1,561.8,79236.0
2024-06-09,HRL,561.8,570.5,560.2,568.7,95217.0
2024-06-10,HRL,570.0,574.0,565.0,572.7,78249.0
2024-06-11,HRL,575.0,577.0,566.1,570.0,85292.0
2024-06-12,HRL,569.1,575.0,568.0,568.0,74280.0
2024-06-13,HRL,579.3,579.3,556.5,557.5,116068.0
2024-06-16,HRL,560.0,560.0,550.0,552.0,145846.0
2024-06-18,HRL,550.0,558.0,550.0,552.0,75407.0
2024-06-19,HRL,555.0,559.0,550.0,550.6,63579.0
2024-06-20,HRL,550.0,555.0,542.3,543.5,73496.0
2024-06-23,HRL,543.5,563.0,538.0,547.0,140697.0
2024-06-24,HRL,536.1,559.0,526.0,540.0,131314.0
2024-06-25,HRL,540.0,550.0,540.0,543.0,51087.0
2024-06-26,HRL,545.0,550.0,535.0,535.5,57043.0
2024-06-27,HRL,524.8,561.0,512.0,553.0,402499.0
2024-06-30,HRL,553.0,554.9,539.7,539.7,82472.0
2024-07-01,HRL,550.4,550.4,533.0,538.0,107247.0
2024-07-02,HRL,548.7,575.0,544.0,552.0,190209.0
2024-07-03,HRL,552.0,555.0,540.0,541.1,127474.0
2024-07-04,HRL,545.0,553.0,542.0,547.3,147882.0
2024-07-07,HRL,555.0,569.0,547.3,565.0,276279.0
2024-07-08,HRL,565.0,570.0,559.0,562.0,160402.0
2024-07-09,HRL,555.1,569.0,555.1,564.8,97749.0
2024-07-10,HRL,576.0,576.0,563.0,569.9,145963.0
2024-07-11,HRL,569.0,579.9,569.0,577.9,222756.0
2024-07-14,HRL,589.4,611.0,580.0,589.0,256783.0
