Date,Symbol,Open,High,Low,Close,Volume
2012-01-01,NABIL,873.0,879.0,851.0,879.0,799.0
2012-01-02,NABIL,879.0,913.0,882.0,900.0,1002.0
2012-01-03,NABIL,900.0,916.0,892.0,892.0,2653.0
2012-01-04,NABIL,892.0,875.0,842.0,865.0,490.0
2012-01-05,NABIL,865.0,875.0,858.0,858.0,121.0
2012-01-08,NABIL,858.0,845.0,814.0,830.0,4835.0
2012-01-09,NABIL,830.0,846.0,830.0,846.0,195.0
2012-01-10,NABIL,846.0,862.0,845.0,845.0,658.0
2012-01-11,NABIL,845.0,874.0,845.0,874.0,969.0
2012-01-12,NABIL,874.0,904.0,860.0,904.0,773.0
2012-01-16,NABIL,904.0,886.0,867.0,879.0,235.0
2012-01-17,NABIL,879.0,865.0,820.0,861.0,2244.0
2012-01-18,NABIL,861.0,882.0,830.0,882.0,1617.0
2012-01-22,NABIL,882.0,870.0,836.0,836.0,1273.0
2012-01-23,NABIL,836.0,843.0,826.0,835.0,1255.0
2012-01-25,NABIL,835.0,840.0,825.0,840.0,442.0
2012-01-26,NABIL,840.0,830.0,826.0,830.0,408.0
2012-01-29,NABIL,830.0,830.0,823.0,830.0,496.0
2012-01-31,NABIL,830.0,845.0,842.0,842.0,143.0
2012-02-01,NABIL,842.0,840.0,832.0,832.0,250.0
2012-02-02,NABIL,832.0,850.0,833.0,850.0,382.0
2012-02-05,NABIL,850.0,840.0,824.0,829.0,1035.0
2012-02-06,NABIL,829.0,829.0,824.0,824.0,545.0
2012-02-07,NABIL,824.0,833.0,820.0,830.0,816.0
2012-02-08,NABIL,830.0,841.0,830.0,841.0,187.0
2012-02-09,NABIL,841.0,840.0,830.0,840.0,437.0
2012-02-12,NABIL,840.0,843.0,828.0,843.0,1780.0
2012-02-13,NABIL,843.0,876.0,832.0,876.0,885.0
2012-02-14,NABIL,876.0,870.0,860.0,860.0,447.0
2012-02-15,NABIL,860.0,860.0,843.0,843.0,182.0
2012-02-16,NABIL,843.0,850.0,833.0,850.0,1286.0
2012-02-21,NABIL,850.0,850.0,836.0,850.0,170.0
2012-02-23,NABIL,850.0,850.0,845.0,850.0,79.0
2012-02-26,NABIL,850.0,856.0,833.0,844.0,1025.0
2012-02-27,NABIL,844.0,847.0,831.0,847.0,1055.0
2012-02-28,NABIL,847.0,867.0,845.0,867.0,825.0
2012-02-29,NABIL,867.0,869.0,860.0,861.0,602.0
2012-03-01,NABIL,861.0,887.0,865.0,887.0,497.0
2012-03-04,NABIL,887.0,876.0,870.0,874.0,590.0
2012-03-05,NABIL,874.0,887.0,866.0,883.0,571.0
2012-03-06,NABIL,883.0,885.0,875.0,882.0,301.0
2012-03-11,NABIL,882.0,885.0,868.0,885.0,361.0
2012-03-12,NABIL,885.0,882.0,880.0,880.0,256.0
2012-03-13,NABIL,880.0,880.0,863.0,880.0,501.0
2012-03-14,NABIL,880.0,875.0,860.0,860.0,389.0
2012-03-15,NABIL,860.0,852.0,836.0,852.0,446.0
2012-03-18,NABIL,852.0,869.0,850.0,867.0,168.0
2012-03-19,NABIL,867.0,882.0,853.0,882.0,281.0
2012-03-20,NABIL,882.0,874.0,847.0,874.0,307.0
2012-03-21,NABIL,874.0,878.0,850.0,878.0,900.0
2012-03-25,NABIL,878.0,878.0,845.0,878.0,521.0
2012-03-26,NABIL,878.0,861.0,861.0,861.0,50.0
2012-03-27,NABIL,861.0,873.0,850.0,867.0,342.0
2012-03-28,NABIL,867.0,867.0,850.0,867.0,317.0
2012-03-29,NABIL,867.0,867.0,850.0,867.0,64.0
2012-04-01,NABIL,867.0,852.0,835.0,852.0,981.0
2012-04-02,NABIL,852.0,880.0,852.0,880.0,270.0
2012-04-03,NABIL,880.0,891.0,867.0,875.0,145.0
2012-04-04,NABIL,875.0,902.0,878.0,902.0,106.0
2012-04-08,NABIL,902.0,895.0,879.0,895.0,318.0
2012-04-09,NABIL,895.0,901.0,884.0,901.0,906.0
2012-04-10,NABIL,901.0,892.0,890.0,890.0,249.0
2012-04-11,NABIL,890.0,925.0,885.0,910.0,1173.0
2012-04-12,NABIL,910.0,988.0,920.0,988.0,1316.0
2012-04-15,NABIL,988.0,1075.0,1007.0,1075.0,1840.0
2012-04-17,NABIL,1075.0,1182.0,994.0,1000.0,2664.0
2012-04-18,NABIL,1000.0,1081.0,951.0,1081.0,1741.0
