Date,Symbol,Open,High,Low,Close,Volume
2017-04-16,AKPL,297.0,326.0,297.0,326.0,9361.0
2017-04-18,AKPL,332.0,358.0,332.0,358.0,31151.0
2017-04-19,AKPL,358.0,393.0,365.0,393.0,10034.0
2017-04-23,AKPL,400.0,432.0,383.0,411.0,99212.0
2017-04-24,AKPL,403.0,408.0,385.0,402.0,53027.0
2017-04-25,AKPL,394.0,418.0,393.0,408.0,39076.0
2017-04-26,AKPL,403.0,448.0,403.0,441.0,35032.0
2017-04-27,AKPL,433.0,469.0,425.0,461.0,45822.0
2017-04-30,AKPL,460.0,460.0,438.0,445.0,52492.0
2017-05-02,AKPL,445.0,455.0,434.0,444.0,30617.0
2017-05-03,AKPL,452.0,457.0,436.0,438.0,24825.0
2017-05-04,AKPL,438.0,450.0,435.0,447.0,51497.0
2017-05-07,AKPL,450.0,450.0,437.0,439.0,29759.0
2017-05-08,AKPL,432.0,448.0,432.0,444.0,24419.0
2017-05-09,AKPL,444.0,474.0,441.0,467.0,48134.0
2017-05-11,AKPL,470.0,503.0,466.0,485.0,53131.0
2017-05-15,AKPL,485.0,493.0,475.0,477.0,20965.0
2017-05-16,AKPL,472.0,485.0,472.0,480.0,12819.0
2017-05-17,AKPL,472.0,484.0,472.0,480.0,14404.0
2017-05-18,AKPL,481.0,493.0,473.0,490.0,25777.0
2017-05-21,AKPL,481.0,485.0,465.0,484.0,11480.0
2017-05-22,AKPL,475.0,479.0,460.0,472.0,8730.0
2017-05-23,AKPL,465.0,483.0,465.0,468.0,11209.0
2017-05-24,AKPL,468.0,482.0,460.0,470.0,9904.0
2017-05-28,AKPL,475.0,475.0,461.0,467.0,7736.0
2017-05-30,AKPL,462.0,469.0,450.0,460.0,11667.0
2017-05-31,AKPL,460.0,469.0,451.0,460.0,8876.0
2017-06-01,AKPL,460.0,462.0,454.0,460.0,7009.0
2017-06-04,AKPL,452.0,459.0,444.0,450.0,8662.0
2017-06-05,AKPL,445.0,455.0,443.0,450.0,5406.0
2017-06-06,AKPL,441.0,463.0,441.0,457.0,5992.0
2017-06-07,AKPL,448.0,455.0,446.0,447.0,11678.0
2017-06-08,AKPL,449.0,449.0,437.0,447.0,9330.0
2017-06-11,AKPL,445.0,445.0,429.0,430.0,13870.0
2017-06-12,AKPL,422.0,435.0,416.0,422.0,10653.0
2017-06-13,AKPL,416.0,430.0,416.0,422.0,7280.0
2017-06-14,AKPL,415.0,430.0,415.0,430.0,4893.0
2017-06-15,AKPL,423.0,434.0,417.0,434.0,6410.0
2017-06-18,AKPL,434.0,435.0,415.0,418.0,2107.0
2017-06-19,AKPL,413.0,418.0,405.0,405.0,4938.0
2017-06-20,AKPL,400.0,421.0,400.0,412.0,4359.0
2017-06-21,AKPL,410.0,416.0,406.0,416.0,8927.0
2017-06-22,AKPL,420.0,420.0,415.0,418.0,2909.0
2017-06-25,AKPL,418.0,439.0,418.0,437.0,5526.0
2017-06-27,AKPL,439.0,439.0,427.0,429.0,2938.0
2017-06-28,AKPL,421.0,425.0,417.0,421.0,1161.0
2017-07-02,AKPL,419.0,420.0,405.0,410.0,3952.0
2017-07-03,AKPL,408.0,418.0,405.0,406.0,5055.0
2017-07-04,AKPL,400.0,412.0,400.0,409.0,1815.0
2017-07-05,AKPL,406.0,417.0,405.0,417.0,3711.0
2017-07-06,AKPL,409.0,425.0,409.0,425.0,1898.0
2017-07-09,AKPL,425.0,430.0,408.0,425.0,5553.0
2017-07-10,AKPL,425.0,425.0,401.0,415.0,32236.0
2017-07-11,AKPL,415.0,417.0,408.0,417.0,4924.0
2017-07-12,AKPL,410.0,414.0,410.0,412.0,3492.0
2017-07-13,AKPL,405.0,413.0,405.0,409.0,2146.0
2017-07-16,AKPL,401.0,415.0,401.0,415.0,5459.0
2017-07-17,AKPL,407.0,416.0,407.0,412.0,7175.0
2017-07-18,AKPL,420.0,441.0,405.0,434.0,9889.0
2017-07-19,AKPL,435.0,435.0,417.0,417.0,10705.0
2017-07-20,AKPL,420.0,422.0,415.0,417.0,5106.0
2017-07-23,AKPL,411.0,425.0,411.0,416.0,5856.0
2017-07-24,AKPL,413.0,423.0,411.0,412.0,9148.0
2017-07-25,AKPL,404.0,423.0,404.0,411.0,3866.0
2017-07-26,AKPL,415.0,416.0,410.0,415.0,6045.0
2017-07-27,AKPL,412.0,414.0,409.0,412.0,3964.0
2017-07-30,AKPL,419.0,418.0,407.0,408.0,11606.0
2017-07-31,AKPL,400.0,423.0,400.0,418.0,8062.0
2017-08-01,AKPL,410.0,420.0,404.0,420.0,6928.0
2017-08-02,AKPL,416.0,416.0,408.0,411.0,4182.0
2017-08-03,AKPL,411.0,418.0,404.0,410.0,3902.0
2017-08-06,AKPL,402.0,411.0,402.0,407.0,3548.0
2017-08-07,AKPL,410.0,410.0,405.0,406.0,3067.0
2017-08-09,AKPL,405.0,405.0,397.0,400.0,11476.0
2017-08-10,AKPL,392.0,400.0,392.0,393.0,8529.0
2017-08-13,AKPL,400.0,400.0,376.0,381.0,5335.0
2017-08-15,AKPL,387.0,387.0,367.0,367.0,5051.0
2017-08-16,AKPL,370.0,387.0,370.0,375.0,5715.0
2017-08-17,AKPL,368.0,375.0,364.0,368.0,13588.0
2017-08-20,AKPL,370.0,370.0,356.0,362.0,5245.0
2017-08-21,AKPL,356.0,366.0,350.0,366.0,6837.0
2017-08-22,AKPL,359.0,380.0,352.0,359.0,2835.0
2017-08-23,AKPL,353.0,362.0,353.0,357.0,10457.0
2017-08-24,AKPL,357.0,372.0,351.0,372.0,4775.0
2017-08-27,AKPL,372.0,378.0,350.0,378.0,9008.0
2017-08-28,AKPL,382.0,391.0,358.0,368.0,6756.0
2017-08-30,AKPL,362.0,368.0,360.0,361.0,2199.0
2017-08-31,AKPL,360.0,358.0,350.0,354.0,6893.0
2017-09-04,AKPL,355.0,362.0,345.0,360.0,5940.0
2017-09-06,AKPL,367.0,365.0,346.0,350.0,5791.0
2017-09-07,AKPL,346.0,352.0,346.0,348.0,6831.0
2017-09-10,AKPL,342.0,342.0,330.0,332.0,9243.0
2017-09-11,AKPL,327.0,340.0,326.0,335.0,2600.0
2017-09-12,AKPL,335.0,339.0,326.0,330.0,3991.0
2017-09-13,AKPL,327.0,335.0,326.0,330.0,2061.0
2017-09-14,AKPL,324.0,342.0,324.0,342.0,2678.0
2017-09-17,AKPL,345.0,350.0,340.0,340.0,4138.0
2017-09-18,AKPL,346.0,346.0,334.0,336.0,1968.0
2017-09-20,AKPL,330.0,336.0,326.0,333.0,1664.0
2017-09-24,AKPL,328.0,337.0,328.0,335.0,779.0
2017-09-25,AKPL,340.0,343.0,339.0,341.0,1680.0
2017-09-26,AKPL,340.0,341.0,330.0,340.0,3344.0
2017-10-04,AKPL,346.0,346.0,330.0,332.0,2804.0
2017-10-08,AKPL,326.0,326.0,315.0,317.0,1817.0
2017-10-09,AKPL,317.0,319.0,315.0,319.0,2361.0
2017-10-10,AKPL,312.0,323.0,312.0,323.0,1247.0
2017-10-11,AKPL,317.0,326.0,317.0,325.0,277.0
2017-10-12,AKPL,320.0,324.0,317.0,320.0,4026.0
2017-10-15,AKPL,315.0,325.0,315.0,325.0,1226.0
2017-10-16,AKPL,320.0,336.0,320.0,326.0,389.0
2017-10-17,AKPL,321.0,338.0,321.0,328.0,1323.0
2017-10-18,AKPL,322.0,329.0,317.0,329.0,215.0
2017-10-22,AKPL,335.0,351.0,335.0,344.0,6572.0
2017-10-23,AKPL,351.0,355.0,340.0,342.0,2467.0
2017-10-24,AKPL,342.0,346.0,340.0,344.0,779.0
2017-10-25,AKPL,338.0,344.0,335.0,338.0,2006.0
2017-10-29,AKPL,335.0,346.0,333.0,335.0,1668.0
2017-10-30,AKPL,335.0,335.0,330.0,332.0,5677.0
2017-10-31,AKPL,332.0,335.0,327.0,334.0,1710.0
2017-11-01,AKPL,337.0,338.0,328.0,330.0,2946.0
2017-11-02,AKPL,323.0,331.0,323.0,327.0,1048.0
2017-11-05,AKPL,321.0,325.0,321.0,325.0,1982.0
2017-11-06,AKPL,325.0,331.0,322.0,326.0,2142.0
2017-11-07,AKPL,320.0,330.0,320.0,330.0,982.0
2017-11-08,AKPL,330.0,330.0,319.0,322.0,1927.0
2017-11-09,AKPL,320.0,338.0,320.0,326.0,3682.0
2017-11-12,AKPL,326.0,330.0,324.0,327.0,1146.0
2017-11-13,AKPL,327.0,342.0,321.0,342.0,2082.0
2017-11-14,AKPL,340.0,348.0,334.0,346.0,8731.0
2017-11-15,AKPL,342.0,342.0,332.0,337.0,2178.0
2017-11-16,AKPL,331.0,343.0,327.0,332.0,2407.0
2017-11-19,AKPL,332.0,340.0,326.0,335.0,45210.0
2017-11-20,AKPL,330.0,338.0,330.0,336.0,2051.0
2017-11-21,AKPL,331.0,351.0,330.0,351.0,7667.0
2017-11-22,AKPL,351.0,353.0,334.0,343.0,2724.0
2017-11-23,AKPL,343.0,353.0,343.0,353.0,5691.0
2017-11-26,AKPL,353.0,364.0,347.0,354.0,3578.0
2017-11-27,AKPL,347.0,361.0,336.0,351.0,4960.0
2017-11-28,AKPL,344.0,358.0,344.0,348.0,695.0
