Date,Symbol,Open,High,Low,Close,Volume
2024-03-04,BHDC,443.9,461.7,443.9,461.7,50.0
2024-03-05,BHDC,463.0,469.0,434.2,434.2,12496.0
2024-03-06,BHDC,442.8,460.8,438.0,454.0,6514.0
2024-03-07,BHDC,463.0,464.1,445.4,463.0,11571.0
2024-03-08,BHDC,463.0,464.1,445.4,463.0,11571.0
2024-03-09,BHDC,463.0,464.1,445.4,463.0,11571.0
2024-03-10,BHDC,464.0,475.0,460.0,469.0,12109.0
2024-03-11,BHDC,464.0,475.0,460.0,469.0,12109.0
2024-03-12,BHDC,460.1,479.4,460.1,478.0,6370.0
2024-03-13,BHDC,476.0,477.6,459.2,475.0,10310.0
2024-03-14,BHDC,480.0,480.0,469.0,478.0,938.0
2024-03-15,BHDC,480.0,480.0,469.0,478.0,938.0
2024-03-16,BHDC,480.0,480.0,469.0,478.0,938.0
2024-03-17,BHDC,468.5,475.0,461.4,475.0,1731.0
2024-03-18,BHDC,465.5,475.4,460.0,475.0,6853.0
2024-03-19,BHDC,466.0,484.0,466.0,469.0,7011.0
2024-03-20,BHDC,463.0,476.0,459.7,473.0,7165.0
2024-03-21,BHDC,464.0,468.2,464.0,464.0,10871.0
2024-03-22,BHDC,464.0,468.2,464.0,464.0,10871.0
2024-03-23,BHDC,464.0,468.2,464.0,464.0,10871.0
2024-03-24,BHDC,464.0,468.2,464.0,464.0,10871.0
2024-03-25,BHDC,460.0,460.0,447.7,450.0,1659.0
2024-03-26,BHDC,443.0,469.1,443.0,462.0,6550.0
2024-03-27,BHDC,453.1,470.0,453.1,465.0,2130.0
2024-03-28,BHDC,460.0,472.2,451.5,469.0,1100.0
2024-03-29,BHDC,460.0,472.2,451.5,469.0,1100.0
2024-03-30,BHDC,460.0,472.2,451.5,469.0,1100.0
2024-03-31,BHDC,460.0,475.0,453.4,468.9,12215.0
2024-04-01,BHDC,460.0,476.9,452.0,472.8,2962.0
2024-04-02,BHDC,464.0,472.5,456.7,472.5,6065.0
2024-04-03,BHDC,463.1,477.3,456.0,470.5,3352.0
2024-04-04,BHDC,464.0,465.0,455.7,464.9,2534.0
2024-04-05,BHDC,464.0,465.0,455.7,464.9,2534.0
2024-04-06,BHDC,464.0,465.0,455.7,464.9,2534.0
2024-04-07,BHDC,455.9,470.2,455.9,470.2,3974.0
2024-04-08,BHDC,455.9,470.2,455.9,470.2,3974.0
2024-04-09,BHDC,463.4,479.6,463.4,470.2,9591.0
2024-04-10,BHDC,467.0,498.0,464.0,474.0,13476.0
2024-04-11,BHDC,467.0,498.0,464.0,474.0,13476.0
