Date,Symbol,Open,High,Low,Close,Volume
2024-03-04,BHL,319.0,344.0,319.0,344.0,1080.0
2024-03-05,BHL,344.0,346.0,333.0,336.0,17331.0
2024-03-06,BHL,331.2,353.9,331.2,349.0,37307.0
2024-03-07,BHL,352.4,364.0,343.2,364.0,21416.0
2024-03-08,BHL,352.4,364.0,343.2,364.0,21416.0
2024-03-09,BHL,352.4,364.0,343.2,364.0,21416.0
2024-03-10,BHL,364.0,370.0,347.0,353.0,14785.0
2024-03-11,BHL,364.0,370.0,347.0,353.0,14785.0
2024-03-12,BHL,353.0,360.0,347.1,356.0,11929.0
2024-03-13,BHL,363.0,363.0,342.0,345.0,9890.0
2024-03-14,BHL,351.9,373.3,339.2,341.0,7018.0
2024-03-15,BHL,351.9,373.3,339.2,341.0,7018.0
2024-03-16,BHL,351.9,373.3,339.2,341.0,7018.0
2024-03-17,BHL,340.0,346.0,333.3,337.0,14390.0
2024-03-18,BHL,343.7,350.3,332.0,342.0,6770.0
2024-03-19,BHL,335.2,356.6,335.2,347.4,7837.0
2024-03-20,BHL,347.0,364.1,341.1,345.9,6530.0
2024-03-21,BHL,342.0,359.0,337.0,343.0,3490.0
2024-03-22,BHL,342.0,359.0,337.0,343.0,3490.0
2024-03-23,BHL,342.0,359.0,337.0,343.0,3490.0
2024-03-24,BHL,342.0,359.0,337.0,343.0,3490.0
2024-03-25,BHL,336.5,338.0,331.2,337.0,5019.0
2024-03-26,BHL,343.7,360.0,331.3,353.9,24225.0
2024-03-27,BHL,350.0,370.2,350.0,369.0,45375.0
2024-03-28,BHL,362.0,373.0,361.4,364.0,21472.0
2024-03-29,BHL,362.0,373.0,361.4,364.0,21472.0
2024-03-30,BHL,362.0,373.0,361.4,364.0,21472.0
2024-03-31,BHL,371.0,375.0,351.3,353.0,21788.0
2024-04-01,BHL,360.0,360.0,345.0,345.0,11941.0
2024-04-02,BHL,345.0,357.0,338.1,340.9,17075.0
2024-04-03,BHL,347.0,357.5,335.2,349.0,3921.0
2024-04-04,BHL,349.0,351.9,342.4,348.0,12115.0
2024-04-05,BHL,349.0,351.9,342.4,348.0,12115.0
2024-04-06,BHL,349.0,351.9,342.4,348.0,12115.0
2024-04-07,BHL,342.5,348.0,340.3,346.0,6220.0
2024-04-08,BHL,342.5,348.0,340.3,346.0,6220.0
2024-04-09,BHL,340.5,359.0,340.5,350.0,8339.0
2024-04-10,BHL,345.0,361.0,345.0,350.0,21347.0
2024-04-11,BHL,345.0,361.0,345.0,350.0,21347.0
2024-04-12,BHL,345.0,361.0,345.0,350.0,21347.0
2024-04-13,BHL,345.0,361.0,345.0,350.0,21347.0
2024-04-14,BHL,344.0,355.9,344.0,348.0,2553.0
2024-04-15,BHL,342.0,354.9,340.2,344.7,7745.0
2024-04-16,BHL,342.0,344.7,335.0,344.7,5944.0
2024-04-17,BHL,342.0,344.7,335.0,344.7,5944.0
2024-04-18,BHL,338.1,340.0,329.0,334.0,4980.0
2024-04-19,BHL,338.1,340.0,329.0,334.0,4980.0
2024-04-20,BHL,338.1,340.0,329.0,334.0,4980.0
2024-04-21,BHL,328.0,340.0,326.1,340.0,3923.0
2024-04-22,BHL,333.2,343.0,327.1,336.0,3390.0
2024-04-23,BHL,333.2,343.0,327.1,336.0,3390.0
2024-04-24,BHL,337.0,344.7,329.0,330.0,6232.0
2024-04-25,BHL,335.0,335.0,323.0,329.4,8791.0
2024-04-26,BHL,335.0,335.0,323.0,329.4,8791.0
2024-04-27,BHL,335.0,335.0,323.0,329.4,8791.0
2024-04-28,BHL,335.9,335.9,323.0,328.7,2964.0
2024-04-29,BHL,335.2,335.2,323.0,325.0,6088.0
2024-04-30,BHL,320.1,341.5,320.0,331.0,10670.0
2024-05-01,BHL,320.1,341.5,320.0,331.0,10670.0
2024-05-02,BHL,326.1,344.3,320.5,322.0,6707.0
2024-05-03,BHL,326.1,344.3,320.5,322.0,6707.0
2024-05-04,BHL,326.1,344.3,320.5,322.0,6707.0
2024-05-05,BHL,318.1,335.9,318.0,322.9,4675.0
2024-05-06,BHL,322.9,329.0,316.5,320.0,1572.0
2024-05-07,BHL,315.0,332.0,315.0,320.0,6424.0
2024-05-08,BHL,314.2,326.9,314.2,320.0,5345.0
2024-05-09,BHL,324.0,324.9,315.5,319.5,5023.0
2024-05-10,BHL,324.0,324.9,315.5,319.5,5023.0
2024-05-11,BHL,324.0,324.9,315.5,319.5,5023.0
2024-05-12,BHL,316.1,324.9,316.1,319.7,2013.0
2024-05-13,BHL,313.4,325.0,313.4,319.0,2495.0
2024-05-14,BHL,312.7,328.9,312.7,328.7,8526.0
2024-05-15,BHL,330.0,336.0,321.1,325.0,6425.0
