Date,Symbol,Open,High,Low,Close,Volume
2024-03-07,EBLD86,919.0,920.0,901.6,901.6,75.0
2024-03-08,EBLD86,919.0,920.0,901.6,901.6,75.0
2024-03-09,EBLD86,919.0,920.0,901.6,901.6,75.0
2024-03-10,EBLD86,902.0,902.0,902.0,902.0,25.0
2024-03-11,EBLD86,902.0,902.0,902.0,902.0,25.0
2024-03-13,EBLD86,902.1,903.1,884.2,901.8,600.0
2024-03-14,EBLD86,894.0,894.0,894.0,894.0,25.0
2024-03-15,EBLD86,894.0,894.0,894.0,894.0,25.0
2024-03-16,EBLD86,894.0,894.0,894.0,894.0,25.0
2024-03-17,EBLD86,891.1,891.1,891.1,891.1,25.0
2024-03-19,EBLD86,901.0,902.0,901.0,902.0,55.0
2024-03-27,EBLD86,906.0,906.0,906.0,906.0,50.0
2024-03-31,EBLD86,904.1,904.1,904.1,904.1,25.0
2024-04-01,EBLD86,910.0,910.0,910.0,910.0,25.0
2024-04-03,EBLD86,915.0,915.0,915.0,915.0,30.0
2024-04-04,EBLD86,940.0,951.9,940.0,951.9,60.0
2024-04-05,EBLD86,940.0,951.9,940.0,951.9,60.0
2024-04-06,EBLD86,940.0,951.9,940.0,951.9,60.0
2024-04-07,EBLD86,967.9,970.9,967.9,970.9,400.0
2024-04-08,EBLD86,967.9,970.9,967.9,970.9,400.0
2024-04-09,EBLD86,970.9,971.0,970.9,971.0,150.0
2024-04-10,EBLD86,970.0,970.0,970.0,970.0,25.0
2024-04-11,EBLD86,970.0,970.0,970.0,970.0,25.0
2024-04-12,EBLD86,970.0,970.0,970.0,970.0,25.0
2024-04-13,EBLD86,970.0,970.0,970.0,970.0,25.0
2024-04-14,EBLD86,962.0,1000.0,962.0,1000.0,553.0
2024-04-16,EBLD86,1000.0,1005.0,1000.0,1005.0,150.0
2024-04-17,EBLD86,1000.0,1005.0,1000.0,1005.0,150.0
2024-04-18,EBLD86,987.0,987.0,987.0,987.0,25.0
2024-04-19,EBLD86,987.0,987.0,987.0,987.0,25.0
2024-04-20,EBLD86,987.0,987.0,987.0,987.0,25.0
2024-04-21,EBLD86,981.0,981.0,981.0,981.0,140.0
2024-04-24,EBLD86,998.0,1000.5,998.0,1000.5,100.0
2024-04-28,EBLD86,981.0,981.0,980.5,980.5,50.0
2024-04-29,EBLD86,973.2,999.9,973.2,999.9,175.0
2024-04-30,EBLD86,990.1,990.1,990.1,990.1,25.0
2024-05-01,EBLD86,990.1,990.1,990.1,990.1,25.0
2024-05-02,EBLD86,992.3,992.3,992.2,992.2,188.0
2024-05-03,EBLD86,992.3,992.3,992.2,992.2,188.0
2024-05-04,EBLD86,992.3,992.3,992.2,992.2,188.0
2024-05-05,EBLD86,982.0,982.0,982.0,982.0,25.0
2024-05-09,EBLD86,984.1,984.1,984.0,984.0,50.0
2024-05-10,EBLD86,984.1,984.1,984.0,984.0,50.0
2024-05-11,EBLD86,984.1,984.1,984.0,984.0,50.0
2024-05-12,EBLD86,992.2,992.2,977.0,977.0,75.0
2024-05-13,EBLD86,967.9,967.9,967.9,967.9,30.0
2024-05-15,EBLD86,970.2,981.0,970.2,981.0,50.0
2024-05-19,EBLD86,1000.0,1000.0,1000.0,1000.0,163.0
2024-05-20,EBLD86,981.0,981.0,981.0,981.0,25.0
2024-05-21,EBLD86,1000.0,1000.0,1000.0,1000.0,75.0
2024-05-29,EBLD86,980.0,980.0,980.0,980.0,25.0
2024-06-03,EBLD86,980.1,980.1,980.1,980.1,50.0
2024-06-06,EBLD86,968.0,987.0,968.0,987.0,550.0
2024-06-07,EBLD86,968.0,987.0,968.0,987.0,550.0
2024-06-08,EBLD86,968.0,987.0,968.0,987.0,550.0
2024-06-10,EBLD86,973.0,992.0,972.9,980.0,270.0
2024-06-13,EBLD86,981.0,981.0,981.0,981.0,280.0
2024-06-14,EBLD86,981.0,981.0,981.0,981.0,280.0
2024-06-15,EBLD86,981.0,981.0,981.0,981.0,280.0
2024-06-16,EBLD86,995.0,995.0,981.1,981.1,525.0
2024-06-17,EBLD86,995.0,995.0,981.1,981.1,525.0
2024-06-18,EBLD86,980.0,980.0,980.0,980.0,25.0
2024-06-20,EBLD86,976.1,976.1,976.1,976.1,25.0
2024-06-21,EBLD86,976.1,976.1,976.1,976.1,25.0
2024-06-22,EBLD86,976.1,976.1,976.1,976.1,25.0
2024-06-23,EBLD86,995.0,995.0,995.0,995.0,105.0
2024-06-24,EBLD86,980.0,980.0,980.0,980.0,100.0
2024-06-25,EBLD86,975.0,975.0,975.0,975.0,25.0
2024-06-27,EBLD86,975.0,1005.0,975.0,1005.0,555.0
2024-06-28,EBLD86,975.0,1005.0,975.0,1005.0,555.0
2024-06-29,EBLD86,975.0,1005.0,975.0,1005.0,555.0
2024-07-01,EBLD86,985.0,1000.0,985.0,1000.0,175.0
2024-07-03,EBLD86,981.1,981.1,981.1,981.1,25.0
2024-07-04,EBLD86,981.1,999.0,981.1,999.0,100.0
2024-07-05,EBLD86,981.1,999.0,981.1,999.0,100.0
2024-07-06,EBLD86,981.1,999.0,981.1,999.0,100.0
2024-07-07,EBLD86,981.0,981.0,981.0,981.0,25.0
2024-07-08,EBLD86,976.2,995.7,970.0,995.7,650.0
2024-07-14,EBLD86,976.0,976.0,976.0,976.0,100.0
2024-07-15,EBLD86,970.0,980.0,970.0,980.0,50.0
2024-07-16,EBLD86,980.0,985.0,980.0,985.0,600.0
2024-07-17,EBLD86,966.0,966.0,950.0,950.0,60.0
2024-07-18,EBLD86,937.0,937.0,937.0,937.0,25.0
2024-07-19,EBLD86,937.0,937.0,937.0,937.0,25.0
2024-07-20,EBLD86,937.0,937.0,937.0,937.0,25.0
2024-07-22,EBLD86,937.9,937.9,937.9,937.9,50.0
2024-07-23,EBLD86,956.5,956.5,956.5,956.5,25.0
2024-07-24,EBLD86,941.9,950.0,941.9,950.0,50.0
2024-07-25,EBLD86,961.0,961.0,961.0,961.0,25.0
2024-07-26,EBLD86,961.0,961.0,961.0,961.0,25.0
2024-07-27,EBLD86,961.0,961.0,961.0,961.0,25.0
2024-07-28,EBLD86,945.0,961.0,945.0,961.0,50.0
2024-07-29,EBLD86,961.0,962.0,961.0,962.0,105.0
2024-07-30,EBLD86,955.1,955.1,955.1,955.1,25.0
2024-07-31,EBLD86,942.0,956.1,942.0,956.1,155.0
2024-08-01,EBLD86,974.0,999.0,974.0,999.0,1061.0
2024-08-02,EBLD86,974.0,999.0,974.0,999.0,1061.0
2024-08-03,EBLD86,974.0,999.0,974.0,999.0,1061.0
2024-08-04,EBLD86,974.0,999.0,974.0,999.0,1061.0
2024-08-05,EBLD86,991.0,991.0,991.0,991.0,50.0
2024-08-06,EBLD86,980.0,980.0,980.0,980.0,25.0
2024-08-07,EBLD86,995.0,1000.0,995.0,1000.0,1099.0
2024-08-08,EBLD86,995.0,995.0,995.0,995.0,200.0
2024-08-09,EBLD86,995.0,995.0,995.0,995.0,200.0
2024-08-10,EBLD86,995.0,995.0,995.0,995.0,200.0
2024-08-11,EBLD86,995.0,995.0,995.0,995.0,150.0
2024-08-12,EBLD86,996.0,996.0,996.0,996.0,25.0
2024-08-13,EBLD86,997.0,997.0,997.0,997.0,125.0
2024-08-14,EBLD86,1000.0,1000.0,1000.0,1000.0,30.0
2024-08-15,EBLD86,1005.0,1005.0,999.0,999.0,725.0
2024-08-16,EBLD86,1005.0,1005.0,999.0,999.0,725.0
2024-08-17,EBLD86,1005.0,1005.0,999.0,999.0,725.0
2024-08-18,EBLD86,999.0,999.0,999.0,999.0,150.0
2024-08-19,EBLD86,999.0,999.0,999.0,999.0,150.0
2024-08-20,EBLD86,999.0,999.0,999.0,999.0,150.0
2024-08-22,EBLD86,999.0,1010.0,999.0,1010.0,164.0
2024-08-23,EBLD86,999.0,1010.0,999.0,1010.0,164.0
2024-08-24,EBLD86,999.0,1010.0,999.0,1010.0,164.0
2024-08-25,EBLD86,1001.0,1002.0,1001.0,1002.0,200.0
2024-08-26,EBLD86,1001.0,1002.0,1001.0,1002.0,200.0
2024-08-27,EBLD86,1006.0,1010.0,1005.0,1010.0,125.0
2024-08-28,EBLD86,999.0,1000.0,999.0,1000.0,125.0
2024-08-29,EBLD86,999.0,1001.1,999.0,1001.1,270.0
2024-08-30,EBLD86,999.0,1001.1,999.0,1001.1,270.0
2024-08-31,EBLD86,999.0,1001.1,999.0,1001.1,270.0
2024-09-01,EBLD86,1001.1,1001.1,1001.1,1001.1,30.0
2024-09-02,EBLD86,1002.0,1019.5,1002.0,1019.0,175.0
2024-09-03,EBLD86,1008.0,1014.0,1008.0,1014.0,75.0
2024-09-04,EBLD86,1014.0,1016.0,1005.0,1005.0,375.0
2024-09-05,EBLD86,1006.0,1025.0,1006.0,1007.0,265.0
2024-09-06,EBLD86,1006.0,1025.0,1006.0,1007.0,265.0
2024-09-07,EBLD86,1006.0,1025.0,1006.0,1007.0,265.0
2024-09-08,EBLD86,1007.0,1007.0,1007.0,1007.0,25.0
2024-09-09,EBLD86,1027.0,1038.0,1015.0,1015.0,805.0
2024-09-10,EBLD86,1008.0,1008.1,1008.0,1008.0,100.0
2024-09-11,EBLD86,1010.1,1010.2,1000.0,1000.0,10050.0
2024-09-12,EBLD86,1011.0,1011.0,1011.0,1011.0,25.0
2024-09-13,EBLD86,1011.0,1011.0,1011.0,1011.0,25.0
2024-09-14,EBLD86,1011.0,1011.0,1011.0,1011.0,25.0
2024-09-15,EBLD86,1031.0,1042.0,1022.0,1022.0,530.0
2024-09-16,EBLD86,1016.0,1028.0,1016.0,1028.0,100.0
2024-09-17,EBLD86,1016.0,1028.0,1016.0,1028.0,100.0
2024-09-18,EBLD86,1011.0,1028.0,1011.0,1017.0,150.0
2024-09-19,EBLD86,1011.0,1028.0,1011.0,1017.0,150.0
2024-09-20,EBLD86,1011.0,1028.0,1011.0,1017.0,150.0
2024-09-21,EBLD86,1011.0,1028.0,1011.0,1017.0,150.0
2024-09-22,EBLD86,1017.0,1037.3,1017.0,1017.0,169.0
2024-09-23,EBLD86,1037.0,1042.0,1022.0,1026.0,425.0
2024-09-24,EBLD86,1021.0,1021.0,1021.0,1021.0,25.0
2024-09-26,EBLD86,1026.0,1026.0,1026.0,1026.0,50.0
2024-09-27,EBLD86,1026.0,1026.0,1026.0,1026.0,50.0
2024-09-28,EBLD86,1026.0,1026.0,1026.0,1026.0,50.0
2024-09-29,EBLD86,1020.0,1020.0,1020.0,1020.0,35.0
2024-09-30,EBLD86,1039.0,1042.0,1039.0,1042.0,260.0
2024-10-02,EBLD86,1022.0,1045.5,1022.0,1024.6,155.0
2024-10-03,EBLD86,1022.0,1045.5,1022.0,1024.6,155.0
2024-10-04,EBLD86,1022.0,1045.5,1022.0,1024.6,155.0
2024-10-05,EBLD86,1022.0,1045.5,1022.0,1024.6,155.0
2024-10-15,EBLD86,1022.0,1022.0,1022.0,1022.0,25.0
