Date,Symbol,Open,High,Low,Close,Volume
2024-06-24,HLIPO,175.0,175.0,175.0,175.0,64509.0
2024-07-15,HLIPO,172.0,172.0,172.0,172.0,156871.0
2024-07-30,HLIPO,175.0,175.0,175.0,175.0,9240.0
2024-07-31,HLIPO,237.0,251.4,237.0,251.4,115000.0
2024-09-23,HLIPO,251.0,251.0,251.0,251.0,21304.0
2024-11-13,HLIPO,256.0,261.0,256.0,261.0,196973.0
2024-11-24,HLIPO,255.8,255.8,245.7,245.7,85000.0
2024-11-26,HLIPO,241.0,241.0,241.0,241.0,85000.0
2024-11-27,HLIPO,242.0,242.0,241.0,241.0,286534.0
2024-12-01,HLIPO,241.0,241.0,241.0,241.0,100.0
2024-12-16,HLIPO,241.0,241.0,241.0,241.0,79392.0
2025-05-22,HLIPO,226.0,226.0,226.0,226.0,181012.0
2025-05-23,HLIPO,226.0,226.0,226.0,226.0,181012.0
2025-05-24,HLIPO,226.0,226.0,226.0,226.0,181012.0
2025-07-01,HLIPO,221.5,221.5,221.5,221.5,163293.0
2025-07-02,HLIPO,221.5,221.5,221.5,221.5,163814.0
2025-07-16,HLIPO,221.5,221.5,221.5,221.5,112240.0
