Date,Symbol,Open,High,Low,Close,Volume
2024-03-04,IGI,529.0,559.0,529.0,559.0,1767.0
2024-03-05,IGI,559.0,559.0,520.0,533.9,78926.0
2024-03-06,IGI,525.0,541.8,515.0,530.0,96918.0
2024-03-07,IGI,524.1,544.5,524.1,543.8,29666.0
2024-03-08,IGI,524.1,544.5,524.1,543.8,29666.0
2024-03-09,IGI,524.1,544.5,524.1,543.8,29666.0
2024-03-10,IGI,543.8,560.0,540.0,550.0,47293.0
2024-03-11,IGI,543.8,560.0,540.0,550.0,47293.0
2024-03-12,IGI,560.0,569.9,552.0,569.0,73921.0
2024-03-13,IGI,580.3,580.3,557.1,561.0,55712.0
2024-03-14,IGI,561.0,566.0,545.0,551.0,46184.0
2024-03-15,IGI,561.0,566.0,545.0,551.0,46184.0
2024-03-16,IGI,561.0,566.0,545.0,551.0,46184.0
2024-03-17,IGI,550.1,560.0,545.3,549.9,32778.0
2024-03-18,IGI,554.0,555.0,545.0,545.3,23756.0
2024-03-19,IGI,555.0,555.0,542.3,544.0,30149.0
2024-03-20,IGI,553.0,553.0,541.0,543.8,18121.0
2024-03-21,IGI,554.6,554.6,535.0,543.8,24566.0
2024-03-22,IGI,554.6,554.6,535.0,543.8,24566.0
2024-03-23,IGI,554.6,554.6,535.0,543.8,24566.0
2024-03-24,IGI,554.6,554.6,535.0,543.8,24566.0
2024-03-25,IGI,535.0,545.0,535.0,544.0,22079.0
2024-03-26,IGI,552.0,552.0,535.2,542.9,20944.0
2024-03-27,IGI,533.7,545.0,533.7,536.8,24561.0
2024-03-28,IGI,536.0,545.0,531.0,533.1,36590.0
2024-03-29,IGI,536.0,545.0,531.0,533.1,36590.0
2024-03-30,IGI,536.0,545.0,531.0,533.1,36590.0
2024-03-31,IGI,535.0,541.0,532.4,540.0,11847.0
2024-04-01,IGI,529.2,539.7,529.0,534.9,15385.0
2024-04-02,IGI,545.5,545.5,528.0,528.2,7948.0
2024-04-03,IGI,538.7,538.7,524.5,525.0,16510.0
2024-04-04,IGI,526.0,529.0,519.2,524.3,30983.0
2024-04-05,IGI,526.0,529.0,519.2,524.3,30983.0
2024-04-06,IGI,526.0,529.0,519.2,524.3,30983.0
2024-04-07,IGI,520.3,537.9,520.3,536.5,47700.0
2024-04-08,IGI,520.3,537.9,520.3,536.5,47700.0
2024-04-09,IGI,537.0,552.0,534.0,545.3,67826.0
2024-04-10,IGI,554.8,554.8,536.0,537.1,20399.0
2024-04-11,IGI,554.8,554.8,536.0,537.1,20399.0
2024-04-12,IGI,554.8,554.8,536.0,537.1,20399.0
2024-04-13,IGI,554.8,554.8,536.0,537.1,20399.0
2024-04-14,IGI,535.1,539.9,524.3,528.0,40199.0
2024-04-15,IGI,529.0,530.1,520.2,520.2,8426.0
2024-04-16,IGI,520.2,525.0,518.0,518.5,13859.0
2024-04-17,IGI,520.2,525.0,518.0,518.5,13859.0
2024-04-18,IGI,510.1,526.0,510.0,521.5,11633.0
2024-04-19,IGI,510.1,526.0,510.0,521.5,11633.0
2024-04-20,IGI,510.1,526.0,510.0,521.5,11633.0
2024-04-21,IGI,517.1,530.0,515.0,525.0,31296.0
2024-04-22,IGI,528.0,528.0,518.3,520.0,7521.0
2024-04-23,IGI,528.0,528.0,518.3,520.0,7521.0
2024-04-24,IGI,520.0,523.8,518.1,518.1,7441.0
2024-04-25,IGI,521.0,526.0,515.2,515.7,17400.0
2024-04-26,IGI,521.0,526.0,515.2,515.7,17400.0
2024-04-27,IGI,521.0,526.0,515.2,515.7,17400.0
2024-04-28,IGI,521.0,529.9,517.3,525.0,15117.0
