Date,Symbol,Open,High,Low,Close,Volume
2024-03-05,LEMF,9.3,9.6,9.3,9.45,8282.0
2024-03-06,LEMF,9.27,9.44,9.27,9.38,7588.0
2024-03-07,LEMF,9.34,9.4,9.33,9.4,41101.0
2024-03-08,LEMF,9.34,9.4,9.33,9.4,41101.0
2024-03-09,LEMF,9.34,9.4,9.33,9.4,41101.0
2024-03-10,LEMF,9.36,9.5,9.36,9.4,3312.0
2024-03-11,LEMF,9.36,9.5,9.36,9.4,3312.0
2024-03-12,LEMF,9.36,9.58,9.36,9.58,18145.0
2024-03-13,LEMF,9.6,9.6,9.55,9.6,19589.0
2024-03-14,LEMF,9.42,9.42,9.42,9.42,500.0
2024-03-15,LEMF,9.42,9.42,9.42,9.42,500.0
2024-03-16,LEMF,9.42,9.42,9.42,9.42,500.0
2024-03-17,LEMF,9.24,9.6,9.24,9.5,15982.0
2024-03-18,LEMF,9.41,9.41,9.34,9.37,3000.0
2024-03-19,LEMF,9.27,9.6,9.27,9.6,699642.0
2024-03-20,LEMF,9.46,9.5,9.33,9.46,752321.0
2024-03-21,LEMF,9.5,9.5,9.5,9.5,3300.0
2024-03-22,LEMF,9.5,9.5,9.5,9.5,3300.0
2024-03-23,LEMF,9.5,9.5,9.5,9.5,3300.0
2024-03-24,LEMF,9.5,9.5,9.5,9.5,3300.0
2024-03-25,LEMF,9.46,9.46,9.43,9.43,57850.0
2024-03-26,LEMF,9.4,9.5,9.4,9.45,42383.0
2024-03-27,LEMF,9.55,9.55,9.5,9.5,41616.0
2024-03-28,LEMF,9.47,9.65,9.47,9.5,30418.0
2024-03-29,LEMF,9.47,9.65,9.47,9.5,30418.0
2024-03-30,LEMF,9.47,9.65,9.47,9.5,30418.0
2024-03-31,LEMF,9.51,9.6,9.48,9.6,85713.0
2024-04-01,LEMF,9.51,9.64,9.51,9.64,20100.0
2024-04-02,LEMF,9.51,9.63,9.51,9.55,2200.0
2024-04-03,LEMF,9.55,9.64,9.49,9.58,21277.0
2024-04-04,LEMF,9.51,9.51,9.5,9.5,16400.0
2024-04-05,LEMF,9.51,9.51,9.5,9.5,16400.0
2024-04-06,LEMF,9.51,9.51,9.5,9.5,16400.0
2024-04-07,LEMF,9.51,9.6,9.51,9.52,12483.0
2024-04-08,LEMF,9.51,9.6,9.51,9.52,12483.0
2024-04-09,LEMF,9.52,9.55,9.52,9.55,17000.0
2024-04-10,LEMF,9.51,9.55,9.5,9.5,22486.0
2024-04-11,LEMF,9.51,9.55,9.5,9.5,22486.0
2024-04-12,LEMF,9.51,9.55,9.5,9.5,22486.0
2024-04-13,LEMF,9.51,9.55,9.5,9.5,22486.0
2024-04-14,LEMF,9.5,9.5,9.46,9.48,34500.0
2024-04-16,LEMF,9.5,9.64,9.5,9.64,42960.0
2024-04-17,LEMF,9.5,9.64,9.5,9.64,42960.0
2024-04-18,LEMF,9.46,9.5,9.46,9.5,21758.0
2024-04-19,LEMF,9.46,9.5,9.46,9.5,21758.0
2024-04-20,LEMF,9.46,9.5,9.46,9.5,21758.0
2024-04-22,LEMF,9.6,9.6,9.5,9.5,11667.0
2024-04-23,LEMF,9.6,9.6,9.5,9.5,11667.0
2024-04-24,LEMF,9.35,9.35,9.35,9.35,1600.0
2024-04-25,LEMF,9.46,9.46,9.45,9.45,2500.0
2024-04-26,LEMF,9.46,9.46,9.45,9.45,2500.0
2024-04-27,LEMF,9.46,9.46,9.45,9.45,2500.0
2024-04-28,LEMF,9.45,9.6,9.45,9.6,14200.0
2024-04-30,LEMF,9.6,9.6,9.6,9.6,6527.0
2024-05-01,LEMF,9.6,9.6,9.6,9.6,6527.0
2024-05-02,LEMF,9.46,9.48,9.46,9.48,3000.0
2024-05-03,LEMF,9.46,9.48,9.46,9.48,3000.0
2024-05-04,LEMF,9.46,9.48,9.46,9.48,3000.0
2024-05-05,LEMF,9.42,9.42,9.3,9.41,39450.0
2024-05-06,LEMF,9.55,9.55,9.55,9.55,520.0
2024-05-07,LEMF,9.36,9.4,9.36,9.39,35000.0
2024-05-09,LEMF,9.4,9.4,9.35,9.36,16767.0
2024-05-10,LEMF,9.4,9.4,9.35,9.36,16767.0
2024-05-11,LEMF,9.4,9.4,9.35,9.36,16767.0
2024-05-13,LEMF,9.35,9.36,9.35,9.36,5900.0
2024-05-14,LEMF,9.49,9.69,9.42,9.69,294985.0
2024-05-16,LEMF,9.5,9.69,9.5,9.5,20100.0
2024-05-17,LEMF,9.5,9.69,9.5,9.5,20100.0
2024-05-18,LEMF,9.5,9.69,9.5,9.5,20100.0
2024-05-19,LEMF,9.6,9.66,9.6,9.66,106900.0
2024-05-20,LEMF,9.62,9.7,9.62,9.7,36900.0
2024-05-21,LEMF,9.55,9.67,9.54,9.61,20184.0
2024-05-22,LEMF,9.63,9.65,9.63,9.65,40404.0
2024-05-23,LEMF,9.63,9.65,9.63,9.65,40404.0
2024-05-24,LEMF,9.63,9.65,9.63,9.65,40404.0
2024-05-25,LEMF,9.63,9.65,9.63,9.65,40404.0
2024-05-26,LEMF,9.51,9.68,9.5,9.68,36913.0
2024-05-27,LEMF,9.5,9.69,9.5,9.69,13500.0
2024-05-28,LEMF,9.5,9.69,9.5,9.69,13500.0
2024-05-30,LEMF,9.71,9.71,9.53,9.71,14570.0
2024-05-31,LEMF,9.71,9.71,9.53,9.71,14570.0
2024-06-01,LEMF,9.71,9.71,9.53,9.71,14570.0
2024-06-02,LEMF,9.89,9.9,9.71,9.89,4689.0
2024-06-03,LEMF,9.7,9.7,9.7,9.7,9500.0
2024-06-04,LEMF,9.59,9.77,9.59,9.77,60100.0
2024-06-05,LEMF,9.83,9.83,9.8,9.8,15700.0
2024-06-06,LEMF,9.7,9.79,9.51,9.79,173150.0
2024-06-07,LEMF,9.7,9.79,9.51,9.79,173150.0
2024-06-08,LEMF,9.7,9.79,9.51,9.79,173150.0
2024-06-09,LEMF,9.6,9.76,9.47,9.47,205516.0
