Date,Symbol,Open,High,Low,Close,Volume
2012-01-01,MNBBL,144.0,150.0,146.0,146.0,1820.0
2012-01-02,MNBBL,146.0,150.0,142.0,148.0,450.0
2012-01-03,MNBBL,148.0,154.0,145.0,151.0,950.0
2012-01-04,MNBBL,151.0,150.0,148.0,150.0,1590.0
2012-01-05,MNBBL,150.0,152.0,151.0,152.0,940.0
2012-01-08,MNBBL,152.0,153.0,149.0,153.0,990.0
2012-01-09,MNBBL,153.0,158.0,153.0,156.0,970.0
2012-01-10,MNBBL,156.0,160.0,156.0,160.0,700.0
2012-01-11,MNBBL,160.0,164.0,157.0,164.0,1000.0
2012-01-12,MNBBL,164.0,165.0,160.0,161.0,1700.0
2012-01-16,MNBBL,161.0,161.0,159.0,159.0,1100.0
2012-01-17,MNBBL,159.0,158.0,156.0,157.0,1310.0
2012-01-18,MNBBL,157.0,161.0,157.0,161.0,1200.0
2012-01-22,MNBBL,160.0,160.0,159.0,159.0,1000.0
2012-01-23,MNBBL,159.0,157.0,154.0,157.0,580.0
2012-01-25,MNBBL,157.0,155.0,154.0,155.0,140.0
2012-01-26,MNBBL,155.0,160.0,155.0,157.0,300.0
2012-01-29,MNBBL,157.0,165.0,160.0,163.0,1610.0
2012-01-31,MNBBL,163.0,166.0,162.0,162.0,1390.0
2012-02-01,MNBBL,162.0,165.0,162.0,164.0,60.0
2012-02-02,MNBBL,164.0,165.0,162.0,165.0,620.0
2012-02-05,MNBBL,165.0,165.0,160.0,165.0,430.0
2012-02-06,MNBBL,165.0,165.0,160.0,161.0,810.0
2012-02-07,MNBBL,161.0,163.0,161.0,161.0,510.0
2012-02-08,MNBBL,161.0,165.0,162.0,162.0,2320.0
2012-02-09,MNBBL,162.0,163.0,160.0,162.0,560.0
2012-02-12,MNBBL,162.0,161.0,161.0,161.0,390.0
2012-02-13,MNBBL,161.0,169.0,160.0,162.0,290.0
2012-02-14,MNBBL,162.0,160.0,159.0,159.0,250.0
2012-02-15,MNBBL,159.0,162.0,153.0,162.0,850.0
2012-02-16,MNBBL,162.0,160.0,159.0,160.0,730.0
2012-02-21,MNBBL,160.0,164.0,159.0,164.0,1940.0
2012-02-23,MNBBL,164.0,166.0,160.0,160.0,800.0
2012-02-26,MNBBL,160.0,162.0,159.0,162.0,100.0
2012-02-27,MNBBL,162.0,161.0,160.0,161.0,1150.0
2012-02-28,MNBBL,161.0,161.0,160.0,161.0,60.0
2012-02-29,MNBBL,161.0,167.0,164.0,167.0,40.0
2012-03-01,MNBBL,167.0,165.0,162.0,162.0,230.0
2012-03-05,MNBBL,162.0,165.0,163.0,163.0,340.0
2012-03-06,MNBBL,163.0,171.0,161.0,171.0,300.0
2012-03-11,MNBBL,171.0,174.0,165.0,165.0,620.0
2012-03-12,MNBBL,165.0,164.0,162.0,164.0,30.0
2012-03-13,MNBBL,164.0,170.0,165.0,170.0,490.0
2012-03-14,MNBBL,170.0,173.0,167.0,169.0,1550.0
2012-03-15,MNBBL,169.0,172.0,169.0,170.0,1260.0
2012-03-18,MNBBL,170.0,171.0,168.0,170.0,370.0
2012-03-19,MNBBL,170.0,173.0,170.0,170.0,60.0
2012-03-20,MNBBL,170.0,169.0,167.0,168.0,280.0
2012-03-21,MNBBL,168.0,171.0,160.0,171.0,1130.0
2012-03-25,MNBBL,171.0,168.0,162.0,166.0,860.0
2012-03-26,MNBBL,166.0,168.0,167.0,168.0,190.0
2012-03-27,MNBBL,168.0,169.0,169.0,169.0,270.0
