Date,Symbol,Open,High,Low,Close,Volume
2025-10-07,NICAD2091,1005.2,1050.0,1005.2,1050.0,656.0
2025-10-08,NICAD2091,1050.0,1071.0,1050.0,1051.0,310.0
2025-10-09,NICAD2091,1070.0,1072.0,1030.0,1030.0,1325.0
2025-10-10,NICAD2091,1070.0,1072.0,1030.0,1030.0,1325.0
2025-10-11,NICAD2091,1070.0,1072.0,1030.0,1030.0,1325.0
2025-10-12,NICAD2091,1020.1,1060.9,1020.0,1060.9,407.0
2025-10-13,NICAD2091,1079.7,1087.0,1061.5,1061.5,2408.0
2025-10-14,NICAD2091,1041.1,1050.0,1041.1,1045.0,100.0
2025-10-15,NICAD2091,1046.1,1066.0,1046.1,1066.0,125.0
2025-10-16,NICAD2091,1078.0,1078.0,1060.0,1060.0,125.0
2025-10-17,NICAD2091,1078.0,1078.0,1060.0,1060.0,125.0
2025-10-18,NICAD2091,1078.0,1078.0,1060.0,1060.0,125.0
2025-10-19,NICAD2091,1078.0,1088.0,1078.0,1088.0,1112.0
2025-10-20,NICAD2091,1078.0,1088.0,1078.0,1088.0,1112.0
2025-10-21,NICAD2091,1078.0,1088.0,1078.0,1088.0,1112.0
2025-10-22,NICAD2091,1078.0,1088.0,1078.0,1088.0,1112.0
