Date,Symbol,Open,High,Low,Close,Volume
2024-05-21,NICD88,1000.0,1000.0,970.0,975.0,290.0
2024-05-22,NICD88,970.0,972.0,970.0,972.0,170.0
2024-05-23,NICD88,970.0,972.0,970.0,972.0,170.0
2024-05-24,NICD88,970.0,972.0,970.0,972.0,170.0
2024-05-25,NICD88,970.0,972.0,970.0,972.0,170.0
2024-05-26,NICD88,975.0,980.0,970.0,970.0,215.0
2024-05-27,NICD88,985.0,985.0,973.4,973.4,85.0
2024-05-28,NICD88,985.0,985.0,973.4,973.4,85.0
2024-05-29,NICD88,978.2,978.2,978.2,978.2,25.0
2024-05-30,NICD88,967.0,971.1,967.0,971.1,150.0
2024-05-31,NICD88,967.0,971.1,967.0,971.1,150.0
2024-06-01,NICD88,967.0,971.1,967.0,971.1,150.0
2024-06-02,NICD88,968.3,980.0,968.3,980.0,100.0
2024-06-03,NICD88,971.1,971.1,971.0,971.0,50.0
2024-06-04,NICD88,971.0,971.0,971.0,971.0,100.0
2024-06-09,NICD88,967.0,985.0,967.0,985.0,200.0
2024-06-10,NICD88,971.1,971.1,971.0,971.0,50.0
2024-06-11,NICD88,975.0,980.1,971.0,971.0,165.0
2024-06-12,NICD88,970.1,970.1,970.1,970.1,25.0
2024-06-13,NICD88,971.0,971.0,971.0,971.0,75.0
2024-06-14,NICD88,971.0,971.0,971.0,971.0,75.0
2024-06-15,NICD88,971.0,971.0,971.0,971.0,75.0
2024-06-16,NICD88,975.0,980.0,975.0,980.0,75.0
2024-06-17,NICD88,975.0,980.0,975.0,980.0,75.0
2024-06-18,NICD88,970.8,970.8,970.8,970.8,25.0
2024-06-20,NICD88,985.0,985.0,985.0,985.0,30.0
2024-06-21,NICD88,985.0,985.0,985.0,985.0,30.0
2024-06-22,NICD88,985.0,985.0,985.0,985.0,30.0
2024-06-25,NICD88,990.0,990.1,989.0,990.0,170.0
2024-06-27,NICD88,980.0,980.0,980.0,980.0,25.0
2024-06-28,NICD88,980.0,980.0,980.0,980.0,25.0
2024-06-29,NICD88,980.0,980.0,980.0,980.0,25.0
2024-06-30,NICD88,995.0,995.0,995.0,995.0,50.0
2024-07-01,NICD88,994.0,994.0,994.0,994.0,25.0
2024-07-04,NICD88,976.5,996.0,976.5,996.0,95.0
2024-07-05,NICD88,976.5,996.0,976.5,996.0,95.0
2024-07-06,NICD88,976.5,996.0,976.5,996.0,95.0
2024-07-08,NICD88,977.1,977.1,977.1,977.1,25.0
2024-07-09,NICD88,996.0,996.6,996.0,996.6,50.0
2024-07-10,NICD88,977.0,977.0,977.0,977.0,30.0
2024-07-14,NICD88,970.0,985.0,970.0,985.0,525.0
2024-07-15,NICD88,985.0,985.0,970.0,971.0,140.0
2024-07-17,NICD88,952.0,952.0,952.0,952.0,25.0
2024-07-18,NICD88,940.0,952.0,940.0,952.0,125.0
2024-07-19,NICD88,940.0,952.0,940.0,952.0,125.0
2024-07-20,NICD88,940.0,952.0,940.0,952.0,125.0
2024-07-21,NICD88,935.5,971.0,935.0,971.0,150.0
2024-07-22,NICD88,951.6,970.0,951.6,965.0,121.0
2024-07-23,NICD88,945.7,984.0,945.7,970.0,130.0
2024-07-24,NICD88,975.0,975.0,960.0,960.0,75.0
2024-07-25,NICD88,970.0,979.0,970.0,970.0,177.0
2024-07-26,NICD88,970.0,979.0,970.0,970.0,177.0
2024-07-27,NICD88,970.0,979.0,970.0,970.0,177.0
2024-07-28,NICD88,970.0,970.0,970.0,970.0,25.0
2024-07-29,NICD88,970.0,970.0,970.0,970.0,100.0
2024-07-30,NICD88,961.1,961.1,958.1,960.0,125.0
2024-07-31,NICD88,975.0,975.0,958.5,975.0,175.0
2024-08-01,NICD88,980.0,980.0,980.0,980.0,25.0
2024-08-02,NICD88,980.0,980.0,980.0,980.0,25.0
2024-08-03,NICD88,980.0,980.0,980.0,980.0,25.0
2024-08-04,NICD88,980.0,980.0,980.0,980.0,25.0
2024-08-06,NICD88,961.0,961.0,943.0,950.0,76.0
2024-08-07,NICD88,953.0,953.0,953.0,953.0,25.0
2024-08-08,NICD88,957.0,980.0,957.0,965.0,200.0
2024-08-09,NICD88,957.0,980.0,957.0,965.0,200.0
2024-08-10,NICD88,957.0,980.0,957.0,965.0,200.0
2024-08-11,NICD88,965.0,984.3,965.0,977.0,275.0
2024-08-12,NICD88,968.0,975.0,968.0,975.0,75.0
