Date,Symbol,Open,High,Low,Close,Volume
2024-03-05,NICGF2,8.05,8.63,7.81,8.44,5125.0
2024-03-06,NICGF2,8.4,8.87,8.4,8.7,1725.0
2024-03-07,NICGF2,8.53,8.87,7.82,8.16,19073.0
2024-03-08,NICGF2,8.53,8.87,7.82,8.16,19073.0
2024-03-09,NICGF2,8.53,8.87,7.82,8.16,19073.0
2024-03-10,NICGF2,8.0,8.0,7.71,7.76,2300.0
2024-03-11,NICGF2,8.0,8.0,7.71,7.76,2300.0
2024-03-12,NICGF2,7.75,8.31,7.75,8.31,5750.0
2024-03-13,NICGF2,8.15,8.45,8.15,8.3,2200.0
2024-03-14,NICGF2,8.14,8.2,8.1,8.2,3100.0
2024-03-15,NICGF2,8.14,8.2,8.1,8.2,3100.0
2024-03-16,NICGF2,8.14,8.2,8.1,8.2,3100.0
2024-03-17,NICGF2,8.04,8.1,7.89,7.92,13273.0
2024-03-18,NICGF2,7.77,7.95,7.48,7.76,13120.0
2024-03-19,NICGF2,7.76,7.84,7.63,7.75,5600.0
2024-03-20,NICGF2,7.75,8.3,7.75,8.27,4020.0
2024-03-21,NICGF2,8.3,8.75,8.11,8.38,4100.0
2024-03-22,NICGF2,8.3,8.75,8.11,8.38,4100.0
2024-03-23,NICGF2,8.3,8.75,8.11,8.38,4100.0
2024-03-24,NICGF2,8.3,8.75,8.11,8.38,4100.0
2024-03-25,NICGF2,8.22,8.22,7.84,8.06,5530.0
2024-03-26,NICGF2,8.0,8.12,7.85,8.12,2450.0
2024-03-27,NICGF2,8.2,8.58,8.08,8.08,6310.0
2024-03-28,NICGF2,7.92,8.16,7.92,8.16,4200.0
2024-03-29,NICGF2,7.92,8.16,7.92,8.16,4200.0
2024-03-30,NICGF2,7.92,8.16,7.92,8.16,4200.0
2024-03-31,NICGF2,8.0,8.14,7.84,8.14,5810.0
2024-04-01,NICGF2,7.98,8.0,7.85,7.85,3625.0
2024-04-02,NICGF2,7.8,7.94,7.79,7.94,5650.0
2024-04-03,NICGF2,7.8,7.95,7.69,7.8,12575.0
2024-04-04,NICGF2,7.65,7.71,7.65,7.71,500.0
2024-04-05,NICGF2,7.65,7.71,7.65,7.71,500.0
2024-04-06,NICGF2,7.65,7.71,7.65,7.71,500.0
2024-04-07,NICGF2,7.66,7.95,7.66,7.8,4500.0
2024-04-08,NICGF2,7.66,7.95,7.66,7.8,4500.0
2024-04-09,NICGF2,7.8,8.0,7.8,7.96,4660.0
2024-04-10,NICGF2,7.81,7.96,7.67,7.81,2925.0
2024-04-11,NICGF2,7.81,7.96,7.67,7.81,2925.0
2024-04-12,NICGF2,7.81,7.96,7.67,7.81,2925.0
2024-04-13,NICGF2,7.81,7.96,7.67,7.81,2925.0
2024-04-14,NICGF2,7.66,7.85,7.66,7.8,1500.0
2024-04-15,NICGF2,7.7,7.75,7.61,7.7,1900.0
2024-04-16,NICGF2,7.7,7.7,7.7,7.7,800.0
2024-04-17,NICGF2,7.7,7.7,7.7,7.7,800.0
2024-04-18,NICGF2,7.7,8.25,7.65,8.14,5670.0
2024-04-19,NICGF2,7.7,8.25,7.65,8.14,5670.0
2024-04-20,NICGF2,7.7,8.25,7.65,8.14,5670.0
2024-04-21,NICGF2,8.3,8.3,8.14,8.14,5225.0
2024-04-22,NICGF2,8.3,8.46,8.24,8.39,950.0
2024-04-23,NICGF2,8.3,8.46,8.24,8.39,950.0
2024-04-24,NICGF2,8.39,8.5,8.24,8.24,1225.0
2024-04-25,NICGF2,8.4,8.4,8.3,8.39,325.0
2024-04-26,NICGF2,8.4,8.4,8.3,8.39,325.0
2024-04-27,NICGF2,8.4,8.4,8.3,8.39,325.0
2024-04-28,NICGF2,8.55,8.55,7.87,8.04,1950.0
2024-04-29,NICGF2,7.88,8.33,7.32,8.25,4615.0
2024-04-30,NICGF2,8.09,8.4,8.09,8.24,1675.0
2024-05-01,NICGF2,8.09,8.4,8.09,8.24,1675.0
2024-05-02,NICGF2,8.08,8.08,7.94,8.05,2525.0
2024-05-03,NICGF2,8.08,8.08,7.94,8.05,2525.0
2024-05-04,NICGF2,8.08,8.08,7.94,8.05,2525.0
2024-05-05,NICGF2,8.21,8.53,8.0,8.0,3225.0
2024-05-06,NICGF2,7.92,7.92,7.5,7.57,7100.0
2024-05-07,NICGF2,7.56,8.09,7.56,8.09,2995.0
2024-05-08,NICGF2,8.25,8.25,7.93,7.93,2125.0
2024-05-09,NICGF2,7.78,7.9,7.71,7.76,6020.0
2024-05-10,NICGF2,7.78,7.9,7.71,7.76,6020.0
2024-05-11,NICGF2,7.78,7.9,7.71,7.76,6020.0
2024-05-12,NICGF2,7.85,8.06,7.71,8.0,5775.0
2024-05-13,NICGF2,8.16,8.46,7.79,7.79,1625.0
2024-05-14,NICGF2,7.64,7.91,7.64,7.65,4125.0
2024-05-15,NICGF2,7.55,7.78,7.55,7.7,2825.0
2024-05-16,NICGF2,7.56,8.38,7.56,8.22,3400.0
2024-05-17,NICGF2,7.56,8.38,7.56,8.22,3400.0
2024-05-18,NICGF2,7.56,8.38,7.56,8.22,3400.0
2024-05-19,NICGF2,8.06,8.21,7.75,7.8,8835.0
2024-05-20,NICGF2,7.66,8.26,7.66,8.26,4225.0
2024-05-21,NICGF2,8.42,8.58,7.86,8.01,4325.0
2024-05-22,NICGF2,8.01,8.46,8.0,8.3,2325.0
2024-05-23,NICGF2,8.01,8.46,8.0,8.3,2325.0
2024-05-24,NICGF2,8.01,8.46,8.0,8.3,2325.0
2024-05-25,NICGF2,8.01,8.46,8.0,8.3,2325.0
2024-05-26,NICGF2,8.4,8.45,7.98,8.15,2000.0
2024-05-27,NICGF2,7.99,8.16,7.86,8.16,4950.0
2024-05-28,NICGF2,7.99,8.16,7.86,8.16,4950.0
2024-05-29,NICGF2,8.16,8.29,8.16,8.29,18640.0
2024-05-30,NICGF2,8.13,8.13,7.97,7.97,500.0
2024-05-31,NICGF2,8.13,8.13,7.97,7.97,500.0
2024-06-01,NICGF2,8.13,8.13,7.97,7.97,500.0
2024-06-02,NICGF2,7.82,7.92,7.69,7.8,2275.0
2024-06-03,NICGF2,7.8,8.0,7.8,7.9,2500.0
2024-06-04,NICGF2,7.93,8.0,7.92,7.99,1450.0
2024-06-05,NICGF2,8.14,8.14,7.86,7.92,2300.0
2024-06-06,NICGF2,7.77,7.93,7.77,7.93,1875.0
2024-06-07,NICGF2,7.77,7.93,7.77,7.93,1875.0
2024-06-08,NICGF2,7.77,7.93,7.77,7.93,1875.0
2024-06-09,NICGF2,7.92,8.0,7.92,8.0,2600.0
2024-06-10,NICGF2,7.99,8.1,7.98,7.98,9500.0
2024-06-11,NICGF2,8.0,8.25,8.0,8.25,3700.0
2024-06-12,NICGF2,8.09,8.4,7.96,8.4,2200.0
2024-06-13,NICGF2,8.24,8.24,8.08,8.09,2100.0
2024-06-14,NICGF2,8.24,8.24,8.08,8.09,2100.0
2024-06-15,NICGF2,8.24,8.24,8.08,8.09,2100.0
2024-06-16,NICGF2,8.09,8.09,7.95,7.96,500.0
2024-06-17,NICGF2,8.09,8.09,7.95,7.96,500.0
2024-06-18,NICGF2,7.96,7.98,7.83,7.83,3000.0
2024-06-19,NICGF2,7.7,8.26,7.66,8.26,12640.0
2024-06-20,NICGF2,8.42,8.42,7.94,8.26,5777.0
