Date,Symbol,Open,High,Low,Close,Volume
2024-04-14,NIFRAUR85/86,980.0,985.0,980.0,985.0,50.0
2024-04-15,NIFRAUR85/86,965.3,965.3,915.0,915.0,50.0
2024-04-16,NIFRAUR85/86,900.0,900.0,880.0,880.0,100.0
2024-04-17,NIFRAUR85/86,900.0,900.0,880.0,880.0,100.0
2024-04-18,NIFRAUR85/86,875.0,875.1,874.0,875.1,130.0
2024-04-19,NIFRAUR85/86,875.0,875.1,874.0,875.1,130.0
2024-04-20,NIFRAUR85/86,875.0,875.1,874.0,875.1,130.0
2024-04-21,NIFRAUR85/86,875.0,875.0,868.0,868.0,55.0
2024-04-22,NIFRAUR85/86,869.6,870.6,857.0,870.6,100.0
2024-04-23,NIFRAUR85/86,869.6,870.6,857.0,870.6,100.0
2024-04-25,NIFRAUR85/86,874.2,874.2,874.2,874.2,25.0
2024-04-26,NIFRAUR85/86,874.2,874.2,874.2,874.2,25.0
2024-04-27,NIFRAUR85/86,874.2,874.2,874.2,874.2,25.0
2024-05-07,NIFRAUR85/86,872.2,872.2,872.2,872.2,10.0
2024-05-12,NIFRAUR85/86,889.6,889.6,889.6,889.6,20.0
2024-05-13,NIFRAUR85/86,880.0,880.0,877.0,877.0,80.0
2024-05-15,NIFRAUR85/86,871.1,871.1,871.1,871.1,30.0
2024-05-20,NIFRAUR85/86,880.1,897.7,880.1,897.7,70.0
2024-05-27,NIFRAUR85/86,881.0,881.0,881.0,881.0,25.0
2024-05-28,NIFRAUR85/86,881.0,881.0,881.0,881.0,25.0
2024-06-03,NIFRAUR85/86,898.6,898.6,898.6,898.6,25.0
2024-06-04,NIFRAUR85/86,885.0,885.0,885.0,885.0,25.0
2024-06-06,NIFRAUR85/86,881.1,882.1,881.1,882.1,75.0
2024-06-07,NIFRAUR85/86,881.1,882.1,881.1,882.1,75.0
2024-06-08,NIFRAUR85/86,881.1,882.1,881.1,882.1,75.0
2024-06-09,NIFRAUR85/86,899.0,899.0,899.0,899.0,25.0
2024-06-16,NIFRAUR85/86,891.0,891.0,891.0,891.0,25.0
2024-06-17,NIFRAUR85/86,891.0,891.0,891.0,891.0,25.0
2024-06-18,NIFRAUR85/86,908.0,908.8,908.0,908.8,65.0
2024-06-19,NIFRAUR85/86,915.0,917.0,908.0,908.0,110.0
2024-06-23,NIFRAUR85/86,908.0,908.0,908.0,908.0,25.0
2024-06-25,NIFRAUR85/86,915.0,915.0,915.0,915.0,25.0
2024-06-26,NIFRAUR85/86,910.0,910.0,910.0,910.0,25.0
2024-06-30,NIFRAUR85/86,911.0,911.0,911.0,911.0,100.0
2024-07-01,NIFRAUR85/86,911.1,911.1,911.1,911.1,25.0
2024-07-03,NIFRAUR85/86,910.0,910.0,910.0,910.0,25.0
2024-07-04,NIFRAUR85/86,895.0,895.0,895.0,895.0,25.0
2024-07-05,NIFRAUR85/86,895.0,895.0,895.0,895.0,25.0
2024-07-06,NIFRAUR85/86,895.0,895.0,895.0,895.0,25.0
2024-07-08,NIFRAUR85/86,900.0,900.0,900.0,900.0,25.0
2024-07-09,NIFRAUR85/86,900.0,900.0,900.0,900.0,15.0
2024-07-10,NIFRAUR85/86,901.0,901.0,901.0,901.0,50.0
2024-07-11,NIFRAUR85/86,900.0,900.0,888.6,888.6,25.0
2024-07-12,NIFRAUR85/86,900.0,900.0,888.6,888.6,25.0
2024-07-13,NIFRAUR85/86,900.0,900.0,888.6,888.6,25.0
2024-07-21,NIFRAUR85/86,870.9,870.9,870.9,870.9,25.0
2024-07-25,NIFRAUR85/86,887.0,907.8,887.0,907.8,140.0
2024-07-26,NIFRAUR85/86,887.0,907.8,887.0,907.8,140.0
2024-07-27,NIFRAUR85/86,887.0,907.8,887.0,907.8,140.0
2024-07-28,NIFRAUR85/86,908.0,908.0,905.0,905.0,75.0
2024-07-29,NIFRAUR85/86,900.0,906.0,900.0,906.0,100.0
2024-07-30,NIFRAUR85/86,906.0,906.0,906.0,906.0,20.0
2024-07-31,NIFRAUR85/86,906.0,906.0,906.0,906.0,100.0
2024-08-01,NIFRAUR85/86,906.0,906.0,906.0,906.0,125.0
2024-08-02,NIFRAUR85/86,906.0,906.0,906.0,906.0,125.0
2024-08-03,NIFRAUR85/86,906.0,906.0,906.0,906.0,125.0
2024-08-04,NIFRAUR85/86,906.0,906.0,906.0,906.0,125.0
2024-08-05,NIFRAUR85/86,890.1,890.1,890.1,890.1,100.0
2024-08-07,NIFRAUR85/86,890.2,890.2,874.0,874.0,50.0
2024-08-08,NIFRAUR85/86,891.4,891.4,891.4,891.4,75.0
2024-08-09,NIFRAUR85/86,891.4,891.4,891.4,891.4,75.0
2024-08-10,NIFRAUR85/86,891.4,891.4,891.4,891.4,75.0
2024-08-11,NIFRAUR85/86,879.5,885.0,879.5,885.0,85.0
2024-08-12,NIFRAUR85/86,885.0,900.0,885.0,900.0,75.0
2024-08-13,NIFRAUR85/86,885.0,885.0,885.0,885.0,25.0
2024-08-21,NIFRAUR85/86,885.1,920.7,885.1,920.7,340.0
2024-08-22,NIFRAUR85/86,934.9,972.0,934.9,972.0,190.0
2024-08-23,NIFRAUR85/86,934.9,972.0,934.9,972.0,190.0
2024-08-24,NIFRAUR85/86,934.9,972.0,934.9,972.0,190.0
2024-08-25,NIFRAUR85/86,952.6,952.6,933.6,933.6,530.0
2024-08-26,NIFRAUR85/86,952.6,952.6,933.6,933.6,530.0
2024-09-03,NIFRAUR85/86,939.0,940.0,939.0,939.2,75.0
2024-09-08,NIFRAUR85/86,920.6,920.6,920.6,920.6,25.0
2024-09-11,NIFRAUR85/86,920.5,920.5,920.5,920.5,25.0
2024-09-22,NIFRAUR85/86,938.9,938.9,938.9,938.9,50.0
2024-09-23,NIFRAUR85/86,939.0,939.0,939.0,939.0,25.0
2024-09-26,NIFRAUR85/86,924.0,924.0,923.0,923.0,50.0
2024-09-27,NIFRAUR85/86,924.0,924.0,923.0,923.0,50.0
2024-09-28,NIFRAUR85/86,924.0,924.0,923.0,923.0,50.0
2024-10-01,NIFRAUR85/86,941.4,941.4,941.1,941.1,55.0
2024-10-02,NIFRAUR85/86,979.0,1000.0,979.0,1000.0,120.0
2024-10-03,NIFRAUR85/86,979.0,1000.0,979.0,1000.0,120.0
2024-10-04,NIFRAUR85/86,979.0,1000.0,979.0,1000.0,120.0
2024-10-05,NIFRAUR85/86,979.0,1000.0,979.0,1000.0,120.0
2024-10-06,NIFRAUR85/86,980.0,980.0,980.0,980.0,25.0
2024-10-09,NIFRAUR85/86,985.0,985.0,985.0,985.0,10.0
2024-10-10,NIFRAUR85/86,985.0,985.0,985.0,985.0,10.0
2024-10-11,NIFRAUR85/86,985.0,985.0,985.0,985.0,10.0
2024-10-12,NIFRAUR85/86,985.0,985.0,985.0,985.0,10.0
2024-10-13,NIFRAUR85/86,985.0,985.0,985.0,985.0,10.0
2024-10-14,NIFRAUR85/86,985.0,985.0,985.0,985.0,10.0
2024-10-15,NIFRAUR85/86,985.0,985.0,985.0,985.0,25.0
2024-10-16,NIFRAUR85/86,980.0,980.0,980.0,980.0,25.0
2024-10-17,NIFRAUR85/86,999.5,999.5,999.5,999.5,30.0
2024-10-18,NIFRAUR85/86,999.5,999.5,999.5,999.5,30.0
2024-10-19,NIFRAUR85/86,999.5,999.5,999.5,999.5,30.0
2024-10-29,NIFRAUR85/86,980.0,980.0,980.0,980.0,10.0
2024-11-10,NIFRAUR85/86,980.0,980.0,980.0,980.0,25.0
2024-11-14,NIFRAUR85/86,980.0,980.0,980.0,980.0,50.0
2024-11-15,NIFRAUR85/86,980.0,980.0,980.0,980.0,50.0
2024-11-16,NIFRAUR85/86,980.0,980.0,980.0,980.0,50.0
2024-11-24,NIFRAUR85/86,975.0,994.5,975.0,994.5,60.0
2024-12-02,NIFRAUR85/86,985.0,985.0,985.0,985.0,30.0
2024-12-05,NIFRAUR85/86,985.0,985.0,985.0,985.0,30.0
2024-12-06,NIFRAUR85/86,985.0,985.0,985.0,985.0,30.0
2024-12-07,NIFRAUR85/86,985.0,985.0,985.0,985.0,30.0
2024-12-11,NIFRAUR85/86,1004.1,1004.1,1004.1,1004.1,25.0
2024-12-17,NIFRAUR85/86,1004.0,1004.0,1004.0,1004.0,25.0
2024-12-22,NIFRAUR85/86,1005.0,1005.0,1005.0,1005.0,25.0
2025-01-01,NIFRAUR85/86,1025.0,1025.0,1025.0,1025.0,25.0
2025-01-05,NIFRAUR85/86,1010.0,1010.0,1010.0,1010.0,10.0
2025-01-06,NIFRAUR85/86,1009.0,1009.0,1009.0,1009.0,25.0
2025-01-12,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,50.0
2025-01-19,NIFRAUR85/86,980.0,980.0,975.0,975.0,590.0
2025-01-20,NIFRAUR85/86,960.0,960.0,960.0,960.0,25.0
2025-01-26,NIFRAUR85/86,960.0,960.0,960.0,960.0,25.0
2025-01-28,NIFRAUR85/86,955.0,955.0,955.0,955.0,25.0
2025-01-29,NIFRAUR85/86,955.0,955.0,955.0,955.0,25.0
2025-01-30,NIFRAUR85/86,955.0,955.0,955.0,955.0,25.0
2025-01-31,NIFRAUR85/86,955.0,955.0,955.0,955.0,25.0
2025-02-01,NIFRAUR85/86,955.0,955.0,955.0,955.0,25.0
2025-02-16,NIFRAUR85/86,955.0,955.0,955.0,955.0,30.0
2025-02-23,NIFRAUR85/86,955.0,955.0,955.0,955.0,25.0
2025-03-24,NIFRAUR85/86,965.0,965.0,965.0,965.0,25.0
2025-03-30,NIFRAUR85/86,970.1,970.1,970.0,970.0,85.0
2025-03-31,NIFRAUR85/86,970.1,970.1,970.0,970.0,85.0
2025-04-02,NIFRAUR85/86,975.0,975.0,970.1,970.1,115.0
2025-04-07,NIFRAUR85/86,970.1,970.1,970.1,989.5,1.0
2025-04-09,NIFRAUR85/86,979.1,979.1,979.1,979.1,25.0
2025-04-16,NIFRAUR85/86,978.0,978.0,978.0,978.0,25.0
2025-04-21,NIFRAUR85/86,968.2,968.2,968.2,968.2,25.0
2025-04-22,NIFRAUR85/86,987.5,987.5,987.5,987.5,25.0
2025-04-27,NIFRAUR85/86,972.5,972.5,972.5,972.5,50.0
2025-05-05,NIFRAUR85/86,972.5,972.5,972.5,991.9,1.0
2025-05-08,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,25.0
2025-05-09,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,25.0
2025-05-10,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,25.0
2025-05-11,NIFRAUR85/86,1001.0,1001.0,1001.0,1001.0,30.0
2025-05-12,NIFRAUR85/86,1001.0,1001.0,1001.0,1001.0,30.0
2025-05-13,NIFRAUR85/86,983.4,983.4,983.4,983.4,100.0
2025-05-14,NIFRAUR85/86,1003.0,1003.0,1003.0,1003.0,50.0
2025-05-20,NIFRAUR85/86,999.6,999.6,999.6,999.6,25.0
2025-06-02,NIFRAUR85/86,1019.0,1019.0,1019.0,1019.0,105.0
2025-06-04,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,25.0
2025-06-12,NIFRAUR85/86,1020.0,1020.0,1020.0,1020.0,25.0
2025-06-13,NIFRAUR85/86,1020.0,1020.0,1020.0,1020.0,25.0
2025-06-14,NIFRAUR85/86,1020.0,1020.0,1020.0,1020.0,25.0
2025-06-18,NIFRAUR85/86,1001.0,1001.0,1001.0,1001.0,25.0
2025-06-23,NIFRAUR85/86,985.1,985.1,985.1,985.1,25.0
2025-06-26,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,45.0
2025-06-27,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,45.0
2025-06-28,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,45.0
2025-07-07,NIFRAUR85/86,1000.1,1000.1,1000.1,1000.1,25.0
2025-07-15,NIFRAUR85/86,1020.0,1020.0,1000.0,1000.0,57.0
2025-07-16,NIFRAUR85/86,1015.0,1015.0,1015.0,1015.0,59.0
2025-07-17,NIFRAUR85/86,994.7,995.0,980.0,992.0,256.0
2025-07-18,NIFRAUR85/86,994.7,995.0,980.0,992.0,256.0
2025-07-19,NIFRAUR85/86,994.7,995.0,980.0,992.0,256.0
2025-07-20,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,45.0
2025-07-23,NIFRAUR85/86,1000.0,1011.8,1000.0,1011.8,81.0
2025-08-05,NIFRAUR85/86,1000.0,1000.0,1000.0,1000.0,15.0
2025-08-13,NIFRAUR85/86,990.0,990.0,990.0,990.0,50.0
2025-08-24,NIFRAUR85/86,1009.0,1009.8,1009.0,1009.8,40.0
2025-08-25,NIFRAUR85/86,1010.0,1050.8,1010.0,1050.8,100.0
2025-08-26,NIFRAUR85/86,1030.0,1050.0,1030.0,1030.0,724.0
2025-08-27,NIFRAUR85/86,1020.0,1020.0,1020.0,1020.0,46.0
2025-08-28,NIFRAUR85/86,1030.0,1030.0,1030.0,1030.0,25.0
2025-08-29,NIFRAUR85/86,1030.0,1030.0,1030.0,1030.0,25.0
2025-08-30,NIFRAUR85/86,1030.0,1030.0,1030.0,1030.0,25.0
2025-09-23,NIFRAUR85/86,1010.0,1010.0,1010.0,1010.0,30.0
2025-10-14,NIFRAUR85/86,1030.2,1030.2,1030.2,1030.2,25.0
2025-10-19,NIFRAUR85/86,1050.0,1050.0,1050.0,1050.0,25.0
2025-10-20,NIFRAUR85/86,1050.0,1050.0,1050.0,1050.0,25.0
2025-10-21,NIFRAUR85/86,1050.0,1050.0,1050.0,1050.0,25.0
2025-10-22,NIFRAUR85/86,1050.0,1050.0,1050.0,1050.0,25.0
