Date,Symbol,Open,High,Low,Close,Volume
2012-01-04,NLIC,600.0,589.0,558.0,558.0,3045.0
2012-01-05,NLIC,558.0,569.0,569.0,569.0,375.0
2012-01-12,NLIC,569.0,615.0,580.0,615.0,250.0
2012-01-16,NLIC,615.0,627.0,627.0,627.0,200.0
2012-01-17,NLIC,627.0,627.0,615.0,627.0,80.0
2012-01-22,NLIC,627.0,625.0,625.0,625.0,45.0
2012-01-23,NLIC,625.0,627.0,621.0,621.0,525.0
2012-01-26,NLIC,621.0,621.0,621.0,621.0,376.0
2012-01-29,NLIC,621.0,622.0,620.0,622.0,150.0
2012-01-31,NLIC,622.0,632.0,620.0,632.0,250.0
2012-02-01,NLIC,632.0,635.0,631.0,631.0,560.0
2012-02-02,NLIC,631.0,631.0,631.0,631.0,50.0
2012-02-05,NLIC,631.0,635.0,632.0,635.0,45.0
2012-02-06,NLIC,635.0,647.0,647.0,647.0,200.0
2012-02-07,NLIC,647.0,640.0,635.0,640.0,1015.0
2012-02-08,NLIC,640.0,640.0,640.0,640.0,15.0
2012-02-14,NLIC,640.0,640.0,635.0,640.0,45.0
2012-02-15,NLIC,640.0,650.0,645.0,645.0,43.0
2012-02-23,NLIC,645.0,641.0,640.0,641.0,138.0
2012-02-26,NLIC,641.0,642.0,642.0,642.0,172.0
2012-02-29,NLIC,642.0,654.0,654.0,654.0,53.0
2012-03-01,NLIC,654.0,650.0,650.0,650.0,30.0
2012-03-04,NLIC,650.0,650.0,650.0,650.0,108.0
2012-03-05,NLIC,650.0,660.0,647.0,650.0,135.0
2012-03-06,NLIC,650.0,660.0,650.0,660.0,43.0
2012-03-11,NLIC,660.0,660.0,660.0,660.0,500.0
2012-03-12,NLIC,660.0,659.0,647.0,659.0,28.0
2012-03-13,NLIC,659.0,659.0,659.0,659.0,20.0
2012-03-14,NLIC,659.0,655.0,655.0,655.0,1250.0
2012-03-19,NLIC,655.0,645.0,645.0,645.0,4395.0
2012-03-20,NLIC,645.0,640.0,640.0,640.0,27.0
2012-03-25,NLIC,640.0,640.0,630.0,630.0,160.0
2012-03-28,NLIC,630.0,640.0,630.0,630.0,36107.0
2012-04-01,NLIC,630.0,640.0,640.0,640.0,1000.0
2012-04-03,NLIC,640.0,640.0,640.0,640.0,175.0
2012-04-04,NLIC,640.0,640.0,630.0,630.0,25.0
2012-04-12,NLIC,630.0,642.0,642.0,642.0,20.0
2012-04-15,NLIC,642.0,654.0,654.0,654.0,10.0
2012-04-16,NLIC,654.0,693.0,667.0,693.0,40.0
2012-04-17,NLIC,693.0,706.0,706.0,706.0,13.0
2012-04-18,NLIC,706.0,776.0,719.0,776.0,95.0
2012-04-19,NLIC,776.0,837.0,791.0,829.0,894.0
2012-04-22,NLIC,829.0,820.0,820.0,820.0,10.0
2012-04-24,NLIC,820.0,846.0,815.0,830.0,1776.0
2012-04-25,NLIC,830.0,835.0,830.0,835.0,1500.0
2012-04-26,NLIC,835.0,846.0,814.0,820.0,6259.0
2012-04-29,NLIC,820.0,861.0,820.0,861.0,3980.0
2012-05-03,NLIC,861.0,861.0,861.0,861.0,23.0
2012-05-08,NLIC,861.0,861.0,861.0,861.0,305.0
2012-05-09,NLIC,861.0,895.0,878.0,895.0,60.0
2012-05-16,NLIC,895.0,928.0,911.0,928.0,80.0
2012-05-22,NLIC,928.0,910.0,910.0,910.0,10.0
2012-05-24,NLIC,910.0,945.0,892.0,945.0,262.0
2012-05-27,NLIC,945.0,963.0,945.0,945.0,20.0
2012-06-10,NLIC,945.0,927.0,927.0,927.0,15.0
2012-06-11,NLIC,927.0,909.0,909.0,909.0,30.0
2012-06-12,NLIC,909.0,927.0,927.0,927.0,10.0
2012-06-19,NLIC,927.0,909.0,866.0,899.0,155.0
2012-07-02,NLIC,899.0,899.0,899.0,899.0,60.0
2012-07-09,NLIC,899.0,882.0,810.0,810.0,260.0
2012-07-10,NLIC,810.0,794.0,756.0,767.0,672.0
2012-07-11,NLIC,767.0,785.0,774.0,780.0,1195.0
2012-07-12,NLIC,780.0,785.0,766.0,785.0,185.0
2012-07-15,NLIC,785.0,785.0,785.0,785.0,500.0
2012-07-17,NLIC,785.0,804.0,785.0,795.0,1821.0
2012-07-18,NLIC,795.0,803.0,795.0,803.0,2060.0
2012-07-19,NLIC,803.0,815.0,800.0,815.0,1404.0
2012-07-22,NLIC,815.0,846.0,804.0,846.0,2531.0
2012-07-23,NLIC,846.0,850.0,830.0,850.0,406.0
2012-07-24,NLIC,850.0,845.0,833.0,845.0,1376.0
2012-07-25,NLIC,845.0,840.0,840.0,840.0,823.0
2012-07-26,NLIC,840.0,841.0,841.0,841.0,30.0
2012-07-30,NLIC,841.0,870.0,848.0,860.0,2877.0
2012-07-31,NLIC,860.0,860.0,860.0,860.0,24.0
2012-08-01,NLIC,860.0,865.0,865.0,865.0,60.0
2012-08-05,NLIC,865.0,865.0,849.0,849.0,582.0
