Date,Symbol,Open,High,Low,Close,Volume
2024-10-07,NLICP,450.0,450.0,450.0,450.0,69992.0
2025-01-23,NLICP,452.0,452.0,452.0,452.0,10000.0
2025-01-24,NLICP,452.0,452.0,452.0,452.0,10000.0
2025-01-25,NLICP,452.0,452.0,452.0,452.0,10000.0
2025-04-03,NLICP,430.0,430.0,430.0,430.0,50000.0
2025-04-04,NLICP,430.0,430.0,430.0,430.0,50000.0
2025-04-05,NLICP,430.0,430.0,430.0,430.0,50000.0
2025-04-06,NLICP,430.0,430.0,430.0,430.0,50000.0
2025-06-12,NLICP,413.0,413.0,413.0,413.0,14000.0
2025-06-13,NLICP,413.0,413.0,413.0,413.0,14000.0
2025-06-14,NLICP,413.0,413.0,413.0,413.0,14000.0
