Date,Symbol,Open,High,Low,Close,Volume
2024-03-26,NLO,253.4,253.4,253.4,253.4,45.0
2024-07-18,NLO,258.4,263.5,258.4,263.5,172.0
2024-07-19,NLO,258.4,263.5,258.4,263.5,172.0
2024-07-20,NLO,258.4,263.5,258.4,263.5,172.0
2024-07-28,NLO,268.7,268.7,268.7,268.7,10.0
2024-09-04,NLO,274.0,274.0,274.0,274.0,10.0
2024-09-08,NLO,279.4,279.4,279.4,279.4,10.0
2024-09-10,NLO,284.9,284.9,284.9,284.9,117.0
2024-10-01,NLO,237.42,237.42,237.42,237.42,1.0
2024-10-20,NLO,242.1,242.1,242.1,242.1,19.0
2024-10-23,NLO,242.1,242.1,242.1,242.1,3.0
2024-11-19,NLO,242.1,242.1,242.1,242.1,36.0
2024-11-25,NLO,242.1,242.1,242.1,242.1,10.0
2024-12-17,NLO,242.1,242.1,242.1,242.1,3.0
2024-12-22,NLO,246.9,246.9,246.9,246.9,10.0
2024-12-31,NLO,251.8,251.8,251.8,251.8,10.0
2025-01-02,NLO,251.8,251.8,251.8,251.8,3.0
2025-01-03,NLO,251.8,251.8,251.8,251.8,3.0
2025-01-04,NLO,251.8,251.8,251.8,251.8,3.0
2025-02-06,NLO,251.8,251.8,251.8,251.8,10.0
2025-02-07,NLO,251.8,251.8,251.8,251.8,10.0
2025-02-08,NLO,251.8,251.8,251.8,251.8,10.0
2025-02-25,NLO,256.8,276.9,256.8,276.9,60.0
2025-02-26,NLO,256.8,276.9,256.8,276.9,60.0
2025-03-16,NLO,276.9,276.9,276.9,276.9,2.0
2025-03-20,NLO,276.9,276.9,276.9,276.9,1.0
2025-03-21,NLO,276.9,276.9,276.9,276.9,1.0
2025-03-22,NLO,276.9,276.9,276.9,276.9,1.0
2025-04-22,NLO,282.4,282.4,282.4,282.4,32.0
2025-05-25,NLO,282.4,282.4,282.4,282.4,1.0
2025-06-24,NLO,288.0,288.0,288.0,288.0,10.0
2025-07-06,NLO,293.2,293.2,293.2,293.2,10.0
