Date,Symbol,Open,High,Low,Close,Volume
2024-03-04,PRVU,143.1,151.9,143.1,151.9,3257.0
2024-03-05,PRVU,154.9,154.9,143.0,143.9,91632.0
2024-03-06,PRVU,145.9,149.0,141.0,143.9,85534.0
2024-03-07,PRVU,141.5,145.9,141.5,145.0,46618.0
2024-03-08,PRVU,141.5,145.9,141.5,145.0,46618.0
2024-03-09,PRVU,141.5,145.9,141.5,145.0,46618.0
2024-03-10,PRVU,147.0,147.8,143.7,147.0,56657.0
2024-03-11,PRVU,147.0,147.8,143.7,147.0,56657.0
2024-03-12,PRVU,149.9,150.6,146.2,150.0,94872.0
2024-03-13,PRVU,152.0,152.0,149.2,150.3,72367.0
2024-03-14,PRVU,151.6,151.6,147.5,148.9,53208.0
2024-03-15,PRVU,151.6,151.6,147.5,148.9,53208.0
2024-03-16,PRVU,151.6,151.6,147.5,148.9,53208.0
2024-03-17,PRVU,151.8,151.8,145.1,146.0,68802.0
2024-03-18,PRVU,148.9,148.9,143.1,145.5,48642.0
2024-03-19,PRVU,145.0,146.5,144.0,145.0,82215.0
2024-03-20,PRVU,147.9,147.9,142.5,142.8,90210.0
2024-03-21,PRVU,142.0,144.5,142.0,143.0,78100.0
2024-03-22,PRVU,142.0,144.5,142.0,143.0,78100.0
2024-03-23,PRVU,142.0,144.5,142.0,143.0,78100.0
2024-03-24,PRVU,142.0,144.5,142.0,143.0,78100.0
2024-03-25,PRVU,144.0,144.5,141.1,142.0,48738.0
2024-03-26,PRVU,144.0,144.0,141.4,142.5,44466.0
2024-03-27,PRVU,142.5,142.5,140.1,141.3,41914.0
2024-03-28,PRVU,141.0,142.5,140.0,141.0,37985.0
2024-03-29,PRVU,141.0,142.5,140.0,141.0,37985.0
2024-03-30,PRVU,141.0,142.5,140.0,141.0,37985.0
2024-03-31,PRVU,143.0,143.0,140.0,141.0,53069.0
2024-04-01,PRVU,141.0,141.0,138.8,139.9,50623.0
2024-04-02,PRVU,142.6,142.6,139.0,139.3,65618.0
2024-04-03,PRVU,139.4,140.0,138.0,139.5,68897.0
2024-04-04,PRVU,140.0,141.5,138.2,139.1,49921.0
2024-04-05,PRVU,140.0,141.5,138.2,139.1,49921.0
2024-04-06,PRVU,140.0,141.5,138.2,139.1,49921.0
2024-04-07,PRVU,138.5,140.0,135.8,139.0,85099.0
2024-04-08,PRVU,138.5,140.0,135.8,139.0,85099.0
2024-04-09,PRVU,140.0,142.0,139.0,140.9,51324.0
2024-04-10,PRVU,142.0,143.0,141.0,142.0,60817.0
2024-04-11,PRVU,142.0,143.0,141.0,142.0,60817.0
2024-04-12,PRVU,142.0,143.0,141.0,142.0,60817.0
2024-04-13,PRVU,142.0,143.0,141.0,142.0,60817.0
2024-04-14,PRVU,141.1,141.6,139.0,139.1,64568.0
2024-04-15,PRVU,136.7,139.3,136.7,138.0,48007.0
2024-04-16,PRVU,137.0,139.0,136.2,137.6,39191.0
2024-04-17,PRVU,137.0,139.0,136.2,137.6,39191.0
2024-04-18,PRVU,139.0,139.3,137.0,139.0,134005.0
2024-04-19,PRVU,139.0,139.3,137.0,139.0,134005.0
2024-04-20,PRVU,139.0,139.3,137.0,139.0,134005.0
2024-04-21,PRVU,140.0,142.0,137.0,137.1,46573.0
2024-04-22,PRVU,138.9,139.0,136.7,137.9,91797.0
2024-04-23,PRVU,138.9,139.0,136.7,137.9,91797.0
2024-04-24,PRVU,140.0,140.0,137.0,139.6,43990.0
2024-04-25,PRVU,140.0,140.8,138.1,139.1,64133.0
2024-04-26,PRVU,140.0,140.8,138.1,139.1,64133.0
2024-04-27,PRVU,140.0,140.8,138.1,139.1,64133.0
2024-04-28,PRVU,141.8,141.8,138.0,138.7,44272.0
2024-04-29,PRVU,141.4,141.4,138.0,139.7,56473.0
2024-04-30,PRVU,142.4,142.4,139.0,141.3,78388.0
2024-05-01,PRVU,142.4,142.4,139.0,141.3,78388.0
2024-05-02,PRVU,144.1,144.1,137.0,137.5,123562.0
2024-05-03,PRVU,144.1,144.1,137.0,137.5,123562.0
2024-05-04,PRVU,144.1,144.1,137.0,137.5,123562.0
2024-05-05,PRVU,137.6,138.8,135.5,136.0,95053.0
2024-05-06,PRVU,138.7,138.7,134.0,135.0,110076.0
2024-05-07,PRVU,135.0,135.9,133.6,133.7,53949.0
2024-05-08,PRVU,133.0,135.0,132.0,133.4,52273.0
2024-05-09,PRVU,134.9,134.9,133.4,134.0,52196.0
2024-05-10,PRVU,134.9,134.9,133.4,134.0,52196.0
2024-05-11,PRVU,134.9,134.9,133.4,134.0,52196.0
2024-05-12,PRVU,136.6,137.2,134.6,136.0,56576.0
2024-05-13,PRVU,138.0,144.0,135.2,142.8,176962.0
2024-05-14,PRVU,145.6,145.6,139.0,141.5,70637.0
2024-05-15,PRVU,143.4,143.5,139.0,140.0,73883.0
2024-05-16,PRVU,142.8,142.8,138.0,139.0,51280.0
2024-05-17,PRVU,142.8,142.8,138.0,139.0,51280.0
2024-05-18,PRVU,142.8,142.8,138.0,139.0,51280.0
2024-05-19,PRVU,141.7,143.4,140.0,143.1,145883.0
2024-05-20,PRVU,145.9,155.0,144.0,149.5,255420.0
2024-05-21,PRVU,150.0,151.9,148.0,151.0,98708.0
2024-05-22,PRVU,148.0,159.0,148.0,157.2,256224.0
2024-05-23,PRVU,148.0,159.0,148.0,157.2,256224.0
2024-05-24,PRVU,148.0,159.0,148.0,157.2,256224.0
2024-05-25,PRVU,148.0,159.0,148.0,157.2,256224.0
2024-05-26,PRVU,157.2,159.9,153.1,153.9,186901.0
2024-05-27,PRVU,153.0,155.0,151.1,152.0,101787.0
2024-05-28,PRVU,153.0,155.0,151.1,152.0,101787.0
2024-05-29,PRVU,155.0,157.0,148.6,148.6,95416.0
2024-05-30,PRVU,151.5,151.5,144.3,144.7,86567.0
2024-05-31,PRVU,151.5,151.5,144.3,144.7,86567.0
2024-06-01,PRVU,151.5,151.5,144.3,144.7,86567.0
2024-06-02,PRVU,147.5,147.5,143.4,144.9,68843.0
2024-06-03,PRVU,147.7,147.7,143.2,144.4,48131.0
