Date,Symbol,Open,High,Low,Close,Volume
2024-03-05,PSF,8.68,8.68,8.49,8.6,137000.0
2024-03-06,PSF,8.6,8.6,8.44,8.6,51830.0
2024-03-07,PSF,8.45,8.5,8.45,8.49,6100.0
2024-03-08,PSF,8.45,8.5,8.45,8.49,6100.0
2024-03-09,PSF,8.45,8.5,8.45,8.49,6100.0
2024-03-10,PSF,8.41,8.6,8.41,8.49,15350.0
2024-03-11,PSF,8.41,8.6,8.41,8.49,15350.0
2024-03-12,PSF,8.34,8.5,8.34,8.5,3361.0
2024-03-13,PSF,8.67,9.1,8.43,8.77,211060.0
2024-03-14,PSF,8.6,8.7,8.43,8.7,16900.0
2024-03-15,PSF,8.6,8.7,8.43,8.7,16900.0
2024-03-16,PSF,8.6,8.7,8.43,8.7,16900.0
2024-03-17,PSF,8.57,8.69,8.57,8.6,25700.0
2024-03-18,PSF,8.57,8.6,8.57,8.6,4350.0
2024-03-19,PSF,8.5,8.72,8.5,8.65,56000.0
2024-03-20,PSF,8.51,8.65,8.51,8.65,30570.0
2024-03-21,PSF,8.6,8.65,8.6,8.65,80700.0
2024-03-22,PSF,8.6,8.65,8.6,8.65,80700.0
2024-03-23,PSF,8.6,8.65,8.6,8.65,80700.0
2024-03-24,PSF,8.6,8.65,8.6,8.65,80700.0
2024-03-25,PSF,8.52,9.01,8.52,8.75,310723.0
2024-03-26,PSF,8.58,9.01,8.58,8.8,126801.0
2024-03-27,PSF,8.8,8.86,8.8,8.86,31985.0
2024-03-28,PSF,8.8,8.97,8.8,8.97,19900.0
2024-03-29,PSF,8.8,8.97,8.8,8.97,19900.0
2024-03-30,PSF,8.8,8.97,8.8,8.97,19900.0
2024-03-31,PSF,8.8,8.82,8.63,8.66,15650.0
2024-04-01,PSF,8.7,8.75,8.6,8.7,14100.0
2024-04-02,PSF,8.87,9.01,8.8,8.98,320364.0
2024-04-03,PSF,8.81,9.1,8.81,8.97,50397.0
2024-04-04,PSF,8.98,8.99,8.97,8.97,54963.0
2024-04-05,PSF,8.98,8.99,8.97,8.97,54963.0
2024-04-06,PSF,8.98,8.99,8.97,8.97,54963.0
2024-04-07,PSF,8.8,8.96,8.8,8.96,8850.0
2024-04-08,PSF,8.8,8.96,8.8,8.96,8850.0
2024-04-09,PSF,8.8,8.85,8.79,8.79,16500.0
2024-04-10,PSF,8.71,8.85,8.71,8.76,20200.0
2024-04-11,PSF,8.71,8.85,8.71,8.76,20200.0
2024-04-12,PSF,8.71,8.85,8.71,8.76,20200.0
2024-04-13,PSF,8.71,8.85,8.71,8.76,20200.0
2024-04-14,PSF,8.59,8.7,8.59,8.7,14800.0
2024-04-15,PSF,8.55,8.6,8.55,8.57,5200.0
2024-04-16,PSF,8.57,8.69,8.52,8.69,2750.0
2024-04-17,PSF,8.57,8.69,8.52,8.69,2750.0
2024-04-18,PSF,8.66,8.71,8.52,8.71,11080.0
2024-04-19,PSF,8.66,8.71,8.52,8.71,11080.0
2024-04-20,PSF,8.66,8.71,8.52,8.71,11080.0
2024-04-21,PSF,8.54,8.57,8.54,8.56,900.0
2024-04-22,PSF,8.39,8.47,8.39,8.47,5400.0
