Date,Symbol,Open,High,Low,Close,Volume
2015-06-23,RBCL,5098.0,5098.0,5098.0,5098.0,214.0
2015-06-24,RBCL,5098.0,5098.0,5098.0,5098.0,25.0
2015-07-01,RBCL,5199.0,5199.0,5096.0,5096.0,285.0
2015-07-02,RBCL,4995.0,4995.0,4995.0,4995.0,51.0
2015-07-06,RBCL,5000.0,5000.0,5000.0,5000.0,103.0
2015-07-12,RBCL,5100.0,5100.0,5100.0,5100.0,41.0
2015-07-22,RBCL,5100.0,5100.0,5100.0,5100.0,20.0
2015-07-27,RBCL,5100.0,5200.0,5200.0,5200.0,43.0
2015-07-28,RBCL,5200.0,5280.0,5280.0,5280.0,37.0
2015-07-29,RBCL,5280.0,5304.0,5180.0,5200.0,189.0
2015-07-30,RBCL,5200.0,5250.0,5230.0,5230.0,140.0
2015-08-06,RBCL,5230.0,5250.0,5199.0,5250.0,177.0
2015-08-09,RBCL,5250.0,5247.0,5145.0,5247.0,226.0
2015-08-10,RBCL,5247.0,5300.0,5300.0,5300.0,312.0
2015-08-11,RBCL,5300.0,5300.0,5300.0,5300.0,38.0
2015-08-12,RBCL,5300.0,5301.0,5301.0,5301.0,30.0
2015-08-16,RBCL,0.0,5200.0,5200.0,5200.0,35.0
2015-08-17,RBCL,5300.0,5300.0,5300.0,5300.0,20.0
2015-08-23,RBCL,5400.0,5400.0,5400.0,5400.0,183.0
2015-08-25,RBCL,5500.0,5500.0,5500.0,5500.0,183.0
2015-08-26,RBCL,5600.0,5600.0,5600.0,5600.0,15.0
2015-08-27,RBCL,5600.0,5600.0,5600.0,5600.0,102.0
2015-08-31,RBCL,5488.0,5488.0,5379.0,5450.0,322.0
2015-09-01,RBCL,5450.0,5500.0,5400.0,5460.0,435.0
2015-09-02,RBCL,5435.0,5440.0,5435.0,5440.0,204.0
2015-09-03,RBCL,5540.0,5580.0,5540.0,5550.0,1167.0
2015-09-06,RBCL,5600.0,5710.0,5600.0,5710.0,149.0
2015-09-07,RBCL,5750.0,5750.0,5750.0,5750.0,214.0
2015-09-08,RBCL,5850.0,5850.0,5850.0,5850.0,75.0
2015-09-10,RBCL,5967.0,5967.0,5967.0,5967.0,10.0
2015-09-13,RBCL,6086.0,6200.0,6086.0,6175.0,262.0
