Date,Symbol,Open,High,Low,Close,Volume
2024-03-04,SALICO,650.0,663.0,650.0,663.0,150.0
2024-03-05,SALICO,670.0,670.0,643.0,652.5,7390.0
2024-03-06,SALICO,659.0,659.0,652.0,653.0,9349.0
2024-03-07,SALICO,664.0,664.0,656.0,663.9,7708.0
2024-03-08,SALICO,664.0,664.0,656.0,663.9,7708.0
2024-03-09,SALICO,664.0,664.0,656.0,663.9,7708.0
2024-03-10,SALICO,666.0,688.0,666.0,678.0,16121.0
2024-03-11,SALICO,666.0,688.0,666.0,678.0,16121.0
2024-03-12,SALICO,691.5,705.3,680.3,705.0,12046.0
2024-03-13,SALICO,710.0,710.0,691.2,703.1,7647.0
2024-03-14,SALICO,701.9,704.0,690.0,690.1,5796.0
2024-03-15,SALICO,701.9,704.0,690.0,690.1,5796.0
2024-03-16,SALICO,701.9,704.0,690.0,690.1,5796.0
2024-03-17,SALICO,684.0,695.0,684.0,692.5,7250.0
2024-03-18,SALICO,690.0,699.0,681.3,682.0,1353.0
2024-03-19,SALICO,681.0,694.0,681.0,687.0,4011.0
2024-03-20,SALICO,681.0,697.9,681.0,690.0,5015.0
2024-03-21,SALICO,681.1,690.1,679.0,679.0,6275.0
2024-03-22,SALICO,681.1,690.1,679.0,679.0,6275.0
2024-03-23,SALICO,681.1,690.1,679.0,679.0,6275.0
2024-03-24,SALICO,681.1,690.1,679.0,679.0,6275.0
2024-03-25,SALICO,676.0,680.0,666.0,671.0,8900.0
2024-03-26,SALICO,671.0,671.0,665.0,667.8,2349.0
2024-03-27,SALICO,670.0,670.0,661.1,662.0,6113.0
2024-03-28,SALICO,651.6,664.6,651.6,655.1,6833.0
2024-03-29,SALICO,651.6,664.6,651.6,655.1,6833.0
2024-03-30,SALICO,651.6,664.6,651.6,655.1,6833.0
2024-03-31,SALICO,652.0,664.9,652.0,653.2,9828.0
2024-04-01,SALICO,650.0,662.0,650.0,657.0,4609.0
2024-04-02,SALICO,657.0,660.0,652.1,658.0,8098.0
2024-04-03,SALICO,660.0,670.0,656.3,665.0,7611.0
2024-04-04,SALICO,670.0,673.1,669.0,671.0,10910.0
2024-04-05,SALICO,670.0,673.1,669.0,671.0,10910.0
2024-04-06,SALICO,670.0,673.1,669.0,671.0,10910.0
2024-04-07,SALICO,665.0,670.0,662.0,669.0,3502.0
2024-04-08,SALICO,665.0,670.0,662.0,669.0,3502.0
2024-04-09,SALICO,669.0,675.0,662.4,667.0,12203.0
2024-04-10,SALICO,657.8,666.5,657.2,661.0,5251.0
2024-04-11,SALICO,657.8,666.5,657.2,661.0,5251.0
2024-04-12,SALICO,657.8,666.5,657.2,661.0,5251.0
2024-04-13,SALICO,657.8,666.5,657.2,661.0,5251.0
2024-04-14,SALICO,651.3,661.0,650.5,655.5,3549.0
2024-04-15,SALICO,666.0,666.0,640.0,642.1,3899.0
2024-04-16,SALICO,636.0,645.0,632.1,639.4,12293.0
2024-04-17,SALICO,636.0,645.0,632.1,639.4,12293.0
2024-04-18,SALICO,630.1,635.0,625.0,634.0,3727.0
2024-04-19,SALICO,630.1,635.0,625.0,634.0,3727.0
2024-04-20,SALICO,630.1,635.0,625.0,634.0,3727.0
2024-04-21,SALICO,630.0,631.0,625.0,630.0,5806.0
2024-04-22,SALICO,634.0,634.0,610.6,610.6,13152.0
2024-04-23,SALICO,634.0,634.0,610.6,610.6,13152.0
2024-04-24,SALICO,610.0,622.0,602.0,602.0,7029.0
2024-04-25,SALICO,614.0,614.0,605.1,613.0,6336.0
2024-04-26,SALICO,614.0,614.0,605.1,613.0,6336.0
2024-04-27,SALICO,614.0,614.0,605.1,613.0,6336.0
2024-04-28,SALICO,613.0,625.2,613.0,620.0,3281.0
2024-04-29,SALICO,615.2,626.9,615.2,625.0,5011.0
2024-04-30,SALICO,625.0,663.0,615.5,652.0,10879.0
2024-05-01,SALICO,625.0,663.0,615.5,652.0,10879.0
2024-05-02,SALICO,652.0,652.0,635.1,644.0,9280.0
2024-05-03,SALICO,652.0,652.0,635.1,644.0,9280.0
2024-05-04,SALICO,652.0,652.0,635.1,644.0,9280.0
2024-05-05,SALICO,644.9,645.0,639.1,639.1,8572.0
2024-05-06,SALICO,630.0,640.0,627.0,630.0,8552.0
2024-05-07,SALICO,620.2,642.6,620.2,628.8,4030.0
2024-05-08,SALICO,629.0,633.0,629.0,632.0,2211.0
2024-05-09,SALICO,632.0,634.5,624.0,634.5,10538.0
2024-05-10,SALICO,632.0,634.5,624.0,634.5,10538.0
2024-05-11,SALICO,632.0,634.5,624.0,634.5,10538.0
2024-05-12,SALICO,646.9,672.1,644.9,660.0,18590.0
2024-05-13,SALICO,672.9,679.6,661.0,670.0,9283.0
2024-05-14,SALICO,681.8,723.0,675.0,705.0,14550.0
2024-05-15,SALICO,714.9,719.0,690.0,692.2,22917.0
2024-05-16,SALICO,685.0,689.0,675.0,681.0,6083.0
2024-05-17,SALICO,685.0,689.0,675.0,681.0,6083.0
2024-05-18,SALICO,685.0,689.0,675.0,681.0,6083.0
2024-05-19,SALICO,694.6,722.0,694.6,712.0,46847.0
2024-05-20,SALICO,715.0,722.8,710.0,715.0,27497.0
2024-05-21,SALICO,705.0,719.0,703.3,714.9,12011.0
2024-05-22,SALICO,704.1,715.0,704.1,715.0,22512.0
2024-05-23,SALICO,704.1,715.0,704.1,715.0,22512.0
2024-05-24,SALICO,704.1,715.0,704.1,715.0,22512.0
2024-05-25,SALICO,704.1,715.0,704.1,715.0,22512.0
2024-05-26,SALICO,700.7,708.9,700.7,702.0,8243.0
2024-05-27,SALICO,702.0,707.0,696.0,704.0,12053.0
2024-05-28,SALICO,702.0,707.0,696.0,704.0,12053.0
2024-05-29,SALICO,715.0,715.0,688.0,693.0,10748.0
2024-05-30,SALICO,680.1,691.0,680.1,680.1,7765.0
2024-05-31,SALICO,680.1,691.0,680.1,680.1,7765.0
2024-06-01,SALICO,680.1,691.0,680.1,680.1,7765.0
2024-06-02,SALICO,681.0,704.0,679.0,690.0,9721.0
2024-06-03,SALICO,690.0,690.0,677.6,683.0,6939.0
2024-06-04,SALICO,684.0,694.9,681.1,688.0,14292.0
2024-06-05,SALICO,680.0,685.0,677.1,678.0,3605.0
2024-06-06,SALICO,688.0,688.0,676.0,685.2,14358.0
2024-06-07,SALICO,688.0,688.0,676.0,685.2,14358.0
2024-06-08,SALICO,688.0,688.0,676.0,685.2,14358.0
2024-06-09,SALICO,671.6,698.9,671.5,680.0,6196.0
2024-06-10,SALICO,679.0,725.0,676.1,696.8,5733.0
2024-06-11,SALICO,700.0,715.0,692.1,713.9,26556.0
2024-06-12,SALICO,711.0,717.5,700.0,705.0,24909.0
2024-06-13,SALICO,704.9,709.0,695.1,697.0,13383.0
2024-06-14,SALICO,704.9,709.0,695.1,697.0,13383.0
2024-06-15,SALICO,704.9,709.0,695.1,697.0,13383.0
2024-06-16,SALICO,695.0,704.9,687.0,687.0,8201.0
2024-06-17,SALICO,695.0,704.9,687.0,687.0,8201.0
2024-06-18,SALICO,685.0,694.0,676.0,676.0,10484.0
