Date,Symbol,Open,High,Low,Close,Volume
2012-01-01,SBI,406.0,416.0,410.0,416.0,1032.0
2012-01-02,SBI,416.0,430.0,422.0,430.0,592.0
2012-01-03,SBI,430.0,446.0,438.0,439.0,1124.0
2012-01-04,SBI,439.0,431.0,431.0,431.0,86.0
2012-01-05,SBI,431.0,430.0,423.0,423.0,484.0
2012-01-08,SBI,423.0,425.0,421.0,422.0,600.0
2012-01-09,SBI,422.0,430.0,428.0,428.0,503.0
2012-01-10,SBI,428.0,436.0,425.0,436.0,1052.0
2012-01-11,SBI,436.0,444.0,444.0,444.0,20.0
2012-01-12,SBI,444.0,443.0,435.0,439.0,384.0
2012-01-18,SBI,444.0,445.0,445.0,445.0,68.0
2012-01-22,SBI,445.0,446.0,438.0,445.0,1780.0
2012-01-23,SBI,445.0,440.0,440.0,440.0,109.0
2012-01-25,SBI,440.0,432.0,418.0,418.0,268.0
2012-01-26,SBI,418.0,410.0,400.0,400.0,65867.0
2012-01-29,SBI,400.0,424.0,408.0,417.0,293.0
2012-01-31,SBI,417.0,427.0,424.0,427.0,593.0
2012-02-01,SBI,427.0,425.0,425.0,425.0,1569.0
2012-02-05,SBI,425.0,432.0,425.0,426.0,325.0
2012-02-06,SBI,426.0,425.0,420.0,420.0,576.0
2012-02-07,SBI,420.0,428.0,420.0,422.0,491.0
2012-02-08,SBI,422.0,401.0,401.0,401.0,28000.0
2012-02-12,SBI,401.0,420.0,409.0,417.0,925.0
2012-02-13,SBI,417.0,422.0,416.0,421.0,254.0
2012-02-14,SBI,421.0,425.0,420.0,421.0,462.0
2012-02-15,SBI,421.0,416.0,416.0,416.0,328.0
2012-02-16,SBI,416.0,408.0,408.0,408.0,2286.0
2012-02-21,SBI,408.0,416.0,408.0,414.0,2792.0
2012-02-23,SBI,414.0,416.0,408.0,416.0,2130.0
2012-02-26,SBI,416.0,428.0,420.0,422.0,710.0
2012-02-27,SBI,422.0,425.0,412.0,422.0,2776.0
2012-02-28,SBI,422.0,430.0,426.0,430.0,644.0
2012-02-29,SBI,430.0,438.0,425.0,438.0,2511.0
2012-03-01,SBI,438.0,435.0,426.0,435.0,3453.0
2012-03-04,SBI,435.0,434.0,424.0,432.0,3314.0
2012-03-05,SBI,432.0,441.0,425.0,441.0,2697.0
2012-03-06,SBI,441.0,440.0,433.0,440.0,2150.0
2012-03-11,SBI,440.0,435.0,421.0,425.0,3241.0
2012-03-12,SBI,425.0,433.0,421.0,422.0,1486.0
2012-03-13,SBI,422.0,423.0,423.0,423.0,120.0
2012-03-14,SBI,423.0,430.0,425.0,429.0,573.0
2012-03-15,SBI,429.0,425.0,424.0,425.0,564.0
2012-03-18,SBI,425.0,429.0,423.0,426.0,1180.0
2012-03-19,SBI,426.0,429.0,425.0,429.0,238.0
2012-03-20,SBI,429.0,435.0,427.0,427.0,586.0
2012-03-21,SBI,427.0,429.0,419.0,429.0,527.0
2012-03-25,SBI,429.0,422.0,422.0,422.0,730.0
2012-03-26,SBI,422.0,426.0,426.0,426.0,27.0
2012-03-27,SBI,426.0,425.0,419.0,425.0,568.0
2012-03-29,SBI,425.0,426.0,422.0,422.0,200.0
2012-04-01,SBI,422.0,427.0,422.0,425.0,597.0
2012-04-02,SBI,425.0,425.0,424.0,424.0,340.0
2012-04-03,SBI,424.0,428.0,422.0,428.0,658.0
2012-04-04,SBI,428.0,430.0,425.0,427.0,262.0
2012-04-05,SBI,427.0,427.0,427.0,427.0,33.0
2012-04-08,SBI,427.0,442.0,428.0,435.0,1169.0
2012-04-09,SBI,435.0,440.0,439.0,439.0,265.0
2012-04-10,SBI,439.0,464.0,425.0,464.0,2534.0
2012-04-11,SBI,464.0,483.0,455.0,455.0,1562.0
2012-04-12,SBI,455.0,482.0,456.0,475.0,1874.0
2012-04-15,SBI,475.0,512.0,484.0,512.0,1354.0
2012-04-16,SBI,512.0,551.0,520.0,551.0,4480.0
2012-04-17,SBI,551.0,584.0,520.0,520.0,3510.0
2012-04-18,SBI,520.0,555.0,490.0,545.0,2143.0
2012-04-19,SBI,545.0,577.0,545.0,565.0,5585.0
2012-04-22,SBI,565.0,594.0,568.0,590.0,3173.0
2012-04-24,SBI,590.0,649.0,601.0,649.0,3245.0
2012-04-25,SBI,649.0,713.0,661.0,713.0,1132.0
2012-04-26,SBI,713.0,764.0,660.0,712.0,10322.0
2012-04-29,SBI,712.0,720.0,681.0,696.0,5553.0
2012-04-30,SBI,696.0,685.0,652.0,668.0,1541.0
2012-05-02,SBI,668.0,655.0,633.0,633.0,467.0
2012-05-03,SBI,633.0,696.0,645.0,696.0,4084.0
2012-05-07,SBI,696.0,709.0,709.0,709.0,100.0
2012-05-08,SBI,709.0,760.0,670.0,696.0,3949.0
