Date,Symbol,Open,High,Low,Close,Volume
2024-04-21,SBLPO,135.0,135.0,135.0,135.0,43168.0
2024-07-10,SBLPO,137.7,137.7,137.7,137.7,350676.0
2024-07-11,SBLPO,137.7,137.7,137.7,137.7,99324.0
2024-07-12,SBLPO,137.7,137.7,137.7,137.7,99324.0
2024-07-13,SBLPO,137.7,137.7,137.7,137.7,99324.0
2024-07-21,SBLPO,137.7,137.7,137.7,137.7,60307.0
2025-07-03,SBLPO,175.0,175.0,175.0,175.0,15000.0
2025-07-04,SBLPO,175.0,175.0,175.0,175.0,15000.0
2025-07-05,SBLPO,175.0,175.0,175.0,175.0,15000.0
2025-07-06,SBLPO,175.0,175.0,175.0,175.0,134000.0
2025-07-14,SBLPO,175.0,175.0,175.0,175.0,41570.0
2025-07-17,SBLPO,172.0,172.0,172.0,172.0,25000.0
2025-07-18,SBLPO,172.0,172.0,172.0,172.0,25000.0
2025-07-19,SBLPO,172.0,172.0,172.0,172.0,25000.0
2025-08-18,SBLPO,172.0,172.0,172.0,172.0,25000.0
2025-09-07,SBLPO,169.0,169.0,169.0,169.0,151000.0
