Date,Symbol,Open,High,Low,Close,Volume
2024-03-04,SHEL,212.1,212.1,212.1,212.1,10.0
2024-03-05,SHEL,216.0,229.1,215.0,216.9,32436.0
2024-03-06,SHEL,220.8,224.0,210.0,216.0,7168.0
2024-03-07,SHEL,214.0,230.0,214.0,217.0,9405.0
2024-03-08,SHEL,214.0,230.0,214.0,217.0,9405.0
2024-03-09,SHEL,214.0,230.0,214.0,217.0,9405.0
2024-03-10,SHEL,213.0,217.0,213.0,215.0,7872.0
2024-03-11,SHEL,213.0,217.0,213.0,215.0,7872.0
2024-03-12,SHEL,219.0,226.8,212.0,219.9,7835.0
2024-03-13,SHEL,217.0,217.9,212.0,214.0,14795.0
2024-03-14,SHEL,211.8,216.8,210.0,211.0,14654.0
2024-03-15,SHEL,211.8,216.8,210.0,211.0,14654.0
2024-03-16,SHEL,211.8,216.8,210.0,211.0,14654.0
2024-03-17,SHEL,210.0,210.0,203.0,205.0,21292.0
2024-03-18,SHEL,205.0,206.0,199.8,200.0,21331.0
2024-03-19,SHEL,197.1,209.0,196.3,207.0,13708.0
2024-03-20,SHEL,209.0,210.0,204.0,206.0,7560.0
2024-03-21,SHEL,202.0,213.9,202.0,203.1,9790.0
2024-03-22,SHEL,202.0,213.9,202.0,203.1,9790.0
2024-03-23,SHEL,202.0,213.9,202.0,203.1,9790.0
2024-03-24,SHEL,202.0,213.9,202.0,203.1,9790.0
2024-03-25,SHEL,207.0,207.0,197.0,197.0,11701.0
2024-03-26,SHEL,200.0,200.0,193.4,199.9,5928.0
2024-03-27,SHEL,200.5,202.0,196.1,198.0,5314.0
2024-03-28,SHEL,198.0,200.0,195.0,195.0,11227.0
2024-03-29,SHEL,198.0,200.0,195.0,195.0,11227.0
2024-03-30,SHEL,198.0,200.0,195.0,195.0,11227.0
2024-03-31,SHEL,195.0,202.8,193.5,199.0,7355.0
2024-04-01,SHEL,198.0,199.0,193.0,199.0,12903.0
2024-04-02,SHEL,199.0,200.0,193.0,196.0,5940.0
2024-04-03,SHEL,192.2,193.6,190.0,193.6,6470.0
2024-04-04,SHEL,193.7,195.4,190.0,190.2,11329.0
2024-04-05,SHEL,193.7,195.4,190.0,190.2,11329.0
2024-04-06,SHEL,193.7,195.4,190.0,190.2,11329.0
2024-04-07,SHEL,187.0,189.9,185.0,188.0,11715.0
2024-04-08,SHEL,187.0,189.9,185.0,188.0,11715.0
2024-04-09,SHEL,188.0,194.0,188.0,190.0,5320.0
2024-04-10,SHEL,186.2,186.2,171.0,171.0,65484.0
2024-04-11,SHEL,186.2,186.2,171.0,171.0,65484.0
2024-04-12,SHEL,186.2,186.2,171.0,171.0,65484.0
2024-04-13,SHEL,186.2,186.2,171.0,171.0,65484.0
2024-04-14,SHEL,167.6,188.1,164.3,180.8,114068.0
2024-04-15,SHEL,180.0,183.0,165.0,170.0,61689.0
2024-04-16,SHEL,168.0,173.0,165.7,170.0,45445.0
2024-04-17,SHEL,168.0,173.0,165.7,170.0,45445.0
2024-04-18,SHEL,167.0,170.0,161.0,163.0,46167.0
2024-04-19,SHEL,167.0,170.0,161.0,163.0,46167.0
2024-04-20,SHEL,167.0,170.0,161.0,163.0,46167.0
2024-04-21,SHEL,165.0,167.2,162.0,166.0,45027.0
2024-04-22,SHEL,168.0,169.3,164.7,164.7,43968.0
2024-04-23,SHEL,168.0,169.3,164.7,164.7,43968.0
2024-04-24,SHEL,167.5,167.5,164.0,165.0,12828.0
