Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,AHPC,188.0,193.0,186.0,186.8,40752.0
2024_03_09,AHPC,188.0,193.0,186.0,186.8,40752.0
2024_03_11,AHPC,190.4,190.5,186.2,187.0,35018.0
2024_03_15,AHPC,191.0,191.0,186.0,187.5,52652.0
2024_03_16,AHPC,191.0,191.0,186.0,187.5,52652.0
2024_03_22,AHPC,184.0,184.0,178.7,178.8,31260.0
2024_03_23,AHPC,184.0,184.0,178.7,178.8,31260.0
2024_03_24,AHPC,184.0,184.0,178.7,178.8,31260.0
2024_03_29,AHPC,179.0,179.0,174.0,177.3,24520.0
2024_03_30,AHPC,179.0,179.0,174.0,177.3,24520.0
2024_04_05,AHPC,170.1,172.2,170.0,170.2,27640.0
2024_04_06,AHPC,170.1,172.2,170.0,170.2,27640.0
2024_04_08,AHPC,172.0,173.0,170.0,172.9,34890.0
2024_04_11,AHPC,178.4,178.4,174.0,174.0,20486.0
2024_04_12,AHPC,178.4,178.4,174.0,174.0,20486.0
2024_04_13,AHPC,178.4,178.4,174.0,174.0,20486.0
2024_04_17,AHPC,172.8,172.8,168.0,168.0,34556.0
2024_04_19,AHPC,168.0,169.0,163.8,165.0,35949.0
2024_04_20,AHPC,168.0,169.0,163.8,165.0,35949.0
2024_04_23,AHPC,169.0,170.0,163.3,166.5,32967.0
2024_04_26,AHPC,163.0,166.0,162.0,162.0,26991.0
2024_04_27,AHPC,163.0,166.0,162.0,162.0,26991.0
2024_05_01,AHPC,165.4,166.2,161.0,165.8,54496.0
2024_05_03,AHPC,168.2,168.2,164.0,166.0,23857.0
2024_05_04,AHPC,168.2,168.2,164.0,166.0,23857.0
2024_05_10,AHPC,162.8,162.8,156.0,157.0,49152.0
2024_05_11,AHPC,162.8,162.8,156.0,157.0,49152.0
2024_05_17,AHPC,168.3,168.3,161.7,162.0,16093.0
2024_05_18,AHPC,168.3,168.3,161.7,162.0,16093.0
2024_05_23,AHPC,163.0,166.0,161.2,163.8,323763.0
2024_05_24,AHPC,163.0,166.0,161.2,163.8,323763.0
2024_05_25,AHPC,163.0,166.0,161.2,163.8,323763.0
