Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,BARUN,255.0,256.0,249.6,253.8,38462.0
2024_03_09,BARUN,255.0,256.0,249.6,253.8,38462.0
2024_03_11,BARUN,255.9,257.8,250.1,252.8,26471.0
2024_03_15,BARUN,253.0,256.6,250.1,251.0,28523.0
2024_03_16,BARUN,253.0,256.6,250.1,251.0,28523.0
2024_03_22,BARUN,248.0,248.0,240.1,242.0,15789.0
2024_03_23,BARUN,248.0,248.0,240.1,242.0,15789.0
2024_03_24,BARUN,248.0,248.0,240.1,242.0,15789.0
2024_03_29,BARUN,241.0,245.0,237.2,244.0,21517.0
2024_03_30,BARUN,241.0,245.0,237.2,244.0,21517.0
2024_04_05,BARUN,237.0,243.9,233.0,236.8,24367.0
2024_04_06,BARUN,237.0,243.9,233.0,236.8,24367.0
2024_04_08,BARUN,236.0,240.0,235.1,238.0,15077.0
2024_04_11,BARUN,241.5,244.0,239.0,239.0,18904.0
2024_04_12,BARUN,241.5,244.0,239.0,239.0,18904.0
2024_04_13,BARUN,241.5,244.0,239.0,239.0,18904.0
2024_04_17,BARUN,240.1,241.0,236.0,236.3,11282.0
2024_04_19,BARUN,231.6,236.0,230.0,231.0,7399.0
2024_04_20,BARUN,231.6,236.0,230.0,231.0,7399.0
2024_04_23,BARUN,235.7,238.9,232.5,234.0,5725.0
2024_04_26,BARUN,233.0,236.0,226.4,232.9,24977.0
2024_04_27,BARUN,233.0,236.0,226.4,232.9,24977.0
2024_05_01,BARUN,228.0,239.0,227.0,236.0,26570.0
2024_05_03,BARUN,232.6,238.0,230.0,231.5,15284.0
2024_05_04,BARUN,232.6,238.0,230.0,231.5,15284.0
2024_05_10,BARUN,215.3,221.9,211.0,220.0,21353.0
2024_05_11,BARUN,215.3,221.9,211.0,220.0,21353.0
2024_05_17,BARUN,228.1,235.0,226.1,235.0,23565.0
2024_05_18,BARUN,228.1,235.0,226.1,235.0,23565.0
2024_05_23,BARUN,237.4,245.6,237.4,241.0,13641.0
2024_05_24,BARUN,237.4,245.6,237.4,241.0,13641.0
2024_05_25,BARUN,237.4,245.6,237.4,241.0,13641.0
2024_05_28,BARUN,233.6,241.5,233.6,236.0,4658.0
2024_05_31,BARUN,232.0,247.8,231.0,239.0,38164.0
2024_06_01,BARUN,232.0,247.8,231.0,239.0,38164.0
2024_06_07,BARUN,230.4,238.5,230.3,235.0,5783.0
2024_06_08,BARUN,230.4,238.5,230.3,235.0,5783.0
2024_06_14,BARUN,288.7,311.1,283.7,307.0,399806.0
2024_06_15,BARUN,288.7,311.1,283.7,307.0,399806.0
2024_06_17,BARUN,313.0,319.0,299.0,307.0,344002.0
2024_06_21,BARUN,301.9,316.0,301.9,309.5,183675.0
2024_06_22,BARUN,301.9,316.0,301.9,309.5,183675.0
2024_06_28,BARUN,303.0,309.9,298.0,307.9,103406.0
2024_06_29,BARUN,303.0,309.9,298.0,307.9,103406.0
2024_07_05,BARUN,296.29,305.0,293.0,296.9,83635.0
2024_07_06,BARUN,296.29,305.0,293.0,296.9,83635.0
2024_07_12,BARUN,302.0,305.9,297.0,299.0,56344.0
2024_07_13,BARUN,302.0,305.9,297.0,299.0,56344.0
2024_07_19,BARUN,348.0,371.1,330.0,344.7,180714.0
2024_07_20,BARUN,348.0,371.1,330.0,344.7,180714.0
2024_07_26,BARUN,360.9,369.9,347.5,363.0,183825.0
2024_07_27,BARUN,360.9,369.9,347.5,363.0,183825.0
2024_08_02,BARUN,390.0,396.5,382.0,386.0,239391.0
2024_08_03,BARUN,390.0,396.5,382.0,386.0,239391.0
2024_08_04,BARUN,390.0,396.5,382.0,386.0,239391.0
2024_08_09,BARUN,383.0,400.0,379.3,385.0,200466.0
2024_08_10,BARUN,383.0,400.0,379.3,385.0,200466.0
2024_08_16,BARUN,392.0,431.2,390.9,412.0,280942.0
2024_08_17,BARUN,392.0,431.2,390.9,412.0,280942.0
2024_08_19,BARUN,410.0,419.0,392.0,395.0,149166.0
2024_08_20,BARUN,410.0,419.0,392.0,395.0,149166.0
2024_08_23,BARUN,385.1,397.9,385.0,388.0,126774.0
2024_08_24,BARUN,385.1,397.9,385.0,388.0,126774.0
2024_08_26,BARUN,388.0,394.9,372.0,380.0,115333.0
2024_08_30,BARUN,367.0,381.0,358.0,366.2,74219.0
2024_08_31,BARUN,367.0,381.0,358.0,366.2,74219.0
2024_09_06,BARUN,355.0,362.2,348.9,356.0,47846.0
2024_09_07,BARUN,355.0,362.2,348.9,356.0,47846.0
2024_09_13,BARUN,336.0,351.0,336.0,351.0,34018.0
2024_09_14,BARUN,336.0,351.0,336.0,351.0,34018.0
2024_09_17,BARUN,345.0,358.9,335.0,336.0,37267.0
2024_09_19,BARUN,335.0,347.0,330.2,336.8,17840.0
2024_09_20,BARUN,335.0,347.0,330.2,336.8,17840.0
2024_09_21,BARUN,335.0,347.0,330.2,336.8,17840.0
2024_09_27,BARUN,330.0,353.0,324.0,326.5,31968.0
2024_09_28,BARUN,330.0,353.0,324.0,326.5,31968.0
2024_10_03,BARUN,356.0,377.4,341.0,350.0,36582.0
2024_10_04,BARUN,356.0,377.4,341.0,350.0,36582.0
2024_10_05,BARUN,356.0,377.4,341.0,350.0,36582.0
2024_10_10,BARUN,360.0,361.0,352.0,356.0,12345.0
2024_10_11,BARUN,360.0,361.0,352.0,356.0,12345.0
2024_10_12,BARUN,360.0,361.0,352.0,356.0,12345.0
2024_10_13,BARUN,360.0,361.0,352.0,356.0,12345.0
2024_10_14,BARUN,360.0,361.0,352.0,356.0,12345.0
2024_10_18,BARUN,356.2,384.9,356.1,365.0,34473.0
2024_10_19,BARUN,356.2,384.9,356.1,365.0,34473.0
2024_10_25,BARUN,386.0,400.5,372.0,381.8,88467.0
2024_10_26,BARUN,386.0,400.5,372.0,381.8,88467.0
2024_10_31,BARUN,406.9,406.9,388.4,388.5,62105.0
2024_11_01,BARUN,406.9,406.9,388.4,388.5,62105.0
2024_11_02,BARUN,406.9,406.9,388.4,388.5,62105.0
2024_11_03,BARUN,406.9,406.9,388.4,388.5,62105.0
2024_11_04,BARUN,406.9,406.9,388.4,388.5,62105.0
2024_11_07,BARUN,396.6,398.0,386.0,392.0,23404.0
2024_11_08,BARUN,396.6,398.0,386.0,392.0,23404.0
2024_11_09,BARUN,396.6,398.0,386.0,392.0,23404.0
2024_11_15,BARUN,405.0,432.0,400.0,418.7,234744.0
2024_11_16,BARUN,405.0,432.0,400.0,418.7,234744.0
2024_11_18,BARUN,427.0,450.0,425.0,436.0,289892.0
2024_11_22,BARUN,440.0,441.0,420.0,422.0,67692.0
2024_11_23,BARUN,440.0,441.0,420.0,422.0,67692.0
2024_11_29,BARUN,441.9,441.9,426.0,426.2,67545.0
2024_11_30,BARUN,441.9,441.9,426.0,426.2,67545.0
2024_12_06,BARUN,452.0,453.0,435.2,439.0,103154.0
2024_12_07,BARUN,452.0,453.0,435.2,439.0,103154.0
2024_12_13,BARUN,440.0,444.7,427.3,429.0,68461.0
2024_12_14,BARUN,440.0,444.7,427.3,429.0,68461.0
2024_12_15,BARUN,440.0,444.7,427.3,429.0,68461.0
2024_12_20,BARUN,409.3,417.0,405.1,406.4,26914.0
2024_12_21,BARUN,409.3,417.0,405.1,406.4,26914.0
2024_12_25,BARUN,409.9,411.9,400.0,411.0,147508.0
2024_12_27,BARUN,403.0,414.7,403.0,405.5,29406.0
2024_12_28,BARUN,403.0,414.7,403.0,405.5,29406.0
2024_12_30,BARUN,400.0,405.0,390.3,390.3,51003.0
2025_01_03,BARUN,395.0,405.0,390.3,405.0,28333.0
2025_01_04,BARUN,395.0,405.0,390.3,405.0,28333.0
2025_01_10,BARUN,416.0,422.0,413.1,419.0,78354.0
2025_01_11,BARUN,416.0,422.0,413.1,419.0,78354.0
2025_01_14,BARUN,425.2,425.2,414.0,414.0,35586.0
2025_01_17,BARUN,423.8,435.0,419.7,433.0,112102.0
2025_01_18,BARUN,423.8,435.0,419.7,433.0,112102.0
2025_01_24,BARUN,454.9,454.9,442.2,445.0,84893.0
2025_01_25,BARUN,454.9,454.9,442.2,445.0,84893.0
2025_01_29,BARUN,466.0,467.0,450.0,461.3,319781.0
2025_01_30,BARUN,466.0,467.0,450.0,461.3,319781.0
2025_01_31,BARUN,466.0,467.0,450.0,461.3,319781.0
2025_02_01,BARUN,466.0,467.0,450.0,461.3,319781.0
2025_02_07,BARUN,501.7,507.0,487.5,490.0,377241.0
2025_02_08,BARUN,501.7,507.0,487.5,490.0,377241.0
2025_02_14,BARUN,508.7,508.7,488.0,489.0,99329.0
