Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,BBC,3900.0,3989.9,3786.0,3979.8,985.0
2024_03_09,BBC,3900.0,3989.9,3786.0,3979.8,985.0
2024_03_11,BBC,3980.0,3980.0,3862.1,3915.0,524.0
2024_03_15,BBC,3900.0,3900.0,3835.9,3900.0,215.0
2024_03_16,BBC,3900.0,3900.0,3835.9,3900.0,215.0
2024_03_22,BBC,3918.0,3918.0,3770.0,3825.0,450.0
2024_03_23,BBC,3918.0,3918.0,3770.0,3825.0,450.0
2024_03_24,BBC,3918.0,3918.0,3770.0,3825.0,450.0
2024_03_29,BBC,3772.5,3830.0,3772.0,3830.0,56.0
2024_03_30,BBC,3772.5,3830.0,3772.0,3830.0,56.0
2024_04_05,BBC,3801.0,3825.0,3801.0,3825.0,103.0
2024_04_06,BBC,3801.0,3825.0,3801.0,3825.0,103.0
2024_04_08,BBC,3875.0,3875.0,3785.0,3785.0,65.0
2024_04_11,BBC,3781.0,3830.0,3681.0,3681.0,1055.0
2024_04_12,BBC,3781.0,3830.0,3681.0,3681.0,1055.0
2024_04_13,BBC,3781.0,3830.0,3681.0,3681.0,1055.0
2024_04_17,BBC,3650.0,3730.0,3650.0,3700.0,350.0
2024_04_19,BBC,3700.0,3700.0,3680.0,3700.0,110.0
2024_04_20,BBC,3700.0,3700.0,3680.0,3700.0,110.0
2024_04_23,BBC,3785.0,3785.0,3785.0,3785.0,10.0
2024_04_26,BBC,3730.0,3730.0,3691.0,3700.0,350.0
2024_04_27,BBC,3730.0,3730.0,3691.0,3700.0,350.0
2024_05_01,BBC,3660.5,3759.0,3660.1,3700.0,160.0
2024_05_03,BBC,3700.0,3760.0,3691.0,3691.0,160.0
2024_05_04,BBC,3700.0,3760.0,3691.0,3691.0,160.0
2024_05_10,BBC,3784.0,3784.0,3650.0,3749.0,225.0
2024_05_11,BBC,3784.0,3784.0,3650.0,3749.0,225.0
2024_05_17,BBC,3701.0,3740.0,3699.0,3700.0,297.0
2024_05_18,BBC,3701.0,3740.0,3699.0,3700.0,297.0
2024_05_23,BBC,3715.5,3778.0,3715.5,3725.0,205.0
2024_05_24,BBC,3715.5,3778.0,3715.5,3725.0,205.0
2024_05_25,BBC,3715.5,3778.0,3715.5,3725.0,205.0
2024_05_28,BBC,3700.0,3800.0,3700.0,3752.2,500.0
2024_05_31,BBC,3875.0,3875.0,3756.2,3756.2,350.0
2024_06_01,BBC,3875.0,3875.0,3756.2,3756.2,350.0
2024_06_07,BBC,3725.0,3837.5,3724.0,3832.0,544.0
2024_06_08,BBC,3725.0,3837.5,3724.0,3832.0,544.0
2024_06_14,BBC,3985.0,4145.2,3975.0,4060.0,1386.0
2024_06_15,BBC,3985.0,4145.2,3975.0,4060.0,1386.0
2024_06_17,BBC,3980.0,4180.9,3979.0,3995.0,635.0
2024_06_21,BBC,3916.1,3993.0,3916.1,3918.0,290.0
2024_06_22,BBC,3916.1,3993.0,3916.1,3918.0,290.0
2024_06_28,BBC,3980.0,3980.0,3880.0,3928.0,230.0
2024_06_29,BBC,3980.0,3980.0,3880.0,3928.0,230.0
2024_07_05,BBC,4140.0,4140.0,4050.0,4050.0,727.0
2024_07_06,BBC,4140.0,4140.0,4050.0,4050.0,727.0
2024_07_12,BBC,4000.0,4050.0,4000.0,4015.0,463.0
2024_07_13,BBC,4000.0,4050.0,4000.0,4015.0,463.0
2024_07_19,BBC,4390.0,4396.0,4275.0,4275.0,1738.0
2024_07_20,BBC,4390.0,4396.0,4275.0,4275.0,1738.0
2024_07_26,BBC,4550.0,4641.0,4470.0,4590.0,1557.0
2024_07_27,BBC,4550.0,4641.0,4470.0,4590.0,1557.0
2024_08_02,BBC,4650.0,4689.0,4570.0,4599.9,852.0
2024_08_03,BBC,4650.0,4689.0,4570.0,4599.9,852.0
2024_08_04,BBC,4650.0,4689.0,4570.0,4599.9,852.0
2024_08_09,BBC,4564.6,4922.6,4406.0,4900.0,3830.0
2024_08_10,BBC,4564.6,4922.6,4406.0,4900.0,3830.0
2024_08_16,BBC,4921.5,5011.0,4900.0,4900.0,1550.0
2024_08_17,BBC,4921.5,5011.0,4900.0,4900.0,1550.0
2024_08_19,BBC,4998.0,5190.0,4885.0,4885.0,2271.0
2024_08_20,BBC,4998.0,5190.0,4885.0,4885.0,2271.0
2024_08_23,BBC,4818.0,4898.9,4802.0,4802.0,936.0
2024_08_24,BBC,4818.0,4898.9,4802.0,4802.0,936.0
2024_08_26,BBC,4810.0,4810.0,4657.0,4686.0,688.0
2024_08_30,BBC,4600.0,4600.0,4450.0,4529.0,165.0
2024_08_31,BBC,4600.0,4600.0,4450.0,4529.0,165.0
2024_09_06,BBC,4461.0,4550.0,4461.0,4490.0,175.0
2024_09_07,BBC,4461.0,4550.0,4461.0,4490.0,175.0
2024_09_13,BBC,4525.0,4530.0,4404.0,4500.0,188.0
2024_09_14,BBC,4525.0,4530.0,4404.0,4500.0,188.0
2024_09_17,BBC,4390.0,4450.0,4300.0,4378.0,627.0
2024_09_19,BBC,4300.0,4374.9,4226.0,4230.0,496.0
2024_09_20,BBC,4300.0,4374.9,4226.0,4230.0,496.0
2024_09_21,BBC,4300.0,4374.9,4226.0,4230.0,496.0
2024_09_27,BBC,4180.0,4250.0,4120.0,4120.0,126.0
2024_09_28,BBC,4180.0,4250.0,4120.0,4120.0,126.0
2024_10_03,BBC,4285.0,4285.0,4155.0,4155.0,123.0
2024_10_04,BBC,4285.0,4285.0,4155.0,4155.0,123.0
2024_10_05,BBC,4285.0,4285.0,4155.0,4155.0,123.0
2024_10_10,BBC,4305.0,4305.0,4305.0,4305.0,10.0
2024_10_11,BBC,4305.0,4305.0,4305.0,4305.0,10.0
2024_10_12,BBC,4305.0,4305.0,4305.0,4305.0,10.0
2024_10_13,BBC,4305.0,4305.0,4305.0,4305.0,10.0
2024_10_14,BBC,4305.0,4305.0,4305.0,4305.0,10.0
2024_10_18,BBC,4410.0,4410.0,4290.1,4290.1,535.0
2024_10_19,BBC,4410.0,4410.0,4290.1,4290.1,535.0
2024_10_25,BBC,4249.9,4249.9,4170.0,4229.0,74.0
2024_10_26,BBC,4249.9,4249.9,4170.0,4229.0,74.0
2024_10_31,BBC,4248.0,4248.0,4117.0,4220.0,149.0
2024_11_01,BBC,4248.0,4248.0,4117.0,4220.0,149.0
2024_11_02,BBC,4248.0,4248.0,4117.0,4220.0,149.0
2024_11_03,BBC,4248.0,4248.0,4117.0,4220.0,149.0
2024_11_04,BBC,4248.0,4248.0,4117.0,4220.0,149.0
2024_11_07,BBC,4250.0,4269.0,4250.0,4260.0,342.0
2024_11_08,BBC,4250.0,4269.0,4250.0,4260.0,342.0
2024_11_09,BBC,4250.0,4269.0,4250.0,4260.0,342.0
2024_11_15,BBC,4300.0,4385.0,4300.0,4375.0,419.0
2024_11_16,BBC,4300.0,4385.0,4300.0,4375.0,419.0
2024_11_18,BBC,4302.0,4500.0,4300.0,4465.0,770.0
2024_11_22,BBC,4300.0,4300.0,4200.0,4200.0,525.0
2024_11_23,BBC,4300.0,4300.0,4200.0,4200.0,525.0
2024_11_29,BBC,5049.0,5445.0,5049.0,5445.0,1761.0
2024_11_30,BBC,5049.0,5445.0,5049.0,5445.0,1761.0
2024_12_06,BBC,6372.0,6899.0,6160.0,6630.0,7545.0
2024_12_07,BBC,6372.0,6899.0,6160.0,6630.0,7545.0
2024_12_13,BBC,6502.0,6630.0,6403.1,6440.1,1573.0
2024_12_14,BBC,6502.0,6630.0,6403.1,6440.1,1573.0
2024_12_15,BBC,6502.0,6630.0,6403.1,6440.1,1573.0
2024_12_20,BBC,6270.0,6280.0,6089.0,6089.0,1555.0
2024_12_21,BBC,6270.0,6280.0,6089.0,6089.0,1555.0
2024_12_25,BBC,5955.0,6140.0,5917.0,5997.9,1239.0
2024_12_27,BBC,6000.0,6340.0,5935.0,6150.0,2333.0
2024_12_28,BBC,6000.0,6340.0,5935.0,6150.0,2333.0
2024_12_30,BBC,6150.0,6249.9,6000.0,6088.0,1394.0
2025_01_03,BBC,5900.0,5900.0,5750.0,5799.0,1428.0
2025_01_04,BBC,5900.0,5900.0,5750.0,5799.0,1428.0
2025_01_10,BBC,5897.0,5898.0,5749.0,5794.0,1054.0
2025_01_11,BBC,5897.0,5898.0,5749.0,5794.0,1054.0
2025_01_14,BBC,5660.0,5824.0,5625.0,5629.0,1243.0
2025_01_17,BBC,5700.0,6091.0,5521.0,5759.0,806.0
2025_01_18,BBC,5700.0,6091.0,5521.0,5759.0,806.0
2025_01_24,BBC,5915.0,5915.0,5772.0,5821.0,919.0
2025_01_25,BBC,5915.0,5915.0,5772.0,5821.0,919.0
2025_01_29,BBC,5750.0,6002.0,5670.0,5675.0,795.0
2025_01_30,BBC,5750.0,6002.0,5670.0,5675.0,795.0
2025_01_31,BBC,5750.0,6002.0,5670.0,5675.0,795.0
2025_02_01,BBC,5750.0,6002.0,5670.0,5675.0,795.0
2025_02_07,BBC,5749.9,5749.9,5566.6,5677.9,1744.0
2025_02_08,BBC,5749.9,5749.9,5566.6,5677.9,1744.0
2025_02_14,BBC,5700.0,5700.0,5517.0,5587.0,1668.0
2025_02_15,BBC,5700.0,5700.0,5517.0,5587.0,1668.0
2025_02_19,BBC,5500.1,5599.9,5450.0,5535.0,822.0
2025_02_21,BBC,5535.1,5814.0,5530.0,5744.0,2980.0
2025_02_22,BBC,5535.1,5814.0,5530.0,5744.0,2980.0
2025_02_26,BBC,5537.0,5750.0,5428.0,5499.0,2109.0
2025_02_28,BBC,5554.9,5608.9,5450.0,5570.0,661.0
2025_03_01,BBC,5554.9,5608.9,5450.0,5570.0,661.0
2025_03_07,BBC,5500.0,5595.9,5500.0,5543.9,638.0
2025_03_08,BBC,5500.0,5595.9,5500.0,5543.9,638.0
2025_03_13,BBC,5405.0,5405.0,5300.0,5316.0,2205.0
2025_03_14,BBC,5405.0,5405.0,5300.0,5316.0,2205.0
2025_03_15,BBC,5405.0,5405.0,5300.0,5316.0,2205.0
2025_03_21,BBC,5305.0,5487.0,5305.0,5410.69,346.0
2025_03_22,BBC,5305.0,5487.0,5305.0,5410.69,346.0
2025_03_28,BBC,5201.0,5698.0,5201.0,5609.16,4977.0
2025_03_29,BBC,5201.0,5698.0,5201.0,5609.16,4977.0
2025_03_31,BBC,5640.0,5750.0,5550.0,5595.53,2486.0
2025_04_04,BBC,6531.0,6661.6,6223.0,6289.14,3671.0
2025_04_05,BBC,6531.0,6661.6,6223.0,6289.14,3671.0
2025_04_06,BBC,6531.0,6661.6,6223.0,6289.14,3671.0
2025_04_11,BBC,6219.9,6220.0,6000.0,6102.13,1862.0
2025_04_12,BBC,6219.9,6220.0,6000.0,6102.13,1862.0
2025_04_14,BBC,5981.0,6200.0,5981.0,6013.36,1120.0
2025_04_18,BBC,6091.0,6091.0,5861.0,5965.35,770.0
2025_04_19,BBC,6091.0,6091.0,5861.0,5965.35,770.0
2025_04_25,BBC,5899.0,6000.0,5776.2,5840.46,1070.0
2025_04_26,BBC,5899.0,6000.0,5776.2,5840.46,1070.0
2025_05_01,BBC,6028.9,6028.9,5880.0,5941.27,788.0
