Date,Symbol,Open,High,Low,Close,Volume
2024_03_27,CZBILP,102.0,102.0,102.0,102.0,70490.0
2024_04_02,CZBILP,105.0,105.0,105.0,105.0,50000.0
2024_07_03,CZBILP,102.0,102.0,102.0,102.0,100000.0
2024_07_04,CZBILP,102.0,102.0,102.0,102.0,56580.0
2024_07_05,CZBILP,102.0,102.0,102.0,102.0,56580.0
2024_07_06,CZBILP,102.0,102.0,102.0,102.0,56580.0
2024_08_29,CZBILP,102.0,102.0,102.0,102.0,105000.0
2024_08_30,CZBILP,102.0,102.0,102.0,102.0,105000.0
2024_08_31,CZBILP,102.0,102.0,102.0,102.0,105000.0
2024_09_29,CZBILP,102.0,102.0,102.0,102.0,220000.0
2024_12_31,CZBILP,123.0,123.0,123.0,123.0,29440.0
2025_01_13,CZBILP,120.6,120.6,120.6,120.6,200000.0
2025_01_14,CZBILP,120.6,120.6,120.6,120.6,200000.0
2025_01_20,CZBILP,118.2,118.2,118.2,118.2,200000.0
2025_02_06,CZBILP,116.0,116.0,116.0,116.0,228807.0
2025_02_07,CZBILP,116.0,116.0,116.0,116.0,228807.0
2025_02_08,CZBILP,116.0,116.0,116.0,116.0,228807.0
2025_05_06,CZBILP,111.0,111.0,111.0,111.0,40000.0
2025_10_09,CZBILP,108.0,108.0,108.0,108.0,51926.0
2025_10_10,CZBILP,108.0,108.0,108.0,108.0,51926.0
2025_10_11,CZBILP,108.0,108.0,108.0,108.0,51926.0
