Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,EBL,519.1,520.0,507.3,508.0,14957.0
2024_03_09,EBL,519.1,520.0,507.3,508.0,14957.0
2024_03_11,EBL,515.0,515.0,510.0,513.9,11123.0
2024_03_15,EBL,515.0,520.0,514.1,517.0,13637.0
2024_03_16,EBL,515.0,520.0,514.1,517.0,13637.0
2024_03_22,EBL,512.0,518.0,511.2,513.1,15525.0
2024_03_23,EBL,512.0,518.0,511.2,513.1,15525.0
2024_03_24,EBL,512.0,518.0,511.2,513.1,15525.0
2024_03_29,EBL,504.5,508.8,503.0,503.7,23558.0
2024_03_30,EBL,504.5,508.8,503.0,503.7,23558.0
2024_04_05,EBL,493.0,496.0,490.6,493.0,35709.0
2024_04_06,EBL,493.0,496.0,490.6,493.0,35709.0
2024_04_08,EBL,493.0,500.0,487.3,500.0,17202.0
2024_04_11,EBL,502.0,505.0,500.2,505.0,20985.0
2024_04_12,EBL,502.0,505.0,500.2,505.0,20985.0
2024_04_13,EBL,502.0,505.0,500.2,505.0,20985.0
2024_04_17,EBL,495.3,500.0,495.3,497.0,10227.0
2024_04_19,EBL,505.0,505.0,494.0,497.0,7434.0
2024_04_20,EBL,505.0,505.0,494.0,497.0,7434.0
2024_04_23,EBL,504.1,509.8,503.0,504.9,16174.0
2024_04_26,EBL,505.9,505.9,500.0,505.0,10713.0
2024_04_27,EBL,505.9,505.9,500.0,505.0,10713.0
2024_05_01,EBL,515.1,515.1,505.0,509.0,15772.0
2024_05_03,EBL,519.1,519.1,504.1,505.4,19183.0
2024_05_04,EBL,519.1,519.1,504.1,505.4,19183.0
2024_05_10,EBL,495.1,499.5,495.1,499.0,13206.0
2024_05_11,EBL,495.1,499.5,495.1,499.0,13206.0
2024_05_17,EBL,505.0,512.0,502.5,512.0,21450.0
2024_05_18,EBL,505.0,512.0,502.5,512.0,21450.0
2024_05_23,EBL,542.0,559.0,537.3,550.9,131084.0
2024_05_24,EBL,542.0,559.0,537.3,550.9,131084.0
2024_05_25,EBL,542.0,559.0,537.3,550.9,131084.0
2024_05_28,EBL,550.0,550.0,538.5,540.0,53168.0
2024_05_31,EBL,530.0,530.0,522.0,523.0,30166.0
2024_06_01,EBL,530.0,530.0,522.0,523.0,30166.0
2024_06_07,EBL,528.1,528.1,521.2,528.0,27100.0
2024_06_08,EBL,528.1,528.1,521.2,528.0,27100.0
2024_06_14,EBL,534.0,534.0,530.6,533.0,16504.0
2024_06_15,EBL,534.0,534.0,530.6,533.0,16504.0
2024_06_17,EBL,532.9,532.9,526.1,530.0,18004.0
2024_06_21,EBL,539.4,539.4,526.0,528.0,15835.0
2024_06_22,EBL,539.4,539.4,526.0,528.0,15835.0
2024_06_28,EBL,523.0,523.0,518.1,520.9,11467.0
2024_06_29,EBL,523.0,523.0,518.1,520.9,11467.0
2024_07_05,EBL,540.0,544.2,536.0,542.0,44284.0
2024_07_06,EBL,540.0,544.2,536.0,542.0,44284.0
2024_07_12,EBL,550.0,556.0,547.7,553.0,83055.0
2024_07_13,EBL,550.0,556.0,547.7,553.0,83055.0
2024_07_19,EBL,592.0,618.0,587.3,610.0,162266.0
2024_07_20,EBL,592.0,618.0,587.3,610.0,162266.0
2024_07_26,EBL,619.0,619.0,600.1,616.9,159802.0
2024_07_27,EBL,619.0,619.0,600.1,616.9,159802.0
2024_08_02,EBL,688.0,688.0,670.0,670.1,278830.0
2024_08_03,EBL,688.0,688.0,670.0,670.1,278830.0
2024_08_04,EBL,688.0,688.0,670.0,670.1,278830.0
2024_08_09,EBL,690.0,695.0,675.0,682.0,125871.0
2024_08_10,EBL,690.0,695.0,675.0,682.0,125871.0
2024_08_16,EBL,717.0,720.0,700.0,713.6,239159.0
2024_08_17,EBL,717.0,720.0,700.0,713.6,239159.0
2024_08_19,EBL,720.0,740.0,716.1,727.0,399125.0
2024_08_20,EBL,720.0,740.0,716.1,727.0,399125.0
2024_08_23,EBL,778.0,790.0,762.2,766.0,180780.0
2024_08_24,EBL,778.0,790.0,762.2,766.0,180780.0
2024_08_26,EBL,766.0,767.0,737.0,747.0,267998.0
2024_08_30,EBL,757.5,757.5,726.0,740.0,135538.0
2024_08_31,EBL,757.5,757.5,726.0,740.0,135538.0
2024_09_06,EBL,724.0,728.0,712.0,720.0,77907.0
2024_09_07,EBL,724.0,728.0,712.0,720.0,77907.0
2024_09_13,EBL,678.0,709.0,678.0,705.0,145952.0
2024_09_14,EBL,678.0,709.0,678.0,705.0,145952.0
2024_09_17,EBL,686.0,711.0,686.0,709.0,158207.0
2024_09_19,EBL,709.0,709.0,694.0,703.0,83610.0
2024_09_20,EBL,709.0,709.0,694.0,703.0,83610.0
2024_09_21,EBL,709.0,709.0,694.0,703.0,83610.0
2024_09_27,EBL,600.0,608.0,590.1,598.0,37015.0
2024_09_28,EBL,600.0,608.0,590.1,598.0,37015.0
2024_10_03,EBL,615.0,619.9,597.0,603.0,48804.0
