Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,FOWAD,1018.0,1030.0,1010.0,1025.0,860.0
2024_03_09,FOWAD,1018.0,1030.0,1010.0,1025.0,860.0
2024_03_11,FOWAD,1030.0,1085.0,1030.0,1073.0,14453.0
2024_03_15,FOWAD,1101.0,1128.0,1087.9,1097.0,6102.0
2024_03_16,FOWAD,1101.0,1128.0,1087.9,1097.0,6102.0
2024_03_22,FOWAD,1149.0,1150.0,1130.0,1130.1,2236.0
2024_03_23,FOWAD,1149.0,1150.0,1130.0,1130.1,2236.0
2024_03_24,FOWAD,1149.0,1150.0,1130.0,1130.1,2236.0
2024_03_29,FOWAD,1095.0,1097.0,1081.0,1090.0,2857.0
2024_03_30,FOWAD,1095.0,1097.0,1081.0,1090.0,2857.0
2024_04_05,FOWAD,1110.0,1149.0,1080.0,1136.0,11049.0
2024_04_06,FOWAD,1110.0,1149.0,1080.0,1136.0,11049.0
2024_04_08,FOWAD,1155.0,1169.0,1136.0,1140.0,6827.0
2024_04_11,FOWAD,1147.9,1148.0,1110.1,1119.0,2507.0
2024_04_12,FOWAD,1147.9,1148.0,1110.1,1119.0,2507.0
2024_04_13,FOWAD,1147.9,1148.0,1110.1,1119.0,2507.0
2024_04_17,FOWAD,1120.0,1160.0,1120.0,1135.0,1173.0
2024_04_19,FOWAD,1125.0,1126.0,1115.1,1116.3,1021.0
2024_04_20,FOWAD,1125.0,1126.0,1115.1,1116.3,1021.0
2024_04_23,FOWAD,1119.0,1119.0,1090.0,1100.0,1581.0
2024_04_26,FOWAD,1110.0,1115.0,1088.0,1095.0,674.0
2024_04_27,FOWAD,1110.0,1115.0,1088.0,1095.0,674.0
2024_05_01,FOWAD,1140.0,1141.0,1119.0,1125.0,4643.0
2024_05_03,FOWAD,1146.0,1185.0,1126.0,1152.1,11377.0
2024_05_04,FOWAD,1146.0,1185.0,1126.0,1152.1,11377.0
2024_05_10,FOWAD,1213.8,1213.8,1156.3,1180.0,4026.0
2024_05_11,FOWAD,1213.8,1213.8,1156.3,1180.0,4026.0
2024_05_17,FOWAD,1213.0,1271.5,1213.0,1261.0,17995.0
2024_05_18,FOWAD,1213.0,1271.5,1213.0,1261.0,17995.0
2024_05_23,FOWAD,1285.0,1290.1,1260.2,1277.0,5088.0
2024_05_24,FOWAD,1285.0,1290.1,1260.2,1277.0,5088.0
2024_05_25,FOWAD,1285.0,1290.1,1260.2,1277.0,5088.0
2024_05_28,FOWAD,1273.8,1275.0,1237.0,1257.0,3970.0
2024_05_31,FOWAD,1225.0,1233.0,1205.0,1205.0,8690.0
2024_06_01,FOWAD,1225.0,1233.0,1205.0,1205.0,8690.0
2024_06_07,FOWAD,1273.0,1305.0,1271.3,1290.0,12288.0
2024_06_08,FOWAD,1273.0,1305.0,1271.3,1290.0,12288.0
2024_06_14,FOWAD,1319.0,1320.0,1290.0,1290.0,8295.0
2024_06_15,FOWAD,1319.0,1320.0,1290.0,1290.0,8295.0
