Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,GUFL,591.7,627.3,591.7,624.0,1300.0
2024_03_05,GUFL,625.0,625.0,596.0,618.0,92213.0
2024_03_06,GUFL,605.9,668.0,585.0,668.0,99214.0
2024_03_07,GUFL,670.0,670.0,643.0,654.0,120326.0
2024_03_08,GUFL,670.0,670.0,643.0,654.0,120326.0
2024_03_09,GUFL,670.0,670.0,643.0,654.0,120326.0
2024_03_10,GUFL,654.0,674.0,645.0,671.0,101983.0
2024_03_11,GUFL,654.0,674.0,645.0,671.0,101983.0
2024_03_12,GUFL,684.4,713.8,662.0,702.0,134207.0
2024_03_13,GUFL,713.0,767.0,695.0,755.0,190425.0
2024_03_14,GUFL,755.0,830.0,728.0,750.0,168293.0
2024_03_15,GUFL,755.0,830.0,728.0,750.0,168293.0
2024_03_16,GUFL,755.0,830.0,728.0,750.0,168293.0
2024_03_17,GUFL,750.0,785.0,750.0,785.0,136140.0
2024_03_18,GUFL,800.0,863.5,775.1,863.5,292380.0
2024_03_19,GUFL,846.3,930.0,783.1,860.0,190766.0
2024_03_20,GUFL,850.0,946.0,820.5,946.0,139705.0
2024_03_21,GUFL,927.1,927.1,852.0,855.0,327548.0
2024_03_22,GUFL,927.1,927.1,852.0,855.0,327548.0
2024_03_23,GUFL,927.1,927.1,852.0,855.0,327548.0
2024_03_24,GUFL,927.1,927.1,852.0,855.0,327548.0
2024_03_25,GUFL,837.9,922.7,790.0,872.0,343485.0
2024_03_26,GUFL,854.6,878.0,838.1,878.0,93160.0
2024_03_27,GUFL,860.6,870.0,820.1,858.0,69174.0
2024_03_28,GUFL,840.9,890.0,833.0,880.0,186907.0
2024_03_29,GUFL,840.9,890.0,833.0,880.0,186907.0
2024_03_30,GUFL,840.9,890.0,833.0,880.0,186907.0
2024_03_31,GUFL,881.0,888.0,860.2,879.0,144150.0
2024_04_01,GUFL,861.5,877.0,855.0,869.9,115371.0
2024_04_02,GUFL,853.0,904.0,850.0,880.0,173197.0
2024_04_03,GUFL,862.4,877.0,845.3,869.9,136836.0
2024_04_04,GUFL,853.0,930.2,846.0,854.9,270698.0
2024_04_05,GUFL,853.0,930.2,846.0,854.9,270698.0
2024_04_06,GUFL,853.0,930.2,846.0,854.9,270698.0
2024_04_07,GUFL,854.9,885.3,854.9,884.0,220985.0
2024_04_08,GUFL,854.9,885.3,854.9,884.0,220985.0
2024_04_09,GUFL,901.5,901.5,850.0,852.0,186879.0
2024_04_10,GUFL,835.0,854.8,812.2,816.0,133529.0
2024_04_11,GUFL,835.0,854.8,812.2,816.0,133529.0
2024_04_12,GUFL,835.0,854.8,812.2,816.0,133529.0
2024_04_13,GUFL,835.0,854.8,812.2,816.0,133529.0
2024_04_14,GUFL,799.7,831.0,799.7,828.5,62527.0
2024_04_15,GUFL,812.0,845.4,812.0,823.0,75837.0
2024_04_16,GUFL,823.0,905.3,800.0,905.0,212626.0
2024_04_17,GUFL,823.0,905.3,800.0,905.0,212626.0
2024_04_18,GUFL,886.9,886.9,819.2,820.0,218705.0
2024_04_19,GUFL,886.9,886.9,819.2,820.0,218705.0
2024_04_20,GUFL,886.9,886.9,819.2,820.0,218705.0
2024_04_21,GUFL,804.0,805.0,765.6,787.1,129366.0
2024_04_22,GUFL,771.4,827.0,754.6,755.0,150131.0
2024_04_23,GUFL,771.4,827.0,754.6,755.0,150131.0
2024_04_24,GUFL,770.1,770.1,740.1,768.9,110945.0
2024_04_25,GUFL,775.0,794.5,757.0,770.0,103424.0
2024_04_26,GUFL,775.0,794.5,757.0,770.0,103424.0
2024_04_27,GUFL,775.0,794.5,757.0,770.0,103424.0
2024_04_28,GUFL,785.4,785.4,760.1,760.2,111346.0
2024_04_29,GUFL,760.0,762.0,741.0,745.1,121068.0
2024_04_30,GUFL,745.1,746.0,710.0,711.0,224124.0
2024_05_01,GUFL,745.1,746.0,710.0,711.0,224124.0
2024_05_02,GUFL,711.0,743.6,680.0,725.0,223183.0
2024_05_03,GUFL,711.0,743.6,680.0,725.0,223183.0
2024_05_04,GUFL,711.0,743.6,680.0,725.0,223183.0
2024_05_05,GUFL,711.0,734.0,711.0,720.0,86171.0
2024_05_06,GUFL,712.1,729.0,700.0,700.0,89365.0
2024_05_07,GUFL,713.0,713.0,677.6,678.0,59810.0
2024_05_08,GUFL,690.0,705.8,681.5,702.9,81824.0
2024_05_09,GUFL,688.9,730.0,688.9,711.0,85563.0
2024_05_10,GUFL,688.9,730.0,688.9,711.0,85563.0
2024_05_11,GUFL,688.9,730.0,688.9,711.0,85563.0
2024_05_12,GUFL,725.2,725.2,690.0,713.0,61527.0
2024_05_13,GUFL,699.1,719.1,699.1,713.2,85980.0
2024_05_14,GUFL,699.0,717.0,699.0,714.5,35815.0
2024_05_15,GUFL,700.3,715.8,700.3,708.0,47687.0
2024_05_16,GUFL,693.9,718.0,687.0,693.0,82143.0
2024_05_17,GUFL,693.9,718.0,687.0,693.0,82143.0
2024_05_18,GUFL,693.9,718.0,687.0,693.0,82143.0
2024_05_19,GUFL,706.8,706.8,683.0,683.0,68364.0
2024_05_20,GUFL,670.0,696.0,668.1,670.0,72783.0
2024_05_21,GUFL,670.9,693.6,670.0,685.0,66176.0
2024_05_22,GUFL,690.0,693.0,670.4,671.0,70854.0
2024_05_23,GUFL,690.0,693.0,670.4,671.0,70854.0
2024_05_24,GUFL,690.0,693.0,670.4,671.0,70854.0
2024_05_25,GUFL,690.0,693.0,670.4,671.0,70854.0
2024_05_26,GUFL,673.0,678.0,668.0,670.9,38820.0
2024_05_27,GUFL,665.1,680.0,665.0,672.0,44813.0
2024_05_28,GUFL,665.1,680.0,665.0,672.0,44813.0
2024_05_29,GUFL,685.0,685.3,660.0,669.9,47225.0
2024_05_30,GUFL,676.9,676.9,653.0,657.0,45855.0
2024_05_31,GUFL,676.9,676.9,653.0,657.0,45855.0
2024_06_01,GUFL,676.9,676.9,653.0,657.0,45855.0
2024_06_02,GUFL,666.0,675.0,660.1,669.5,59114.0
2024_06_03,GUFL,679.0,679.0,665.3,668.0,40976.0
2024_06_04,GUFL,670.0,671.9,663.2,670.0,27244.0
2024_06_05,GUFL,670.1,679.9,668.0,668.0,30061.0
2024_06_06,GUFL,668.1,673.0,655.0,655.4,40441.0
2024_06_07,GUFL,668.1,673.0,655.0,655.4,40441.0
