Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,GVL,412.0,455.0,412.0,455.0,1730.0
2024_03_05,GVL,455.0,457.0,426.4,430.0,18395.0
2024_03_06,GVL,425.0,443.0,423.0,435.0,13051.0
2024_03_07,GVL,441.0,443.5,433.0,435.0,6490.0
2024_03_08,GVL,441.0,443.5,433.0,435.0,6490.0
2024_03_09,GVL,441.0,443.5,433.0,435.0,6490.0
2024_03_10,GVL,435.0,443.0,427.2,440.0,13400.0
2024_03_11,GVL,435.0,443.0,427.2,440.0,13400.0
2024_03_12,GVL,447.0,448.7,436.0,447.0,9110.0
2024_03_13,GVL,440.0,447.9,438.0,447.9,9518.0
2024_03_14,GVL,439.0,447.6,434.0,443.5,4334.0
2024_03_15,GVL,439.0,447.6,434.0,443.5,4334.0
2024_03_16,GVL,439.0,447.6,434.0,443.5,4334.0
2024_03_17,GVL,440.0,443.0,432.4,439.0,6000.0
2024_03_18,GVL,447.0,447.0,431.0,441.7,7646.0
2024_03_19,GVL,433.0,445.0,433.0,440.0,4044.0
2024_03_20,GVL,433.0,436.0,429.0,429.0,8758.0
2024_03_21,GVL,421.3,437.5,421.3,427.5,8793.0
2024_03_22,GVL,421.3,437.5,421.3,427.5,8793.0
2024_03_23,GVL,421.3,437.5,421.3,427.5,8793.0
2024_03_24,GVL,421.3,437.5,421.3,427.5,8793.0
2024_03_25,GVL,419.1,427.4,419.1,420.0,5695.0
2024_03_26,GVL,413.0,431.9,413.0,425.1,3605.0
2024_03_27,GVL,420.0,434.0,420.0,425.0,6569.0
2024_03_28,GVL,433.0,433.5,418.1,423.9,9288.0
2024_03_29,GVL,433.0,433.5,418.1,423.9,9288.0
2024_03_30,GVL,433.0,433.5,418.1,423.9,9288.0
2024_03_31,GVL,432.0,432.0,417.1,424.3,2763.0
2024_04_01,GVL,421.0,429.4,415.0,419.9,14535.0
2024_04_02,GVL,423.0,428.0,416.0,422.6,9074.0
2024_04_03,GVL,414.7,425.5,414.7,419.9,8187.0
2024_04_04,GVL,412.1,421.0,412.1,419.3,8029.0
2024_04_05,GVL,412.1,421.0,412.1,419.3,8029.0
2024_04_06,GVL,412.1,421.0,412.1,419.3,8029.0
2024_04_07,GVL,416.0,424.3,416.0,421.1,9129.0
2024_04_08,GVL,416.0,424.3,416.0,421.1,9129.0
2024_04_09,GVL,421.0,432.0,421.0,424.0,8558.0
2024_04_10,GVL,420.0,435.0,420.0,433.0,5960.0
2024_04_11,GVL,420.0,435.0,420.0,433.0,5960.0
2024_04_12,GVL,420.0,435.0,420.0,433.0,5960.0
2024_04_13,GVL,420.0,435.0,420.0,433.0,5960.0
2024_04_14,GVL,430.0,441.0,424.5,429.1,12608.0
2024_04_15,GVL,421.0,438.9,419.5,427.5,14378.0
2024_04_16,GVL,419.0,430.0,419.0,423.0,7081.0
2024_04_17,GVL,419.0,430.0,419.0,423.0,7081.0
2024_04_18,GVL,415.0,424.9,415.0,419.0,12724.0
2024_04_19,GVL,415.0,424.9,415.0,419.0,12724.0
2024_04_20,GVL,415.0,424.9,415.0,419.0,12724.0
2024_04_21,GVL,412.1,428.0,412.1,428.0,5998.0
2024_04_22,GVL,419.6,428.0,415.0,424.0,8216.0
2024_04_23,GVL,419.6,428.0,415.0,424.0,8216.0
2024_04_24,GVL,415.6,427.8,415.6,420.0,1890.0
2024_04_25,GVL,415.0,420.0,413.0,420.0,3956.0
2024_04_26,GVL,415.0,420.0,413.0,420.0,3956.0
2024_04_27,GVL,415.0,420.0,413.0,420.0,3956.0
2024_04_28,GVL,414.0,428.0,407.7,415.0,10195.0
2024_04_29,GVL,410.2,419.0,410.2,410.3,3324.0
2024_04_30,GVL,402.4,426.0,402.4,414.0,17671.0
2024_05_01,GVL,402.4,426.0,402.4,414.0,17671.0
