Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,HEI,549.0,584.3,549.0,575.0,36531.0
2024_03_09,HEI,549.0,584.3,549.0,575.0,36531.0
2024_03_11,HEI,566.0,593.0,566.0,591.0,34007.0
2024_03_15,HEI,610.0,610.1,590.0,595.0,27261.0
2024_03_16,HEI,610.0,610.1,590.0,595.0,27261.0
2024_03_22,HEI,597.4,605.0,590.3,592.0,13534.0
2024_03_23,HEI,597.4,605.0,590.3,592.0,13534.0
2024_03_24,HEI,597.4,605.0,590.3,592.0,13534.0
2024_03_29,HEI,577.0,580.0,575.0,579.3,11282.0
2024_03_30,HEI,577.0,580.0,575.0,579.3,11282.0
2024_04_05,HEI,554.0,571.2,553.3,567.1,9730.0
2024_04_06,HEI,554.0,571.2,553.3,567.1,9730.0
2024_04_08,HEI,575.0,580.0,563.5,580.0,10620.0
2024_04_11,HEI,602.6,608.0,590.0,591.0,26400.0
2024_04_12,HEI,602.6,608.0,590.0,591.0,26400.0
2024_04_13,HEI,602.6,608.0,590.0,591.0,26400.0
2024_04_17,HEI,567.2,584.1,567.0,582.0,10942.0
2024_04_19,HEI,571.1,579.9,567.0,568.0,10143.0
2024_04_20,HEI,571.1,579.9,567.0,568.0,10143.0
2024_04_23,HEI,575.0,583.7,570.0,581.8,5141.0
2024_04_26,HEI,580.0,591.0,568.2,571.5,15617.0
2024_04_27,HEI,580.0,591.0,568.2,571.5,15617.0
2024_05_01,HEI,579.0,595.0,575.0,595.0,33791.0
2024_05_03,HEI,595.0,599.9,583.1,583.1,22938.0
2024_05_04,HEI,595.0,599.9,583.1,583.1,22938.0
2024_05_10,HEI,575.3,575.3,568.5,575.0,11110.0
2024_05_11,HEI,575.3,575.3,568.5,575.0,11110.0
2024_05_17,HEI,613.0,616.0,605.3,606.8,28048.0
2024_05_18,HEI,613.0,616.0,605.3,606.8,28048.0
2024_05_23,HEI,623.1,635.0,622.3,628.0,26126.0
2024_05_24,HEI,623.1,635.0,622.3,628.0,26126.0
2024_05_25,HEI,623.1,635.0,622.3,628.0,26126.0
2024_05_28,HEI,620.0,624.0,611.0,616.0,22830.0
2024_05_31,HEI,600.1,614.0,589.0,592.2,56733.0
2024_06_01,HEI,600.1,614.0,589.0,592.2,56733.0
2024_06_07,HEI,593.6,598.0,593.1,594.0,19299.0
2024_06_08,HEI,593.6,598.0,593.1,594.0,19299.0
2024_06_14,HEI,605.1,615.0,605.0,605.0,19094.0
2024_06_15,HEI,605.1,615.0,605.0,605.0,19094.0
2024_06_17,HEI,600.1,617.0,596.0,596.2,12265.0
2024_06_21,HEI,591.0,595.0,582.9,586.0,24986.0
2024_06_22,HEI,591.0,595.0,582.9,586.0,24986.0
2024_06_28,HEI,590.0,590.0,573.0,573.2,23806.0
2024_06_29,HEI,590.0,590.0,573.0,573.2,23806.0
2024_07_05,HEI,614.0,622.0,602.0,619.0,62393.0
2024_07_06,HEI,614.0,622.0,602.0,619.0,62393.0
2024_07_12,HEI,645.0,645.0,630.0,643.0,77586.0
2024_07_13,HEI,645.0,645.0,630.0,643.0,77586.0
2024_07_19,HEI,680.0,685.9,665.2,671.0,95683.0
2024_07_20,HEI,680.0,685.9,665.2,671.0,95683.0
2024_07_26,HEI,690.0,722.0,685.0,706.0,133621.0
2024_07_27,HEI,690.0,722.0,685.0,706.0,133621.0
2024_08_02,HEI,718.0,765.0,716.0,745.0,197827.0
2024_08_03,HEI,718.0,765.0,716.0,745.0,197827.0
2024_08_04,HEI,718.0,765.0,716.0,745.0,197827.0
2024_08_09,HEI,735.1,765.0,727.5,735.0,116332.0
2024_08_10,HEI,735.1,765.0,727.5,735.0,116332.0
2024_08_16,HEI,797.0,797.8,777.0,780.0,93541.0
2024_08_17,HEI,797.0,797.8,777.0,780.0,93541.0
2024_08_19,HEI,785.0,789.0,755.1,759.0,95280.0
2024_08_20,HEI,785.0,789.0,755.1,759.0,95280.0
2024_08_23,HEI,756.1,768.0,755.0,763.9,51496.0
2024_08_24,HEI,756.1,768.0,755.0,763.9,51496.0
2024_08_26,HEI,764.5,765.0,731.0,732.0,66969.0
2024_08_30,HEI,703.0,717.0,690.0,694.0,50768.0
2024_08_31,HEI,703.0,717.0,690.0,694.0,50768.0
2024_09_06,HEI,720.7,730.0,708.5,718.0,48305.0
2024_09_07,HEI,720.7,730.0,708.5,718.0,48305.0
2024_09_13,HEI,698.5,700.0,681.1,700.0,16773.0
2024_09_14,HEI,698.5,700.0,681.1,700.0,16773.0
2024_09_17,HEI,680.0,685.0,660.0,666.0,24904.0
2024_09_19,HEI,653.1,675.0,653.1,665.0,29371.0
2024_09_20,HEI,653.1,675.0,653.1,665.0,29371.0
