Date,Symbol,Open,High,Low,Close,Volume
2024_03_26,ILBSP,361.0,361.0,361.0,361.0,6000.0
2024_03_28,ILBSP,361.0,361.0,361.0,361.0,13258.0
2024_03_29,ILBSP,361.0,361.0,361.0,361.0,13258.0
2024_03_30,ILBSP,361.0,361.0,361.0,361.0,13258.0
2024_04_10,ILBSP,365.0,365.0,365.0,365.0,15000.0
2024_04_11,ILBSP,365.0,365.0,365.0,365.0,15000.0
2024_04_12,ILBSP,365.0,365.0,365.0,365.0,15000.0
2024_04_13,ILBSP,365.0,365.0,365.0,365.0,15000.0
2024_04_30,ILBSP,365.0,365.0,365.0,365.0,2000.0
2024_05_01,ILBSP,365.0,365.0,365.0,365.0,2000.0
2024_05_12,ILBSP,372.3,372.3,372.3,372.3,20000.0
2024_05_22,ILBSP,372.3,372.3,372.3,372.3,15540.0
2024_05_23,ILBSP,372.3,372.3,372.3,372.3,15540.0
2024_05_24,ILBSP,372.3,372.3,372.3,372.3,15540.0
2024_05_25,ILBSP,372.3,372.3,372.3,372.3,15540.0
2024_06_26,ILBSP,365.0,365.0,365.0,365.0,22510.0
2024_07_17,ILBSP,358.0,358.0,358.0,358.0,9629.0
2024_09_25,ILBSP,536.0,536.0,536.0,536.0,20000.0
2024_12_03,ILBSP,565.0,565.0,565.0,565.0,10000.0
2024_12_10,ILBSP,553.7,553.7,553.7,553.7,9000.0
2025_01_01,ILBSP,542.7,542.7,542.7,542.7,3887.0
2025_01_09,ILBSP,542.7,542.7,542.7,542.7,11812.0
2025_01_10,ILBSP,542.7,542.7,542.7,542.7,11812.0
2025_01_11,ILBSP,542.7,542.7,542.7,542.7,11812.0
2025_01_22,ILBSP,531.9,531.9,488.5,488.5,5000.0
2025_01_27,ILBSP,478.8,478.8,439.7,439.7,9258.0
2025_02_02,ILBSP,431.0,431.0,431.0,431.0,3000.0
2025_02_16,ILBSP,431.0,431.0,431.0,431.0,5800.0
2025_04_08,ILBSP,439.6,439.6,439.6,439.6,7010.0
2025_04_10,ILBSP,448.3,448.3,448.3,448.3,3048.0
2025_04_11,ILBSP,448.3,448.3,448.3,448.3,3048.0
2025_04_12,ILBSP,448.3,448.3,448.3,448.3,3048.0
2025_05_26,ILBSP,439.4,439.4,439.4,439.4,6000.0
