Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,JBBL,296.8,297.0,292.3,295.0,22246.0
2024_03_09,JBBL,296.8,297.0,292.3,295.0,22246.0
2024_03_11,JBBL,295.0,301.0,295.0,298.0,32045.0
2024_03_15,JBBL,305.9,306.0,298.0,298.1,29728.0
2024_03_16,JBBL,305.9,306.0,298.0,298.1,29728.0
2024_03_22,JBBL,302.0,304.0,298.2,300.0,40699.0
2024_03_23,JBBL,302.0,304.0,298.2,300.0,40699.0
2024_03_24,JBBL,302.0,304.0,298.2,300.0,40699.0
2024_03_29,JBBL,292.9,296.3,288.6,292.0,34604.0
2024_03_30,JBBL,292.9,296.3,288.6,292.0,34604.0
2024_04_05,JBBL,287.0,291.9,286.6,286.7,30800.0
2024_04_06,JBBL,287.0,291.9,286.6,286.7,30800.0
2024_04_08,JBBL,287.0,299.8,287.0,297.0,44481.0
2024_04_11,JBBL,303.0,303.0,292.1,294.0,26471.0
2024_04_12,JBBL,303.0,303.0,292.1,294.0,26471.0
2024_04_13,JBBL,303.0,303.0,292.1,294.0,26471.0
2024_04_17,JBBL,294.6,294.6,287.6,289.9,33050.0
2024_04_19,JBBL,285.0,286.0,280.3,281.0,34244.0
2024_04_20,JBBL,285.0,286.0,280.3,281.0,34244.0
2024_04_23,JBBL,285.1,286.0,279.0,280.0,29235.0
2024_04_26,JBBL,280.0,283.6,278.1,278.3,17781.0
2024_04_27,JBBL,280.0,283.6,278.1,278.3,17781.0
2024_05_01,JBBL,296.8,311.0,292.0,305.0,228092.0
2024_05_03,JBBL,305.0,308.9,293.5,294.6,86099.0
2024_05_04,JBBL,305.0,308.9,293.5,294.6,86099.0
2024_05_10,JBBL,285.1,292.0,285.1,292.0,48945.0
2024_05_11,JBBL,285.1,292.0,285.1,292.0,48945.0
2024_05_17,JBBL,298.0,300.0,292.3,295.9,31917.0
2024_05_18,JBBL,298.0,300.0,292.3,295.9,31917.0
2024_05_23,JBBL,300.0,302.5,296.5,298.0,54334.0
2024_05_24,JBBL,300.0,302.5,296.5,298.0,54334.0
2024_05_25,JBBL,300.0,302.5,296.5,298.0,54334.0
2024_05_28,JBBL,295.2,298.2,294.0,295.8,22155.0
2024_05_31,JBBL,291.0,292.0,288.8,291.0,42063.0
2024_06_01,JBBL,291.0,292.0,288.8,291.0,42063.0
2024_06_07,JBBL,286.2,288.9,285.5,286.0,22866.0
2024_06_08,JBBL,286.2,288.9,285.5,286.0,22866.0
