Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,JFL,375.0,375.0,364.3,369.9,5165.0
2024_03_09,JFL,375.0,375.0,364.3,369.9,5165.0
2024_03_11,JFL,376.9,376.9,369.4,370.2,7392.0
2024_03_15,JFL,385.0,396.7,378.0,385.0,17290.0
2024_03_16,JFL,385.0,396.7,378.0,385.0,17290.0
2024_03_22,JFL,390.0,410.0,390.0,394.0,35417.0
2024_03_23,JFL,390.0,410.0,390.0,394.0,35417.0
2024_03_24,JFL,390.0,410.0,390.0,394.0,35417.0
2024_03_29,JFL,379.0,389.5,378.1,386.9,7920.0
2024_03_30,JFL,379.0,389.5,378.1,386.9,7920.0
2024_04_05,JFL,388.9,388.9,381.2,382.0,5941.0
2024_04_06,JFL,388.9,388.9,381.2,382.0,5941.0
2024_04_08,JFL,380.1,420.2,380.0,420.2,133480.0
2024_04_11,JFL,471.4,483.0,453.0,462.0,96678.0
2024_04_12,JFL,471.4,483.0,453.0,462.0,96678.0
2024_04_13,JFL,471.4,483.0,453.0,462.0,96678.0
2024_04_17,JFL,432.0,440.6,426.6,429.0,23822.0
2024_04_19,JFL,437.5,456.8,436.0,439.0,47518.0
2024_04_20,JFL,437.5,456.8,436.0,439.0,47518.0
2024_04_23,JFL,450.0,457.0,431.4,433.2,19006.0
2024_04_26,JFL,455.0,471.0,448.5,455.0,68179.0
2024_04_27,JFL,455.0,471.0,448.5,455.0,68179.0
2024_05_01,JFL,527.3,568.0,520.0,535.0,164002.0
2024_05_03,JFL,540.0,558.0,521.1,545.0,94100.0
2024_05_04,JFL,540.0,558.0,521.1,545.0,94100.0
2024_05_10,JFL,526.9,539.9,515.0,516.0,76205.0
2024_05_11,JFL,526.9,539.9,515.0,516.0,76205.0
2024_05_17,JFL,505.7,550.0,500.0,510.0,37934.0
2024_05_18,JFL,505.7,550.0,500.0,510.0,37934.0
2024_05_23,JFL,550.6,569.9,541.0,544.0,101732.0
2024_05_24,JFL,550.6,569.9,541.0,544.0,101732.0
2024_05_25,JFL,550.6,569.9,541.0,544.0,101732.0
2024_05_28,JFL,519.0,544.0,519.0,530.0,30015.0
2024_05_31,JFL,554.9,571.2,544.1,559.9,242731.0
2024_06_01,JFL,554.9,571.2,544.1,559.9,242731.0
2024_06_07,JFL,570.0,600.0,556.0,569.9,87170.0
2024_06_08,JFL,570.0,600.0,556.0,569.9,87170.0
2024_06_14,JFL,543.0,563.0,540.0,540.0,121220.0
2024_06_15,JFL,543.0,563.0,540.0,540.0,121220.0
2024_06_17,JFL,550.0,552.7,536.2,546.8,111072.0
2024_06_21,JFL,543.9,566.4,543.9,555.0,74762.0
2024_06_22,JFL,543.9,566.4,543.9,555.0,74762.0
2024_06_28,JFL,570.0,599.0,570.0,585.0,135665.0
2024_06_29,JFL,570.0,599.0,570.0,585.0,135665.0
2024_07_05,JFL,674.0,682.0,643.0,649.9,134769.0
2024_07_06,JFL,674.0,682.0,643.0,649.9,134769.0
2024_07_12,JFL,681.1,755.8,681.1,755.8,164026.0
2024_07_13,JFL,681.1,755.8,681.1,755.8,164026.0
2024_07_19,JFL,731.1,777.7,710.6,724.0,244049.0
2024_07_20,JFL,731.1,777.7,710.6,724.0,244049.0
2024_07_26,JFL,732.0,733.0,717.0,717.5,119520.0
2024_07_27,JFL,732.0,733.0,717.0,717.5,119520.0
2024_08_02,JFL,855.0,879.0,799.7,815.0,209170.0
2024_08_03,JFL,855.0,879.0,799.7,815.0,209170.0
2024_08_04,JFL,855.0,879.0,799.7,815.0,209170.0
2024_08_09,JFL,729.1,740.0,710.0,715.0,153874.0
2024_08_10,JFL,729.1,740.0,710.0,715.0,153874.0
2024_08_16,JFL,806.0,820.0,755.0,763.0,158060.0
2024_08_17,JFL,806.0,820.0,755.0,763.0,158060.0
2024_08_19,JFL,748.0,808.0,726.0,749.9,158451.0
2024_08_20,JFL,748.0,808.0,726.0,749.9,158451.0
2024_08_23,JFL,804.0,815.0,777.0,778.0,120611.0
2024_08_24,JFL,804.0,815.0,777.0,778.0,120611.0
2024_08_26,JFL,793.5,793.5,738.0,741.0,66643.0
2024_08_30,JFL,700.0,714.0,670.0,670.0,63963.0
2024_08_31,JFL,700.0,714.0,670.0,670.0,63963.0
2024_09_06,JFL,650.0,668.1,638.1,649.9,59155.0
2024_09_07,JFL,650.0,668.1,638.1,649.9,59155.0
2024_09_13,JFL,615.0,645.0,615.0,644.0,60948.0
2024_09_14,JFL,615.0,645.0,615.0,644.0,60948.0
2024_09_17,JFL,633.0,633.0,583.5,585.0,65225.0
2024_09_19,JFL,575.0,590.0,564.0,567.0,37935.0
2024_09_20,JFL,575.0,590.0,564.0,567.0,37935.0
2024_09_21,JFL,575.0,590.0,564.0,567.0,37935.0
2024_09_27,JFL,546.2,553.5,518.0,521.0,27144.0
2024_09_28,JFL,546.2,553.5,518.0,521.0,27144.0
2024_10_03,JFL,616.0,630.0,596.0,602.0,76093.0
2024_10_04,JFL,616.0,630.0,596.0,602.0,76093.0
2024_10_05,JFL,616.0,630.0,596.0,602.0,76093.0
2024_10_10,JFL,630.0,631.9,611.3,616.0,28170.0
2024_10_11,JFL,630.0,631.9,611.3,616.0,28170.0
2024_10_12,JFL,630.0,631.9,611.3,616.0,28170.0
2024_10_13,JFL,630.0,631.9,611.3,616.0,28170.0
2024_10_14,JFL,630.0,631.9,611.3,616.0,28170.0
2024_10_18,JFL,681.0,703.9,675.0,686.0,53534.0
2024_10_19,JFL,681.0,703.9,675.0,686.0,53534.0
2024_10_25,JFL,673.2,699.0,661.0,666.0,71661.0
2024_10_26,JFL,673.2,699.0,661.0,666.0,71661.0
2024_10_31,JFL,775.0,785.0,750.0,750.8,118125.0
2024_11_01,JFL,775.0,785.0,750.0,750.8,118125.0
2024_11_02,JFL,775.0,785.0,750.0,750.8,118125.0
2024_11_03,JFL,775.0,785.0,750.0,750.8,118125.0
2024_11_04,JFL,775.0,785.0,750.0,750.8,118125.0
2024_11_07,JFL,758.0,809.0,758.0,790.4,98919.0
2024_11_08,JFL,758.0,809.0,758.0,790.4,98919.0
2024_11_09,JFL,758.0,809.0,758.0,790.4,98919.0
2024_11_15,JFL,960.4,1038.0,955.0,984.9,359609.0
2024_11_16,JFL,960.4,1038.0,955.0,984.9,359609.0
2024_11_18,JFL,970.0,1083.3,927.1,1062.0,363922.0
2024_11_22,JFL,1050.9,1050.9,965.1,965.1,117885.0
2024_11_23,JFL,1050.9,1050.9,965.1,965.1,117885.0
2024_11_29,JFL,922.2,1035.1,856.9,1015.0,254625.0
2024_11_30,JFL,922.2,1035.1,856.9,1015.0,254625.0
2024_12_06,JFL,910.4,968.6,878.0,925.0,153492.0
2024_12_07,JFL,910.4,968.6,878.0,925.0,153492.0
2024_12_13,JFL,937.7,950.0,861.2,885.9,293919.0
2024_12_14,JFL,937.7,950.0,861.2,885.9,293919.0
2024_12_15,JFL,937.7,950.0,861.2,885.9,293919.0
2024_12_20,JFL,899.6,990.0,864.4,914.4,195572.0
