Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,KBL,146.8,146.8,142.0,144.0,50150.0
2024_03_09,KBL,146.8,146.8,142.0,144.0,50150.0
2024_03_11,KBL,146.8,146.8,142.0,145.0,70727.0
2024_03_15,KBL,150.8,150.8,145.0,145.4,74938.0
2024_03_16,KBL,150.8,150.8,145.0,145.4,74938.0
2024_03_22,KBL,144.6,144.6,140.0,140.6,60669.0
2024_03_23,KBL,144.6,144.6,140.0,140.6,60669.0
2024_03_24,KBL,144.6,144.6,140.0,140.6,60669.0
2024_03_29,KBL,141.8,141.8,138.0,138.9,138953.0
2024_03_30,KBL,141.8,141.8,138.0,138.9,138953.0
2024_04_05,KBL,139.5,139.5,135.2,136.0,69314.0
2024_04_06,KBL,139.5,139.5,135.2,136.0,69314.0
2024_04_08,KBL,138.7,138.7,133.1,137.0,123403.0
2024_04_11,KBL,140.4,140.4,135.0,137.7,72729.0
2024_04_12,KBL,140.4,140.4,135.0,137.7,72729.0
2024_04_13,KBL,140.4,140.4,135.0,137.7,72729.0
2024_04_17,KBL,137.8,137.8,133.8,134.8,102317.0
2024_04_19,KBL,137.4,137.4,132.8,135.0,85019.0
2024_04_20,KBL,137.4,137.4,132.8,135.0,85019.0
2024_04_23,KBL,136.1,136.1,132.0,132.8,83095.0
2024_04_26,KBL,135.5,135.5,132.0,134.0,102913.0
2024_04_27,KBL,135.5,135.5,132.0,134.0,102913.0
2024_05_01,KBL,135.8,135.8,132.0,134.5,97158.0
2024_05_03,KBL,137.1,137.1,131.5,133.0,121363.0
2024_05_04,KBL,137.1,137.1,131.5,133.0,121363.0
2024_05_10,KBL,133.0,133.0,129.6,132.0,63506.0
2024_05_11,KBL,133.0,133.0,129.6,132.0,63506.0
2024_05_17,KBL,141.7,141.7,135.3,137.0,124746.0
2024_05_18,KBL,141.7,141.7,135.3,137.0,124746.0
2024_05_23,KBL,144.0,157.0,144.0,154.0,447690.0
2024_05_24,KBL,144.0,157.0,144.0,154.0,447690.0
2024_05_25,KBL,144.0,157.0,144.0,154.0,447690.0
2024_05_28,KBL,150.5,152.1,148.0,150.5,174877.0
2024_05_31,KBL,148.9,148.9,142.0,143.0,121392.0
2024_06_01,KBL,148.9,148.9,142.0,143.0,121392.0
2024_06_07,KBL,143.8,143.8,138.3,140.0,59331.0
2024_06_08,KBL,143.8,143.8,138.3,140.0,59331.0
2024_06_14,KBL,144.8,144.8,139.0,142.0,70592.0
2024_06_15,KBL,144.8,144.8,139.0,142.0,70592.0
2024_06_17,KBL,139.2,141.4,139.0,140.0,67091.0
2024_06_21,KBL,140.7,140.7,136.9,137.8,162169.0
2024_06_22,KBL,140.7,140.7,136.9,137.8,162169.0
2024_06_28,KBL,136.9,136.9,134.5,136.0,46232.0
2024_06_29,KBL,136.9,136.9,134.5,136.0,46232.0
2024_07_05,KBL,143.0,143.5,140.1,142.0,174339.0
2024_07_06,KBL,143.0,143.5,140.1,142.0,174339.0
2024_07_12,KBL,147.0,150.2,145.2,147.0,372558.0
2024_07_13,KBL,147.0,150.2,145.2,147.0,372558.0
2024_07_19,KBL,165.0,178.8,162.0,178.1,1370389.0
2024_07_20,KBL,165.0,178.8,162.0,178.1,1370389.0
2024_07_26,KBL,189.7,195.4,189.7,193.1,575420.0
2024_07_27,KBL,189.7,195.4,189.7,193.1,575420.0
2024_08_02,KBL,226.4,226.4,216.0,216.1,920507.0
2024_08_03,KBL,226.4,226.4,216.0,216.1,920507.0
2024_08_04,KBL,226.4,226.4,216.0,216.1,920507.0
2024_08_09,KBL,212.1,212.1,206.0,206.0,569352.0
2024_08_10,KBL,212.1,212.1,206.0,206.0,569352.0
2024_08_16,KBL,237.2,258.5,237.2,256.0,2443832.0
2024_08_17,KBL,237.2,258.5,237.2,256.0,2443832.0
2024_08_19,KBL,261.1,272.9,253.0,259.0,2489844.0
2024_08_20,KBL,261.1,272.9,253.0,259.0,2489844.0
2024_08_23,KBL,258.9,264.0,256.0,256.9,749854.0
2024_08_24,KBL,258.9,264.0,256.0,256.9,749854.0
2024_08_26,KBL,256.9,257.0,244.0,245.0,1008179.0
2024_08_30,KBL,235.0,235.0,225.4,228.0,575938.0
2024_08_31,KBL,235.0,235.0,225.4,228.0,575938.0
2024_09_06,KBL,225.0,226.0,218.0,222.9,501227.0
2024_09_07,KBL,225.0,226.0,218.0,222.9,501227.0
2024_09_13,KBL,215.6,219.5,210.0,219.0,390210.0
2024_09_14,KBL,215.6,219.5,210.0,219.0,390210.0
2024_09_17,KBL,220.0,220.0,208.0,209.4,394514.0
2024_09_19,KBL,212.0,218.0,208.1,216.0,507270.0
2024_09_20,KBL,212.0,218.0,208.1,216.0,507270.0
2024_09_21,KBL,212.0,218.0,208.1,216.0,507270.0
2024_09_27,KBL,213.0,214.7,207.8,210.0,212755.0
2024_09_28,KBL,213.0,214.7,207.8,210.0,212755.0
2024_10_03,KBL,219.0,222.9,214.7,217.0,357244.0
2024_10_04,KBL,219.0,222.9,214.7,217.0,357244.0
2024_10_05,KBL,219.0,222.9,214.7,217.0,357244.0
2024_10_10,KBL,226.1,227.0,223.0,226.0,326983.0
2024_10_11,KBL,226.1,227.0,223.0,226.0,326983.0
2024_10_12,KBL,226.1,227.0,223.0,226.0,326983.0
2024_10_13,KBL,226.1,227.0,223.0,226.0,326983.0
2024_10_14,KBL,226.1,227.0,223.0,226.0,326983.0
2024_10_18,KBL,237.2,251.9,236.2,243.0,1359024.0
2024_10_19,KBL,237.2,251.9,236.2,243.0,1359024.0
2024_10_25,KBL,233.0,234.0,227.0,229.6,488269.0
2024_10_26,KBL,233.0,234.0,227.0,229.6,488269.0
2024_10_31,KBL,234.0,237.0,230.1,230.6,176375.0
2024_11_01,KBL,234.0,237.0,230.1,230.6,176375.0
2024_11_02,KBL,234.0,237.0,230.1,230.6,176375.0
2024_11_03,KBL,234.0,237.0,230.1,230.6,176375.0
2024_11_04,KBL,234.0,237.0,230.1,230.6,176375.0
2024_11_07,KBL,226.1,232.0,226.0,226.6,169602.0
2024_11_08,KBL,226.1,232.0,226.0,226.6,169602.0
2024_11_09,KBL,226.1,232.0,226.0,226.6,169602.0
2024_11_15,KBL,233.7,234.6,228.0,228.8,274053.0
2024_11_16,KBL,233.7,234.6,228.0,228.8,274053.0
2024_11_18,KBL,229.2,234.0,228.0,229.0,248566.0
2024_11_22,KBL,224.0,226.9,220.0,220.8,272994.0
2024_11_23,KBL,224.0,226.9,220.0,220.8,272994.0
2024_11_29,KBL,235.0,235.0,226.1,226.9,171958.0
2024_11_30,KBL,235.0,235.0,226.1,226.9,171958.0
2024_12_06,KBL,227.8,227.8,220.0,221.0,154089.0
2024_12_07,KBL,227.8,227.8,220.0,221.0,154089.0
2024_12_13,KBL,228.4,228.4,218.0,219.9,230808.0
2024_12_14,KBL,228.4,228.4,218.0,219.9,230808.0
2024_12_15,KBL,228.4,228.4,218.0,219.9,230808.0
2024_12_20,KBL,212.3,216.0,211.0,211.2,123891.0
2024_12_21,KBL,212.3,216.0,211.0,211.2,123891.0
2024_12_25,KBL,214.0,215.6,210.0,215.6,158037.0
2024_12_27,KBL,215.6,225.0,211.7,221.0,674638.0
2024_12_28,KBL,215.6,225.0,211.7,221.0,674638.0
2024_12_30,KBL,224.0,225.4,218.7,219.3,496350.0
2025_01_03,KBL,217.9,217.9,212.0,212.6,102194.0
2025_01_04,KBL,217.9,217.9,212.0,212.6,102194.0
2025_01_10,KBL,216.5,216.5,208.1,211.5,174940.0
2025_01_11,KBL,216.5,216.5,208.1,211.5,174940.0
2025_01_14,KBL,213.8,213.8,208.0,209.0,201041.0
2025_01_17,KBL,211.6,211.6,205.0,205.9,174065.0
2025_01_18,KBL,211.6,211.6,205.0,205.9,174065.0
2025_01_24,KBL,198.0,205.0,198.0,198.2,173949.0
2025_01_25,KBL,198.0,205.0,198.0,198.2,173949.0
2025_01_29,KBL,196.0,198.0,193.1,196.3,173515.0
2025_01_30,KBL,196.0,198.0,193.1,196.3,173515.0
2025_01_31,KBL,196.0,198.0,193.1,196.3,173515.0
2025_02_01,KBL,196.0,198.0,193.1,196.3,173515.0
2025_02_07,KBL,201.1,203.5,199.2,200.0,135811.0
2025_02_08,KBL,201.1,203.5,199.2,200.0,135811.0
2025_02_14,KBL,203.0,203.0,197.5,198.0,117662.0
2025_02_15,KBL,203.0,203.0,197.5,198.0,117662.0
2025_02_19,KBL,207.2,212.2,207.0,207.9,467431.0
2025_02_21,KBL,203.8,209.9,203.8,206.3,231140.0
2025_02_22,KBL,203.8,209.9,203.8,206.3,231140.0
2025_02_26,KBL,212.0,213.5,208.5,209.4,274303.0
2025_02_28,KBL,213.5,224.4,213.5,219.0,931755.0
2025_03_01,KBL,213.5,224.4,213.5,219.0,931755.0
2025_03_07,KBL,216.0,217.0,214.1,215.1,178603.0
2025_03_08,KBL,216.0,217.0,214.1,215.1,178603.0
2025_03_13,KBL,203.1,213.0,203.1,210.0,168522.0
2025_03_14,KBL,203.1,213.0,203.1,210.0,168522.0
2025_03_15,KBL,203.1,213.0,203.1,210.0,168522.0
