Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,LICN,1349.0,1365.0,1324.0,1325.1,1144.0
2024_03_09,LICN,1349.0,1365.0,1324.0,1325.1,1144.0
2024_03_11,LICN,1350.0,1434.0,1328.0,1370.0,1903.0
2024_03_15,LICN,1411.0,1411.1,1362.0,1362.3,3369.0
2024_03_16,LICN,1411.0,1411.1,1362.0,1362.3,3369.0
2024_03_22,LICN,1382.1,1382.1,1350.0,1356.2,1003.0
2024_03_23,LICN,1382.1,1382.1,1350.0,1356.2,1003.0
2024_03_24,LICN,1382.1,1382.1,1350.0,1356.2,1003.0
2024_03_29,LICN,1324.3,1360.0,1323.5,1356.0,1309.0
2024_03_30,LICN,1324.3,1360.0,1323.5,1356.0,1309.0
2024_04_05,LICN,1340.0,1350.1,1340.0,1350.0,1616.0
2024_04_06,LICN,1340.0,1350.1,1340.0,1350.0,1616.0
2024_04_08,LICN,1350.0,1359.0,1340.0,1340.1,1515.0
2024_04_11,LICN,1365.1,1370.0,1350.0,1352.0,1372.0
2024_04_12,LICN,1365.1,1370.0,1350.0,1352.0,1372.0
2024_04_13,LICN,1365.1,1370.0,1350.0,1352.0,1372.0
2024_04_17,LICN,1340.0,1340.0,1323.0,1323.2,670.0
2024_04_19,LICN,1310.0,1330.0,1310.0,1327.0,533.0
2024_04_20,LICN,1310.0,1330.0,1310.0,1327.0,533.0
2024_04_23,LICN,1349.0,1349.0,1316.2,1333.0,1398.0
2024_04_26,LICN,1306.0,1339.0,1306.0,1320.0,702.0
2024_04_27,LICN,1306.0,1339.0,1306.0,1320.0,702.0
2024_05_01,LICN,1305.0,1325.0,1305.0,1318.9,2838.0
2024_05_03,LICN,1325.0,1336.0,1285.0,1315.0,6616.0
2024_05_04,LICN,1325.0,1336.0,1285.0,1315.0,6616.0
2024_05_10,LICN,1275.0,1284.0,1250.0,1250.0,3045.0
2024_05_11,LICN,1275.0,1284.0,1250.0,1250.0,3045.0
2024_05_17,LICN,1312.0,1320.0,1287.1,1315.0,2749.0
2024_05_18,LICN,1312.0,1320.0,1287.1,1315.0,2749.0
2024_05_23,LICN,1351.1,1383.3,1351.1,1374.5,3873.0
2024_05_24,LICN,1351.1,1383.3,1351.1,1374.5,3873.0
2024_05_25,LICN,1351.1,1383.3,1351.1,1374.5,3873.0
2024_05_28,LICN,1375.0,1385.0,1369.0,1385.0,3175.0
2024_05_31,LICN,1361.0,1368.0,1351.0,1364.0,3544.0
2024_06_01,LICN,1361.0,1368.0,1351.0,1364.0,3544.0
2024_06_07,LICN,1399.7,1399.8,1352.4,1379.0,2281.0
2024_06_08,LICN,1399.7,1399.8,1352.4,1379.0,2281.0
2024_06_14,LICN,1371.0,1387.0,1348.3,1369.9,5508.0
2024_06_15,LICN,1371.0,1387.0,1348.3,1369.9,5508.0
2024_06_17,LICN,1350.2,1368.0,1350.2,1360.0,1740.0
2024_06_21,LICN,1355.1,1380.9,1333.1,1365.0,1253.0
2024_06_22,LICN,1355.1,1380.9,1333.1,1365.0,1253.0
2024_06_28,LICN,1355.2,1356.0,1335.0,1354.0,2058.0
2024_06_29,LICN,1355.2,1356.0,1335.0,1354.0,2058.0
2024_07_05,LICN,1369.0,1369.0,1350.0,1365.0,5273.0
2024_07_06,LICN,1369.0,1369.0,1350.0,1365.0,5273.0
2024_07_12,LICN,1389.0,1433.0,1387.9,1427.9,12418.0
2024_07_13,LICN,1389.0,1433.0,1387.9,1427.9,12418.0
2024_07_19,LICN,1500.0,1535.0,1500.0,1510.2,27881.0
2024_07_20,LICN,1500.0,1535.0,1500.0,1510.2,27881.0
2024_07_26,LICN,1570.0,1599.0,1560.1,1595.0,13145.0
