Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,LSL,161.3,169.0,161.3,169.0,7662.0
2024_03_05,LSL,166.1,168.0,160.1,162.9,51273.0
2024_03_06,LSL,166.1,166.1,160.0,161.9,54162.0
2024_03_07,LSL,160.0,165.0,160.0,163.0,110503.0
2024_03_08,LSL,160.0,165.0,160.0,163.0,110503.0
2024_03_09,LSL,160.0,165.0,160.0,163.0,110503.0
2024_03_10,LSL,165.0,165.0,162.1,162.1,38069.0
2024_03_11,LSL,165.0,165.0,162.1,162.1,38069.0
2024_03_12,LSL,162.1,165.6,162.1,165.6,45451.0
2024_03_13,LSL,168.8,169.3,165.0,166.2,45742.0
2024_03_14,LSL,169.5,169.5,163.0,166.6,92378.0
2024_03_15,LSL,169.5,169.5,163.0,166.6,92378.0
2024_03_16,LSL,169.5,169.5,163.0,166.6,92378.0
2024_03_17,LSL,163.3,168.0,163.3,165.0,64208.0
2024_03_18,LSL,164.0,167.0,162.1,165.9,31417.0
2024_03_19,LSL,167.0,167.0,162.8,162.8,18437.0
2024_03_20,LSL,163.0,165.0,161.1,162.0,28382.0
2024_03_21,LSL,160.1,162.0,160.1,161.5,34621.0
2024_03_22,LSL,160.1,162.0,160.1,161.5,34621.0
2024_03_23,LSL,160.1,162.0,160.1,161.5,34621.0
2024_03_24,LSL,160.1,162.0,160.1,161.5,34621.0
2024_03_25,LSL,160.0,161.0,158.8,158.8,25144.0
2024_03_26,LSL,159.0,160.0,157.5,160.0,25939.0
2024_03_27,LSL,160.0,162.0,158.0,158.0,27390.0
2024_03_28,LSL,158.0,168.6,157.0,160.0,34077.0
2024_03_29,LSL,158.0,168.6,157.0,160.0,34077.0
2024_03_30,LSL,158.0,168.6,157.0,160.0,34077.0
2024_03_31,LSL,161.0,161.0,157.8,160.0,37329.0
2024_04_01,LSL,157.2,158.0,156.9,157.0,44858.0
2024_04_02,LSL,160.1,160.1,156.0,156.8,20541.0
2024_04_03,LSL,155.1,158.0,154.5,155.5,76632.0
2024_04_04,LSL,155.1,156.0,153.6,153.6,41147.0
2024_04_05,LSL,155.1,156.0,153.6,153.6,41147.0
2024_04_06,LSL,155.1,156.0,153.6,153.6,41147.0
2024_04_07,LSL,153.0,154.0,150.0,153.0,80734.0
2024_04_08,LSL,153.0,154.0,150.0,153.0,80734.0
2024_04_09,LSL,154.5,155.2,151.7,153.2,35484.0
2024_04_10,LSL,153.0,155.4,152.2,152.2,64615.0
2024_04_11,LSL,153.0,155.4,152.2,152.2,64615.0
2024_04_12,LSL,153.0,155.4,152.2,152.2,64615.0
2024_04_13,LSL,153.0,155.4,152.2,152.2,64615.0
2024_04_14,LSL,154.4,154.4,151.0,152.8,64956.0
2024_04_15,LSL,155.0,155.0,150.0,150.9,41865.0
2024_04_16,LSL,153.4,153.4,149.0,150.0,35532.0
2024_04_17,LSL,153.4,153.4,149.0,150.0,35532.0
2024_04_18,LSL,152.8,152.8,149.1,150.9,193160.0
2024_04_19,LSL,152.8,152.8,149.1,150.9,193160.0
2024_04_20,LSL,152.8,152.8,149.1,150.9,193160.0
2024_04_21,LSL,152.0,152.0,147.9,150.0,115866.0
2024_04_22,LSL,152.0,152.0,148.0,148.7,88133.0
2024_04_23,LSL,152.0,152.0,148.0,148.7,88133.0
2024_04_24,LSL,147.0,149.2,146.0,149.0,171328.0
2024_04_25,LSL,149.0,150.9,147.0,148.0,123175.0
2024_04_26,LSL,149.0,150.9,147.0,148.0,123175.0
2024_04_27,LSL,149.0,150.9,147.0,148.0,123175.0
2024_04_28,LSL,148.0,150.9,145.1,149.0,189465.0
2024_04_29,LSL,151.9,151.9,145.0,148.8,91888.0
2024_04_30,LSL,151.7,151.7,145.9,149.3,40473.0
2024_05_01,LSL,151.7,151.7,145.9,149.3,40473.0
2024_05_02,LSL,152.2,152.2,147.0,147.2,37629.0
2024_05_03,LSL,152.2,152.2,147.0,147.2,37629.0
2024_05_04,LSL,152.2,152.2,147.0,147.2,37629.0
2024_05_05,LSL,147.0,149.0,146.1,146.7,33271.0
2024_05_06,LSL,148.0,148.0,144.9,146.5,42484.0
2024_05_07,LSL,146.0,147.8,145.0,145.2,28786.0
2024_05_08,LSL,145.0,146.0,144.4,144.9,35908.0
2024_05_09,LSL,145.0,146.2,143.6,146.2,39228.0
2024_05_10,LSL,145.0,146.2,143.6,146.2,39228.0
2024_05_11,LSL,145.0,146.2,143.6,146.2,39228.0
2024_05_12,LSL,149.1,149.1,143.8,146.5,60782.0
2024_05_13,LSL,145.0,161.1,144.3,153.9,108247.0
2024_05_14,LSL,152.0,156.9,150.0,156.9,110289.0
2024_05_15,LSL,157.9,157.9,152.2,154.0,63913.0
2024_05_16,LSL,157.0,163.7,153.0,157.0,98545.0
2024_05_17,LSL,157.0,163.7,153.0,157.0,98545.0
2024_05_18,LSL,157.0,163.7,153.0,157.0,98545.0
2024_05_19,LSL,160.1,164.9,157.0,162.0,190155.0
2024_05_20,LSL,164.3,173.4,162.0,166.7,212691.0
2024_05_21,LSL,165.0,170.2,165.0,168.5,86232.0
2024_05_22,LSL,168.5,177.0,166.2,172.0,229648.0
2024_05_23,LSL,168.5,177.0,166.2,172.0,229648.0
2024_05_24,LSL,168.5,177.0,166.2,172.0,229648.0
2024_05_25,LSL,168.5,177.0,166.2,172.0,229648.0
2024_05_26,LSL,172.0,174.9,168.6,170.0,146968.0
2024_05_27,LSL,171.0,171.9,164.0,168.5,126339.0
2024_05_28,LSL,171.0,171.9,164.0,168.5,126339.0
2024_05_29,LSL,171.0,171.8,163.1,163.5,113464.0
2024_05_30,LSL,164.0,166.7,156.9,158.0,142419.0
2024_05_31,LSL,164.0,166.7,156.9,158.0,142419.0
2024_06_01,LSL,164.0,166.7,156.9,158.0,142419.0
2024_06_02,LSL,161.0,165.7,159.3,163.0,73570.0
2024_06_03,LSL,164.5,165.0,159.6,165.0,145466.0
2024_06_04,LSL,165.0,165.0,162.0,163.1,90305.0
2024_06_05,LSL,163.0,164.0,160.0,162.6,218223.0
2024_06_06,LSL,164.2,164.2,157.0,160.4,135211.0
2024_06_07,LSL,164.2,164.2,157.0,160.4,135211.0
2024_06_08,LSL,164.2,164.2,157.0,160.4,135211.0
2024_06_09,LSL,163.6,163.6,156.4,156.5,48563.0
2024_06_10,LSL,159.6,159.6,155.0,157.0,38341.0
2024_06_11,LSL,160.1,160.1,152.3,159.5,202222.0
2024_06_12,LSL,160.2,161.9,159.0,160.0,180048.0
2024_06_13,LSL,157.0,161.0,157.0,160.0,60320.0
2024_06_14,LSL,157.0,161.0,157.0,160.0,60320.0
