Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,MFIL,508.2,517.0,505.0,512.5,21225.0
2024_03_09,MFIL,508.2,517.0,505.0,512.5,21225.0
2024_03_11,MFIL,514.0,520.0,510.0,515.2,18421.0
2024_03_15,MFIL,532.0,537.8,519.1,524.0,32686.0
2024_03_16,MFIL,532.0,537.8,519.1,524.0,32686.0
2024_03_22,MFIL,525.0,535.0,518.3,524.0,46533.0
2024_03_23,MFIL,525.0,535.0,518.3,524.0,46533.0
2024_03_24,MFIL,525.0,535.0,518.3,524.0,46533.0
2024_03_29,MFIL,511.0,513.0,501.3,507.5,31645.0
2024_03_30,MFIL,511.0,513.0,501.3,507.5,31645.0
2024_04_05,MFIL,504.5,504.5,486.1,497.0,40314.0
2024_04_06,MFIL,504.5,504.5,486.1,497.0,40314.0
2024_04_08,MFIL,500.0,523.2,493.0,520.0,49867.0
2024_04_11,MFIL,520.0,527.0,505.0,505.0,43607.0
2024_04_12,MFIL,520.0,527.0,505.0,505.0,43607.0
2024_04_13,MFIL,520.0,527.0,505.0,505.0,43607.0
2024_04_17,MFIL,503.5,507.0,499.0,501.0,12630.0
2024_04_19,MFIL,497.0,508.0,495.0,499.0,18154.0
2024_04_20,MFIL,497.0,508.0,495.0,499.0,18154.0
2024_04_23,MFIL,508.0,508.0,497.2,498.0,9876.0
2024_04_26,MFIL,506.9,517.0,500.3,504.9,27240.0
2024_04_27,MFIL,506.9,517.0,500.3,504.9,27240.0
2024_05_01,MFIL,530.0,554.0,530.0,538.0,173584.0
2024_05_03,MFIL,538.0,545.0,524.0,524.0,45773.0
2024_05_04,MFIL,538.0,545.0,524.0,524.0,45773.0
2024_05_10,MFIL,518.0,524.0,505.1,505.2,18407.0
2024_05_11,MFIL,518.0,524.0,505.1,505.2,18407.0
2024_05_17,MFIL,510.9,510.9,500.5,503.9,26583.0
2024_05_18,MFIL,510.9,510.9,500.5,503.9,26583.0
2024_05_23,MFIL,520.2,520.2,509.0,509.1,44711.0
2024_05_24,MFIL,520.2,520.2,509.0,509.1,44711.0
2024_05_25,MFIL,520.2,520.2,509.0,509.1,44711.0
2024_05_28,MFIL,518.1,518.1,503.0,506.5,30240.0
2024_05_31,MFIL,501.0,506.0,497.0,503.4,27857.0
2024_06_01,MFIL,501.0,506.0,497.0,503.4,27857.0
2024_06_07,MFIL,505.0,506.0,498.0,500.0,25978.0
2024_06_08,MFIL,505.0,506.0,498.0,500.0,25978.0
2024_06_14,MFIL,519.9,538.0,508.1,522.6,137367.0
2024_06_15,MFIL,519.9,538.0,508.1,522.6,137367.0
2024_06_17,MFIL,525.0,539.8,519.5,521.0,64803.0
2024_06_21,MFIL,524.9,530.0,517.3,520.0,40359.0
2024_06_22,MFIL,524.9,530.0,517.3,520.0,40359.0
2024_06_28,MFIL,542.0,546.7,530.2,530.2,41346.0
2024_06_29,MFIL,542.0,546.7,530.2,530.2,41346.0
2024_07_05,MFIL,606.7,640.5,600.0,620.0,230316.0
2024_07_06,MFIL,606.7,640.5,600.0,620.0,230316.0
2024_07_12,MFIL,615.0,615.0,603.0,604.0,67996.0
2024_07_13,MFIL,615.0,615.0,603.0,604.0,67996.0
2024_07_19,MFIL,655.0,660.0,635.0,635.0,164387.0
2024_07_20,MFIL,655.0,660.0,635.0,635.0,164387.0
2024_07_26,MFIL,659.0,666.0,640.0,649.0,91565.0
2024_07_27,MFIL,659.0,666.0,640.0,649.0,91565.0
2024_08_02,MFIL,755.0,800.0,755.0,768.0,211824.0
2024_08_03,MFIL,755.0,800.0,755.0,768.0,211824.0
2024_08_04,MFIL,755.0,800.0,755.0,768.0,211824.0
2024_08_09,MFIL,747.0,760.0,720.1,729.8,124850.0
2024_08_10,MFIL,747.0,760.0,720.1,729.8,124850.0
2024_08_16,MFIL,874.1,917.0,833.0,860.0,215453.0
2024_08_17,MFIL,874.1,917.0,833.0,860.0,215453.0
2024_08_19,MFIL,852.0,878.0,817.0,832.0,258800.0
2024_08_20,MFIL,852.0,878.0,817.0,832.0,258800.0
2024_08_23,MFIL,864.0,900.0,855.0,867.0,215605.0
2024_08_24,MFIL,864.0,900.0,855.0,867.0,215605.0
