Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,MLBBL,781.1,796.0,781.0,796.0,434.0
2024_03_09,MLBBL,781.1,796.0,781.0,796.0,434.0
2024_03_11,MLBBL,811.0,828.0,806.0,825.0,9745.0
2024_03_15,MLBBL,867.3,902.4,833.1,875.0,3590.0
2024_03_16,MLBBL,867.3,902.4,833.1,875.0,3590.0
2024_03_22,MLBBL,940.0,955.0,914.0,928.0,3238.0
2024_03_23,MLBBL,940.0,955.0,914.0,928.0,3238.0
2024_03_24,MLBBL,940.0,955.0,914.0,928.0,3238.0
2024_03_29,MLBBL,891.0,905.0,891.0,905.0,2563.0
2024_03_30,MLBBL,891.0,905.0,891.0,905.0,2563.0
2024_04_05,MLBBL,969.0,1015.0,969.0,989.0,11006.0
2024_04_06,MLBBL,969.0,1015.0,969.0,989.0,11006.0
2024_04_08,MLBBL,1008.0,1065.0,1000.0,1020.7,10267.0
2024_04_11,MLBBL,1020.0,1025.0,985.0,1000.0,7922.0
2024_04_12,MLBBL,1020.0,1025.0,985.0,1000.0,7922.0
2024_04_13,MLBBL,1020.0,1025.0,985.0,1000.0,7922.0
2024_04_17,MLBBL,1079.9,1080.0,1050.0,1064.0,4377.0
2024_04_19,MLBBL,1060.0,1060.0,1003.1,1014.0,7099.0
2024_04_20,MLBBL,1060.0,1060.0,1003.1,1014.0,7099.0
2024_04_23,MLBBL,1040.0,1071.0,1027.0,1050.6,3154.0
2024_04_26,MLBBL,1016.2,1038.4,1001.0,1036.0,1142.0
2024_04_27,MLBBL,1016.2,1038.4,1001.0,1036.0,1142.0
2024_05_01,MLBBL,1021.3,1096.0,1021.0,1058.0,3400.0
2024_05_03,MLBBL,1079.0,1137.0,1057.5,1130.0,12865.0
2024_05_04,MLBBL,1079.0,1137.0,1057.5,1130.0,12865.0
2024_05_10,MLBBL,1232.0,1232.0,1176.0,1182.0,4947.0
2024_05_11,MLBBL,1232.0,1232.0,1176.0,1182.0,4947.0
2024_05_17,MLBBL,1269.0,1380.0,1265.0,1350.0,19068.0
2024_05_18,MLBBL,1269.0,1380.0,1265.0,1350.0,19068.0
2024_05_23,MLBBL,1360.0,1360.0,1280.0,1305.0,8868.0
2024_05_24,MLBBL,1360.0,1360.0,1280.0,1305.0,8868.0
2024_05_25,MLBBL,1360.0,1360.0,1280.0,1305.0,8868.0
2024_05_28,MLBBL,1290.0,1302.0,1265.0,1290.0,9245.0
2024_05_31,MLBBL,1252.2,1256.0,1237.1,1248.0,3687.0
2024_06_01,MLBBL,1252.2,1256.0,1237.1,1248.0,3687.0
2024_06_07,MLBBL,1390.0,1430.0,1390.0,1400.0,20844.0
2024_06_08,MLBBL,1390.0,1430.0,1390.0,1400.0,20844.0
2024_06_14,MLBBL,1528.9,1528.9,1422.1,1479.0,19292.0
2024_06_15,MLBBL,1528.9,1528.9,1422.1,1479.0,19292.0
2024_06_17,MLBBL,1499.0,1499.0,1405.0,1424.9,7585.0
2024_06_21,MLBBL,1418.0,1418.0,1367.1,1394.0,1860.0
2024_06_22,MLBBL,1418.0,1418.0,1367.1,1394.0,1860.0
2024_06_28,MLBBL,1390.0,1435.0,1370.0,1395.0,15982.0
2024_06_29,MLBBL,1390.0,1435.0,1370.0,1395.0,15982.0
2024_07_05,MLBBL,1335.8,1417.0,1335.8,1380.0,7797.0
2024_07_06,MLBBL,1335.8,1417.0,1335.8,1380.0,7797.0
2024_07_12,MLBBL,1411.2,1427.0,1400.0,1413.0,14655.0
2024_07_13,MLBBL,1411.2,1427.0,1400.0,1413.0,14655.0
2024_07_19,MLBBL,1440.0,1476.0,1425.0,1448.0,11788.0
2024_07_20,MLBBL,1440.0,1476.0,1425.0,1448.0,11788.0
2024_07_26,MLBBL,1461.0,1530.0,1452.0,1530.0,16299.0
2024_07_27,MLBBL,1461.0,1530.0,1452.0,1530.0,16299.0
2024_08_02,MLBBL,1609.0,1633.0,1571.0,1632.5,12101.0
2024_08_03,MLBBL,1609.0,1633.0,1571.0,1632.5,12101.0
