Date,Symbol,Open,High,Low,Close,Volume
2024_03_05,MLBSL,1587.1,1640.0,1587.1,1619.9,1741.0
2024_03_06,MLBSL,1652.0,1652.0,1600.0,1602.0,647.0
2024_03_07,MLBSL,1633.0,1633.0,1600.0,1618.0,697.0
2024_03_08,MLBSL,1633.0,1633.0,1600.0,1618.0,697.0
2024_03_09,MLBSL,1633.0,1633.0,1600.0,1618.0,697.0
2024_03_10,MLBSL,1618.0,1723.0,1618.0,1700.0,1412.0
2024_03_11,MLBSL,1618.0,1723.0,1618.0,1700.0,1412.0
2024_03_12,MLBSL,1734.0,1768.6,1712.0,1750.0,956.0
2024_03_13,MLBSL,1785.0,1820.0,1755.0,1776.0,1563.0
2024_03_14,MLBSL,1805.0,1805.0,1705.0,1727.9,1424.0
2024_03_15,MLBSL,1805.0,1805.0,1705.0,1727.9,1424.0
2024_03_16,MLBSL,1805.0,1805.0,1705.0,1727.9,1424.0
2024_03_17,MLBSL,1729.0,1750.0,1671.0,1675.0,1039.0
2024_03_18,MLBSL,1675.0,1700.0,1650.0,1692.0,1353.0
2024_03_19,MLBSL,1721.0,1725.0,1691.1,1719.0,1309.0
2024_03_20,MLBSL,1750.0,1815.0,1716.0,1751.3,1842.0
2024_03_21,MLBSL,1785.0,1786.0,1684.0,1730.0,1810.0
2024_03_22,MLBSL,1785.0,1786.0,1684.0,1730.0,1810.0
2024_03_23,MLBSL,1785.0,1786.0,1684.0,1730.0,1810.0
2024_03_24,MLBSL,1785.0,1786.0,1684.0,1730.0,1810.0
2024_03_25,MLBSL,1730.0,1730.0,1640.0,1680.0,912.0
2024_03_26,MLBSL,1710.0,1715.0,1666.0,1700.0,1073.0
2024_03_27,MLBSL,1700.0,1700.0,1668.0,1670.0,520.0
2024_03_28,MLBSL,1703.0,1707.0,1617.0,1678.0,2082.0
2024_03_29,MLBSL,1703.0,1707.0,1617.0,1678.0,2082.0
2024_03_30,MLBSL,1703.0,1707.0,1617.0,1678.0,2082.0
2024_03_31,MLBSL,1661.0,1670.0,1661.0,1670.0,880.0
2024_04_01,MLBSL,1650.0,1682.9,1650.0,1675.0,1241.0
2024_04_02,MLBSL,1700.0,1700.0,1665.0,1685.0,1143.0
2024_04_03,MLBSL,1652.0,1740.0,1652.0,1710.0,819.0
2024_04_04,MLBSL,1740.0,1740.0,1708.0,1729.9,709.0
2024_04_05,MLBSL,1740.0,1740.0,1708.0,1729.9,709.0
2024_04_06,MLBSL,1740.0,1740.0,1708.0,1729.9,709.0
2024_04_07,MLBSL,1764.0,1797.0,1760.0,1779.6,2750.0
2024_04_08,MLBSL,1764.0,1797.0,1760.0,1779.6,2750.0
2024_04_09,MLBSL,1795.0,1809.0,1730.0,1750.0,1326.0
2024_04_10,MLBSL,1781.0,1781.0,1730.0,1739.0,1965.0
2024_04_11,MLBSL,1781.0,1781.0,1730.0,1739.0,1965.0
2024_04_12,MLBSL,1781.0,1781.0,1730.0,1739.0,1965.0
2024_04_13,MLBSL,1781.0,1781.0,1730.0,1739.0,1965.0
2024_04_14,MLBSL,1720.0,1745.0,1720.0,1735.0,1444.0
2024_04_15,MLBSL,1716.0,1750.0,1715.0,1746.0,559.0
2024_04_16,MLBSL,1746.0,1776.0,1741.1,1749.0,1477.0
2024_04_17,MLBSL,1746.0,1776.0,1741.1,1749.0,1477.0
2024_04_18,MLBSL,1720.0,1720.0,1682.0,1690.0,274.0
2024_04_19,MLBSL,1720.0,1720.0,1682.0,1690.0,274.0
2024_04_20,MLBSL,1720.0,1720.0,1682.0,1690.0,274.0
2024_04_21,MLBSL,1723.8,1749.8,1658.2,1749.0,684.0
2024_04_22,MLBSL,1749.0,1770.0,1685.0,1744.0,448.0
2024_04_23,MLBSL,1749.0,1770.0,1685.0,1744.0,448.0
2024_04_24,MLBSL,1715.0,1738.0,1677.0,1677.0,652.0
2024_04_25,MLBSL,1677.0,1776.0,1671.0,1690.0,190.0
2024_04_26,MLBSL,1677.0,1776.0,1671.0,1690.0,190.0
2024_04_27,MLBSL,1677.0,1776.0,1671.0,1690.0,190.0
2024_04_28,MLBSL,1690.0,1721.5,1647.0,1700.0,1628.0
2024_04_29,MLBSL,1690.0,1715.0,1681.3,1685.0,355.0
2024_04_30,MLBSL,1710.0,1718.0,1690.0,1699.0,1142.0
2024_05_01,MLBSL,1710.0,1718.0,1690.0,1699.0,1142.0
2024_05_02,MLBSL,1732.9,1750.0,1681.0,1736.0,1258.0
2024_05_03,MLBSL,1732.9,1750.0,1681.0,1736.0,1258.0
2024_05_04,MLBSL,1732.9,1750.0,1681.0,1736.0,1258.0
2024_05_05,MLBSL,1750.0,1759.0,1715.0,1734.0,1616.0
2024_05_06,MLBSL,1710.0,1745.0,1700.0,1700.0,852.0
2024_05_07,MLBSL,1676.0,1722.0,1676.0,1720.0,712.0
2024_05_08,MLBSL,1725.0,1750.0,1702.1,1738.9,1333.0
2024_05_09,MLBSL,1740.0,1759.9,1710.1,1735.0,605.0
2024_05_10,MLBSL,1740.0,1759.9,1710.1,1735.0,605.0
2024_05_11,MLBSL,1740.0,1759.9,1710.1,1735.0,605.0
2024_05_12,MLBSL,1767.0,1767.0,1700.3,1720.0,647.0
2024_05_13,MLBSL,1700.0,1730.0,1700.0,1725.0,487.0
2024_05_14,MLBSL,1705.0,1780.0,1702.0,1778.0,3060.0
2024_05_15,MLBSL,1813.0,1885.0,1813.0,1839.0,4851.0
2024_05_16,MLBSL,1860.0,2020.0,1803.5,1900.0,5844.0
2024_05_17,MLBSL,1860.0,2020.0,1803.5,1900.0,5844.0
2024_05_18,MLBSL,1860.0,2020.0,1803.5,1900.0,5844.0
2024_05_19,MLBSL,1900.0,2069.0,1900.0,1980.0,6704.0
2024_05_20,MLBSL,1980.0,2010.0,1902.5,1944.0,2460.0
2024_05_21,MLBSL,1978.0,1978.0,1915.0,1922.1,1623.0
2024_05_22,MLBSL,1960.0,1960.0,1880.0,1890.0,3212.0
2024_05_23,MLBSL,1960.0,1960.0,1880.0,1890.0,3212.0
2024_05_24,MLBSL,1960.0,1960.0,1880.0,1890.0,3212.0
2024_05_25,MLBSL,1960.0,1960.0,1880.0,1890.0,3212.0
2024_05_26,MLBSL,1886.0,1900.0,1861.0,1874.0,1671.0
2024_05_27,MLBSL,1870.0,1905.0,1865.5,1888.0,1348.0
2024_05_28,MLBSL,1870.0,1905.0,1865.5,1888.0,1348.0
2024_05_29,MLBSL,1925.7,1940.0,1850.0,1864.0,1415.0
2024_05_30,MLBSL,1900.0,1900.0,1807.0,1825.0,1928.0
2024_05_31,MLBSL,1900.0,1900.0,1807.0,1825.0,1928.0
2024_06_01,MLBSL,1900.0,1900.0,1807.0,1825.0,1928.0
2024_06_02,MLBSL,1812.0,1823.0,1811.0,1823.0,346.0
2024_06_03,MLBSL,1823.0,1884.0,1814.0,1884.0,2000.0
2024_06_04,MLBSL,1921.6,1921.6,1888.0,1917.0,1401.0
2024_06_05,MLBSL,1917.0,1954.0,1895.0,1925.0,1609.0
2024_06_06,MLBSL,1930.0,1940.0,1900.0,1900.0,2358.0
2024_06_07,MLBSL,1930.0,1940.0,1900.0,1900.0,2358.0
2024_06_08,MLBSL,1930.0,1940.0,1900.0,1900.0,2358.0
2024_06_09,MLBSL,1938.0,1938.0,1836.0,1896.0,1151.0
2024_06_10,MLBSL,1896.0,1896.0,1858.1,1883.0,654.0
2024_06_11,MLBSL,1883.1,1895.0,1868.0,1880.0,2897.0
2024_06_12,MLBSL,1915.0,1917.0,1880.0,1914.0,1674.0
2024_06_13,MLBSL,1915.0,1940.0,1880.0,1894.0,1403.0
2024_06_14,MLBSL,1915.0,1940.0,1880.0,1894.0,1403.0
2024_06_15,MLBSL,1915.0,1940.0,1880.0,1894.0,1403.0
2024_06_16,MLBSL,1930.0,1930.0,1880.0,1883.1,1168.0
2024_06_17,MLBSL,1930.0,1930.0,1880.0,1883.1,1168.0
2024_06_18,MLBSL,1920.0,1920.0,1862.2,1900.0,1740.0
2024_06_19,MLBSL,1930.0,1930.0,1865.0,1914.9,1614.0
2024_06_20,MLBSL,1942.0,1942.0,1887.0,1912.0,2467.0
2024_06_21,MLBSL,1942.0,1942.0,1887.0,1912.0,2467.0
2024_06_22,MLBSL,1942.0,1942.0,1887.0,1912.0,2467.0
2024_06_23,MLBSL,1944.0,1944.0,1900.0,1913.5,1473.0
2024_06_24,MLBSL,1943.0,1944.0,1875.3,1900.1,2076.0
2024_06_25,MLBSL,1938.0,1950.0,1900.0,1920.0,1037.0
2024_06_26,MLBSL,1950.0,1957.0,1900.0,1918.9,1538.0
2024_06_27,MLBSL,1953.0,1953.0,1880.6,1914.0,745.0
2024_06_28,MLBSL,1953.0,1953.0,1880.6,1914.0,745.0
2024_06_29,MLBSL,1953.0,1953.0,1880.6,1914.0,745.0
2024_06_30,MLBSL,1949.0,1949.0,1901.0,1919.8,1010.0
2024_07_01,MLBSL,1950.0,1950.0,1915.0,1930.0,1955.0
2024_07_02,MLBSL,1968.6,2007.0,1930.0,1964.0,1673.0
2024_07_03,MLBSL,1990.0,1998.0,1928.5,1998.0,3883.0
2024_07_04,MLBSL,1997.0,2029.0,1962.2,1977.8,1473.0
2024_07_05,MLBSL,1997.0,2029.0,1962.2,1977.8,1473.0
2024_07_06,MLBSL,1997.0,2029.0,1962.2,1977.8,1473.0
2024_07_07,MLBSL,1999.9,2000.0,1960.0,1985.0,1450.0
2024_07_08,MLBSL,1988.0,1988.0,1946.3,1960.1,725.0
2024_07_09,MLBSL,1988.0,2133.0,1943.0,2133.0,5514.0
2024_07_10,MLBSL,2150.0,2243.0,2107.0,2135.0,3912.0
2024_07_11,MLBSL,2145.0,2145.0,2075.0,2080.1,6616.0
2024_07_12,MLBSL,2145.0,2145.0,2075.0,2080.1,6616.0
2024_07_13,MLBSL,2145.0,2145.0,2075.0,2080.1,6616.0
2024_07_14,MLBSL,2120.0,2162.0,2039.0,2050.0,6442.0
2024_07_15,MLBSL,2050.0,2073.0,2009.0,2035.0,3015.0
2024_07_16,MLBSL,2035.0,2080.0,2000.0,2079.0,2999.0
2024_07_17,MLBSL,2110.0,2110.0,2049.0,2104.0,2765.0
2024_07_18,MLBSL,2104.0,2188.0,2070.0,2080.0,5930.0
2024_07_19,MLBSL,2104.0,2188.0,2070.0,2080.0,5930.0
2024_07_20,MLBSL,2104.0,2188.0,2070.0,2080.0,5930.0
2024_07_21,MLBSL,2080.2,2150.0,2080.1,2115.2,3944.0
2024_07_22,MLBSL,2149.0,2149.0,2058.0,2099.9,1977.0
2024_07_23,MLBSL,2099.9,2140.0,2090.0,2114.0,3582.0
2024_07_24,MLBSL,2114.0,2120.0,2071.8,2094.0,4711.0
2024_07_25,MLBSL,2135.0,2210.0,2080.0,2210.0,10513.0
2024_07_26,MLBSL,2135.0,2210.0,2080.0,2210.0,10513.0
2024_07_27,MLBSL,2135.0,2210.0,2080.0,2210.0,10513.0
2024_07_28,MLBSL,2250.0,2295.0,2147.0,2194.0,2721.0
2024_07_29,MLBSL,2159.0,2169.0,2100.0,2102.0,5064.0
2024_07_30,MLBSL,2140.0,2144.0,2073.0,2120.0,2766.0
2024_07_31,MLBSL,2160.0,2160.0,2110.0,2144.0,3213.0
2024_08_01,MLBSL,2150.0,2150.0,2058.1,2060.0,4477.0
2024_08_02,MLBSL,2150.0,2150.0,2058.1,2060.0,4477.0
2024_08_03,MLBSL,2150.0,2150.0,2058.1,2060.0,4477.0
2024_08_04,MLBSL,2150.0,2150.0,2058.1,2060.0,4477.0
2024_08_05,MLBSL,2101.2,2140.0,2058.5,2067.0,2410.0
2024_08_06,MLBSL,2050.0,2100.0,1999.2,2000.0,3774.0
2024_08_07,MLBSL,2000.0,2080.0,1980.1,2070.0,4737.0
2024_08_08,MLBSL,2090.0,2090.0,2070.1,2070.1,1996.0
2024_08_09,MLBSL,2090.0,2090.0,2070.1,2070.1,1996.0
2024_08_10,MLBSL,2090.0,2090.0,2070.1,2070.1,1996.0
2024_08_11,MLBSL,2111.5,2204.9,2111.5,2165.0,7549.0
2024_08_12,MLBSL,2208.3,2250.0,2200.0,2200.0,7867.0
2024_08_13,MLBSL,2220.0,2239.0,2195.0,2227.0,3954.0
