Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,MNBBL,357.9,357.9,351.0,351.0,11892.0
2024_03_09,MNBBL,357.9,357.9,351.0,351.0,11892.0
2024_03_11,MNBBL,357.0,360.0,353.3,356.0,17053.0
2024_03_15,MNBBL,365.0,372.0,361.8,364.0,29877.0
2024_03_16,MNBBL,365.0,372.0,361.8,364.0,29877.0
2024_03_22,MNBBL,366.0,366.0,360.1,361.0,27921.0
2024_03_23,MNBBL,366.0,366.0,360.1,361.0,27921.0
2024_03_24,MNBBL,366.0,366.0,360.1,361.0,27921.0
2024_03_29,MNBBL,350.0,350.0,344.0,345.3,21038.0
2024_03_30,MNBBL,350.0,350.0,344.0,345.3,21038.0
2024_04_05,MNBBL,338.0,340.0,335.5,336.1,23922.0
2024_04_06,MNBBL,338.0,340.0,335.5,336.1,23922.0
2024_04_08,MNBBL,336.0,343.0,336.0,342.9,29981.0
2024_04_11,MNBBL,349.0,349.0,343.0,343.0,16471.0
2024_04_12,MNBBL,349.0,349.0,343.0,343.0,16471.0
2024_04_13,MNBBL,349.0,349.0,343.0,343.0,16471.0
2024_04_17,MNBBL,340.1,342.0,339.1,339.1,15119.0
2024_04_19,MNBBL,340.0,340.7,335.1,337.0,17696.0
2024_04_20,MNBBL,340.0,340.7,335.1,337.0,17696.0
2024_04_23,MNBBL,340.0,343.8,337.0,338.0,9008.0
2024_04_26,MNBBL,336.0,339.5,333.5,337.8,21682.0
2024_04_27,MNBBL,336.0,339.5,333.5,337.8,21682.0
2024_05_01,MNBBL,342.0,367.2,338.0,360.0,184792.0
2024_05_03,MNBBL,367.2,367.2,354.0,355.0,37956.0
2024_05_04,MNBBL,367.2,367.2,354.0,355.0,37956.0
2024_05_10,MNBBL,344.0,349.8,343.0,345.3,19906.0
2024_05_11,MNBBL,344.0,349.8,343.0,345.3,19906.0
2024_05_17,MNBBL,359.9,359.9,346.0,347.0,28671.0
2024_05_18,MNBBL,359.9,359.9,346.0,347.0,28671.0
2024_05_23,MNBBL,344.0,360.0,344.0,356.0,46219.0
2024_05_24,MNBBL,344.0,360.0,344.0,356.0,46219.0
2024_05_25,MNBBL,344.0,360.0,344.0,356.0,46219.0
2024_05_28,MNBBL,359.0,359.0,351.0,352.1,24630.0
2024_05_31,MNBBL,350.0,350.0,345.1,345.5,15289.0
2024_06_01,MNBBL,350.0,350.0,345.1,345.5,15289.0
2024_06_07,MNBBL,343.2,346.8,341.3,342.1,27367.0
2024_06_08,MNBBL,343.2,346.8,341.3,342.1,27367.0
2024_06_14,MNBBL,349.0,357.0,347.2,353.0,53681.0
2024_06_15,MNBBL,349.0,357.0,347.2,353.0,53681.0
2024_06_17,MNBBL,354.0,355.9,347.1,348.3,25206.0
2024_06_21,MNBBL,344.0,345.0,340.0,340.2,27197.0
2024_06_22,MNBBL,344.0,345.0,340.0,340.2,27197.0
2024_06_28,MNBBL,344.0,344.0,340.0,344.0,23150.0
2024_06_29,MNBBL,344.0,344.0,340.0,344.0,23150.0
2024_07_05,MNBBL,355.0,369.0,352.0,360.0,135642.0
2024_07_06,MNBBL,355.0,369.0,352.0,360.0,135642.0
2024_07_12,MNBBL,369.2,369.2,361.4,365.9,68921.0
2024_07_13,MNBBL,369.2,369.2,361.4,365.9,68921.0
2024_07_19,MNBBL,397.0,419.3,387.0,415.0,243319.0
