Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,MSHL,600.0,612.0,594.3,601.0,1572.0
2024_03_09,MSHL,600.0,612.0,594.3,601.0,1572.0
2024_03_11,MSHL,610.0,637.5,602.0,619.9,1836.0
2024_03_15,MSHL,618.2,654.0,618.2,625.0,2806.0
2024_03_16,MSHL,618.2,654.0,618.2,625.0,2806.0
2024_03_22,MSHL,632.0,632.0,609.0,615.0,4564.0
2024_03_23,MSHL,632.0,632.0,609.0,615.0,4564.0
2024_03_24,MSHL,632.0,632.0,609.0,615.0,4564.0
2024_03_29,MSHL,615.2,645.0,615.2,638.0,1786.0
2024_03_30,MSHL,615.2,645.0,615.2,638.0,1786.0
2024_04_05,MSHL,603.0,614.8,603.0,605.2,1614.0
2024_04_06,MSHL,603.0,614.8,603.0,605.2,1614.0
2024_04_08,MSHL,605.3,610.0,605.0,605.1,1028.0
2024_04_11,MSHL,603.0,649.2,603.0,616.0,3045.0
2024_04_12,MSHL,603.0,649.2,603.0,616.0,3045.0
2024_04_13,MSHL,603.0,649.2,603.0,616.0,3045.0
2024_04_17,MSHL,691.6,691.6,645.1,658.0,3871.0
2024_04_19,MSHL,645.0,645.0,621.0,627.0,800.0
2024_04_20,MSHL,645.0,645.0,621.0,627.0,800.0
2024_04_23,MSHL,612.0,635.0,612.0,621.5,1362.0
2024_04_26,MSHL,620.0,642.0,611.0,630.0,1130.0
2024_04_27,MSHL,620.0,642.0,611.0,630.0,1130.0
2024_05_01,MSHL,620.0,640.0,620.0,637.0,1550.0
2024_05_03,MSHL,624.3,648.0,610.1,627.0,2138.0
2024_05_04,MSHL,624.3,648.0,610.1,627.0,2138.0
2024_05_10,MSHL,606.1,630.5,594.0,618.0,1964.0
2024_05_11,MSHL,606.1,630.5,594.0,618.0,1964.0
2024_05_17,MSHL,634.4,640.0,621.8,640.0,1788.0
2024_05_18,MSHL,634.4,640.0,621.8,640.0,1788.0
2024_05_23,MSHL,666.0,680.0,629.1,677.2,1567.0
2024_05_24,MSHL,666.0,680.0,629.1,677.2,1567.0
2024_05_25,MSHL,666.0,680.0,629.1,677.2,1567.0
2024_05_28,MSHL,632.1,681.0,632.1,640.0,2245.0
2024_05_31,MSHL,666.0,699.0,640.0,654.0,8386.0
2024_06_01,MSHL,666.0,699.0,640.0,654.0,8386.0
2024_06_07,MSHL,639.1,704.0,633.0,704.0,6980.0
2024_06_08,MSHL,639.1,704.0,633.0,704.0,6980.0
2024_06_14,MSHL,785.0,785.0,693.0,693.0,33365.0
2024_06_15,MSHL,785.0,785.0,693.0,693.0,33365.0
2024_06_17,MSHL,695.0,697.0,674.0,674.0,10693.0
2024_06_21,MSHL,668.1,680.7,652.0,655.0,3647.0
2024_06_22,MSHL,668.1,680.7,652.0,655.0,3647.0
2024_06_28,MSHL,657.5,670.0,655.0,665.0,5321.0
2024_06_29,MSHL,657.5,670.0,655.0,665.0,5321.0
2024_07_05,MSHL,655.0,674.0,650.6,658.0,10710.0
2024_07_06,MSHL,655.0,674.0,650.6,658.0,10710.0
2024_07_12,MSHL,657.0,669.0,646.0,658.0,6464.0
2024_07_13,MSHL,657.0,669.0,646.0,658.0,6464.0
2024_07_19,MSHL,710.0,731.0,689.0,708.0,28033.0
2024_07_20,MSHL,710.0,731.0,689.0,708.0,28033.0
2024_07_26,MSHL,705.6,715.0,705.6,714.0,13686.0
2024_07_27,MSHL,705.6,715.0,705.6,714.0,13686.0
2024_08_02,MSHL,745.0,784.0,745.0,775.0,17632.0
2024_08_03,MSHL,745.0,784.0,745.0,775.0,17632.0
2024_08_04,MSHL,745.0,784.0,745.0,775.0,17632.0
2024_08_09,MSHL,807.0,872.4,797.5,872.4,56878.0
2024_08_10,MSHL,807.0,872.4,797.5,872.4,56878.0
2024_08_16,MSHL,1038.8,1075.0,981.0,993.4,40133.0
2024_08_17,MSHL,1038.8,1075.0,981.0,993.4,40133.0
2024_08_19,MSHL,974.0,974.0,897.0,920.0,17025.0
2024_08_20,MSHL,974.0,974.0,897.0,920.0,17025.0
2024_08_23,MSHL,897.0,958.0,897.0,945.9,12239.0
2024_08_24,MSHL,897.0,958.0,897.0,945.9,12239.0
2024_08_26,MSHL,942.1,964.8,912.1,932.9,11577.0
2024_08_30,MSHL,994.0,1095.1,937.1,1080.0,29062.0
2024_08_31,MSHL,994.0,1095.1,937.1,1080.0,29062.0
2024_09_06,MSHL,940.0,945.0,908.0,914.0,3540.0
2024_09_07,MSHL,940.0,945.0,908.0,914.0,3540.0
2024_09_13,MSHL,978.0,978.0,948.0,970.0,8650.0
2024_09_14,MSHL,978.0,978.0,948.0,970.0,8650.0
2024_09_17,MSHL,949.0,964.0,933.0,936.0,5703.0
2024_09_19,MSHL,954.7,1012.9,927.1,935.0,4675.0
2024_09_20,MSHL,954.7,1012.9,927.1,935.0,4675.0
2024_09_21,MSHL,954.7,1012.9,927.1,935.0,4675.0
2024_09_27,MSHL,918.0,937.0,905.0,937.0,4835.0
2024_09_28,MSHL,918.0,937.0,905.0,937.0,4835.0
2024_10_03,MSHL,979.1,979.1,920.0,958.8,8367.0
2024_10_04,MSHL,979.1,979.1,920.0,958.8,8367.0
2024_10_05,MSHL,979.1,979.1,920.0,958.8,8367.0
2024_10_10,MSHL,1016.6,1141.0,933.6,1141.0,32675.0
2024_10_11,MSHL,1016.6,1141.0,933.6,1141.0,32675.0
2024_10_12,MSHL,1016.6,1141.0,933.6,1141.0,32675.0
2024_10_13,MSHL,1016.6,1141.0,933.6,1141.0,32675.0
2024_10_14,MSHL,1016.6,1141.0,933.6,1141.0,32675.0
2024_10_18,MSHL,950.6,1009.1,920.0,921.2,13311.0
2024_10_19,MSHL,950.6,1009.1,920.0,921.2,13311.0
2024_10_25,MSHL,920.0,929.0,920.0,925.0,3907.0
2024_10_26,MSHL,920.0,929.0,920.0,925.0,3907.0
2024_10_31,MSHL,945.7,1061.5,926.8,1061.5,14087.0
2024_11_01,MSHL,945.7,1061.5,926.8,1061.5,14087.0
2024_11_02,MSHL,945.7,1061.5,926.8,1061.5,14087.0
2024_11_03,MSHL,945.7,1061.5,926.8,1061.5,14087.0
2024_11_04,MSHL,945.7,1061.5,926.8,1061.5,14087.0
2024_11_07,MSHL,954.0,954.0,925.1,932.0,5745.0
2024_11_08,MSHL,954.0,954.0,925.1,932.0,5745.0
2024_11_09,MSHL,954.0,954.0,925.1,932.0,5745.0
2024_11_15,MSHL,925.2,965.0,925.0,958.0,14516.0
2024_11_16,MSHL,925.2,965.0,925.0,958.0,14516.0
2024_11_18,MSHL,950.0,1053.8,950.0,1025.0,80599.0
2024_11_22,MSHL,986.0,1011.0,970.0,999.0,45658.0
2024_11_23,MSHL,986.0,1011.0,970.0,999.0,45658.0
2024_11_29,MSHL,990.3,1000.0,970.1,988.9,9753.0
2024_11_30,MSHL,990.3,1000.0,970.1,988.9,9753.0
2024_12_06,MSHL,981.0,990.0,961.4,980.0,5476.0
2024_12_07,MSHL,981.0,990.0,961.4,980.0,5476.0
2024_12_13,MSHL,990.0,1063.0,990.0,1039.0,48640.0
2024_12_14,MSHL,990.0,1063.0,990.0,1039.0,48640.0
2024_12_15,MSHL,990.0,1063.0,990.0,1039.0,48640.0
2024_12_20,MSHL,975.1,1000.0,955.7,974.8,4443.0
2024_12_21,MSHL,975.1,1000.0,955.7,974.8,4443.0
2024_12_25,MSHL,968.0,1039.0,968.0,1009.0,7615.0
2024_12_27,MSHL,1009.0,1009.0,972.0,979.0,5057.0
2024_12_28,MSHL,1009.0,1009.0,972.0,979.0,5057.0
2024_12_30,MSHL,970.0,970.0,937.0,947.9,10330.0
2025_01_03,MSHL,906.0,949.0,906.0,937.1,3070.0
2025_01_04,MSHL,906.0,949.0,906.0,937.1,3070.0
2025_01_10,MSHL,948.0,960.0,923.0,931.0,7315.0
2025_01_11,MSHL,948.0,960.0,923.0,931.0,7315.0
2025_01_14,MSHL,920.0,950.0,913.0,935.0,4353.0
2025_01_17,MSHL,958.8,958.8,940.0,943.0,2264.0
2025_01_18,MSHL,958.8,958.8,940.0,943.0,2264.0
2025_01_24,MSHL,947.0,958.4,936.7,944.0,3874.0
2025_01_25,MSHL,947.0,958.4,936.7,944.0,3874.0
2025_01_29,MSHL,955.9,1013.8,941.2,989.0,29972.0
2025_01_30,MSHL,955.9,1013.8,941.2,989.0,29972.0
2025_01_31,MSHL,955.9,1013.8,941.2,989.0,29972.0
2025_02_01,MSHL,955.9,1013.8,941.2,989.0,29972.0
2025_02_07,MSHL,1089.3,1089.3,1020.0,1020.0,19936.0
2025_02_08,MSHL,1089.3,1089.3,1020.0,1020.0,19936.0
2025_02_14,MSHL,1117.0,1135.0,1096.0,1104.0,20187.0
2025_02_15,MSHL,1117.0,1135.0,1096.0,1104.0,20187.0
2025_02_19,MSHL,1050.0,1060.0,1029.0,1046.0,13541.0
2025_02_21,MSHL,1059.5,1059.5,1027.0,1046.0,12704.0
2025_02_22,MSHL,1059.5,1059.5,1027.0,1046.0,12704.0
2025_02_26,MSHL,1010.0,1027.1,1007.0,1009.0,9827.0
2025_02_28,MSHL,1015.0,1059.0,1005.3,1010.0,6850.0
2025_03_01,MSHL,1015.0,1059.0,1005.3,1010.0,6850.0
