Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,NIL,800.0,815.0,800.0,806.1,3240.0
2024_03_09,NIL,800.0,815.0,800.0,806.1,3240.0
2024_03_11,NIL,820.0,820.0,809.0,809.0,5522.0
2024_03_15,NIL,856.5,856.5,820.0,824.0,10606.0
2024_03_16,NIL,856.5,856.5,820.0,824.0,10606.0
2024_03_22,NIL,833.0,833.0,816.4,819.1,5005.0
2024_03_23,NIL,833.0,833.0,816.4,819.1,5005.0
2024_03_24,NIL,833.0,833.0,816.4,819.1,5005.0
2024_03_29,NIL,825.0,825.0,815.0,817.0,5070.0
2024_03_30,NIL,825.0,825.0,815.0,817.0,5070.0
2024_04_05,NIL,815.0,819.0,811.0,817.0,8626.0
2024_04_06,NIL,815.0,819.0,811.0,817.0,8626.0
2024_04_08,NIL,820.0,830.0,808.0,820.0,4563.0
2024_04_11,NIL,822.1,824.0,813.6,819.0,6548.0
2024_04_12,NIL,822.1,824.0,813.6,819.0,6548.0
2024_04_13,NIL,822.1,824.0,813.6,819.0,6548.0
2024_04_17,NIL,800.0,810.0,797.0,806.0,6131.0
2024_04_19,NIL,805.0,805.0,783.1,798.9,9356.0
2024_04_20,NIL,805.0,805.0,783.1,798.9,9356.0
2024_04_23,NIL,800.0,800.0,791.1,792.0,2841.0
2024_04_26,NIL,800.0,801.9,793.0,801.0,1955.0
2024_04_27,NIL,800.0,801.9,793.0,801.0,1955.0
2024_05_01,NIL,788.0,803.0,780.1,800.0,11828.0
2024_05_03,NIL,811.0,816.0,789.0,798.0,12677.0
2024_05_04,NIL,811.0,816.0,789.0,798.0,12677.0
2024_05_10,NIL,787.0,795.0,783.0,790.0,2833.0
2024_05_11,NIL,787.0,795.0,783.0,790.0,2833.0
2024_05_17,NIL,799.0,801.9,790.0,790.0,11214.0
2024_05_18,NIL,799.0,801.9,790.0,790.0,11214.0
2024_05_23,NIL,815.0,815.0,798.0,798.0,21190.0
2024_05_24,NIL,815.0,815.0,798.0,798.0,21190.0
2024_05_25,NIL,815.0,815.0,798.0,798.0,21190.0
2024_05_28,NIL,797.2,805.0,793.2,803.0,7728.0
2024_05_31,NIL,794.0,806.8,790.0,797.0,3787.0
2024_06_01,NIL,794.0,806.8,790.0,797.0,3787.0
2024_06_07,NIL,800.0,800.0,792.8,794.0,4426.0
2024_06_08,NIL,800.0,800.0,792.8,794.0,4426.0
2024_06_14,NIL,806.0,809.0,788.9,806.0,13953.0
2024_06_15,NIL,806.0,809.0,788.9,806.0,13953.0
2024_06_17,NIL,806.1,810.0,797.0,799.0,4715.0
2024_06_21,NIL,783.1,797.8,783.0,790.0,9483.0
2024_06_22,NIL,783.1,797.8,783.0,790.0,9483.0
2024_06_28,NIL,790.2,794.0,785.5,787.0,5927.0
2024_06_29,NIL,790.2,794.0,785.5,787.0,5927.0
2024_07_05,NIL,807.0,810.0,793.1,806.3,8835.0
2024_07_06,NIL,807.0,810.0,793.1,806.3,8835.0
2024_07_12,NIL,826.0,835.0,825.5,829.9,30558.0
2024_07_13,NIL,826.0,835.0,825.5,829.9,30558.0
2024_07_19,NIL,872.2,900.0,870.0,886.0,31295.0
2024_07_20,NIL,872.2,900.0,870.0,886.0,31295.0
2024_07_26,NIL,896.0,925.0,885.0,896.0,58066.0
2024_07_27,NIL,896.0,925.0,885.0,896.0,58066.0
2024_08_02,NIL,945.0,979.0,911.0,948.0,55977.0
2024_08_03,NIL,945.0,979.0,911.0,948.0,55977.0
2024_08_04,NIL,945.0,979.0,911.0,948.0,55977.0
2024_08_09,NIL,940.0,955.0,930.0,939.0,34466.0
2024_08_10,NIL,940.0,955.0,930.0,939.0,34466.0
2024_08_16,NIL,1030.0,1039.0,1010.0,1013.2,57818.0
2024_08_17,NIL,1030.0,1039.0,1010.0,1013.2,57818.0
2024_08_19,NIL,1030.0,1050.0,1000.2,1013.0,74635.0
2024_08_20,NIL,1030.0,1050.0,1000.2,1013.0,74635.0
2024_08_23,NIL,1015.0,1034.0,1000.0,1010.0,32010.0
2024_08_24,NIL,1015.0,1034.0,1000.0,1010.0,32010.0
2024_08_26,NIL,1000.0,1010.5,995.0,996.0,61709.0
2024_08_30,NIL,940.0,954.0,930.0,945.0,52944.0
2024_08_31,NIL,940.0,954.0,930.0,945.0,52944.0
