Date,Symbol,Open,High,Low,Close,Volume
2024_03_26,NLO,253.4,253.4,253.4,253.4,45.0
2024_07_18,NLO,258.4,263.5,258.4,263.5,172.0
2024_07_19,NLO,258.4,263.5,258.4,263.5,172.0
2024_07_20,NLO,258.4,263.5,258.4,263.5,172.0
2024_07_28,NLO,268.7,268.7,268.7,268.7,10.0
2024_09_04,NLO,274.0,274.0,274.0,274.0,10.0
2024_09_08,NLO,279.4,279.4,279.4,279.4,10.0
2024_09_10,NLO,284.9,284.9,284.9,284.9,117.0
2024_10_01,NLO,237.42,237.42,237.42,237.42,1.0
2024_10_20,NLO,242.1,242.1,242.1,242.1,19.0
2024_10_23,NLO,242.1,242.1,242.1,242.1,3.0
2024_11_19,NLO,242.1,242.1,242.1,242.1,36.0
2024_11_25,NLO,242.1,242.1,242.1,242.1,10.0
2024_12_17,NLO,242.1,242.1,242.1,242.1,3.0
2024_12_22,NLO,246.9,246.9,246.9,246.9,10.0
2024_12_31,NLO,251.8,251.8,251.8,251.8,10.0
2025_01_02,NLO,251.8,251.8,251.8,251.8,3.0
2025_01_03,NLO,251.8,251.8,251.8,251.8,3.0
2025_01_04,NLO,251.8,251.8,251.8,251.8,3.0
2025_02_06,NLO,251.8,251.8,251.8,251.8,10.0
2025_02_07,NLO,251.8,251.8,251.8,251.8,10.0
2025_02_08,NLO,251.8,251.8,251.8,251.8,10.0
2025_02_25,NLO,256.8,276.9,256.8,276.9,60.0
2025_02_26,NLO,256.8,276.9,256.8,276.9,60.0
2025_03_16,NLO,276.9,276.9,276.9,276.9,2.0
2025_03_20,NLO,276.9,276.9,276.9,276.9,1.0
2025_03_21,NLO,276.9,276.9,276.9,276.9,1.0
2025_03_22,NLO,276.9,276.9,276.9,276.9,1.0
2025_04_22,NLO,282.4,282.4,282.4,282.4,32.0
2025_05_25,NLO,282.4,282.4,282.4,282.4,1.0
2025_06_24,NLO,288.0,288.0,288.0,288.0,10.0
2025_07_06,NLO,293.2,293.2,293.2,293.2,10.0
