Date,Symbol,Open,High,Low,Close,Volume
2025_04_21,NMBHF2,10.0,10.0,9.08,9.23,10900.0
2025_04_22,NMBHF2,9.1,9.25,9.06,9.1,14100.0
2025_04_23,NMBHF2,9.0,9.14,8.93,9.05,8600.0
2025_04_24,NMBHF2,9.0,9.11,8.94,9.02,11600.0
2025_04_25,NMBHF2,9.0,9.11,8.94,9.02,11600.0
2025_04_26,NMBHF2,9.0,9.11,8.94,9.02,11600.0
2025_04_27,NMBHF2,8.93,9.12,8.93,9.09,10275.0
2025_04_28,NMBHF2,8.93,9.27,8.93,9.25,9312.0
2025_04_29,NMBHF2,9.07,9.15,9.01,9.04,5550.0
2025_04_30,NMBHF2,8.89,9.11,8.89,9.04,12060.0
2025_05_01,NMBHF2,8.89,9.11,8.89,9.04,12060.0
2025_05_02,NMBHF2,8.89,9.11,8.89,9.04,12060.0
2025_05_03,NMBHF2,8.89,9.11,8.89,9.04,12060.0
2025_05_04,NMBHF2,8.86,9.2,8.86,9.05,21510.0
2025_05_05,NMBHF2,8.95,9.06,8.88,9.05,17700.0
2025_05_06,NMBHF2,8.9,9.0,8.87,9.0,22844.0
2025_05_07,NMBHF2,9.0,9.06,8.82,8.9,26300.0
2025_05_08,NMBHF2,8.74,9.08,8.39,8.64,229600.0
2025_05_09,NMBHF2,8.74,9.08,8.39,8.64,229600.0
2025_05_10,NMBHF2,8.74,9.08,8.39,8.64,229600.0
2025_05_11,NMBHF2,8.47,8.81,8.45,8.47,22700.0
2025_05_12,NMBHF2,8.47,8.81,8.45,8.47,22700.0
2025_05_13,NMBHF2,8.34,8.91,8.34,8.47,74729.0
2025_05_14,NMBHF2,8.35,8.63,8.31,8.41,34500.0
2025_05_15,NMBHF2,8.33,8.59,8.25,8.46,42690.0
2025_05_16,NMBHF2,8.33,8.59,8.25,8.46,42690.0
2025_05_17,NMBHF2,8.33,8.59,8.25,8.46,42690.0
2025_05_18,NMBHF2,8.3,8.65,8.16,8.4,28000.0
2025_05_19,NMBHF2,8.34,8.61,8.34,8.4,13000.0
2025_05_20,NMBHF2,8.25,8.72,8.25,8.64,103510.0
2025_05_21,NMBHF2,8.64,8.98,8.47,8.57,14720.0
2025_05_22,NMBHF2,8.58,8.73,8.42,8.67,11550.0
2025_05_23,NMBHF2,8.58,8.73,8.42,8.67,11550.0
2025_05_24,NMBHF2,8.58,8.73,8.42,8.67,11550.0
2025_05_25,NMBHF2,8.5,8.8,8.5,8.57,15110.0
2025_05_26,NMBHF2,8.4,8.74,8.4,8.5,6780.0
2025_05_27,NMBHF2,8.34,8.58,8.34,8.43,9600.0
2025_05_28,NMBHF2,8.27,9.03,8.27,8.59,15200.0
2025_05_29,NMBHF2,8.27,9.03,8.27,8.59,15200.0
2025_05_30,NMBHF2,8.27,9.03,8.27,8.59,15200.0
2025_05_31,NMBHF2,8.27,9.03,8.27,8.59,15200.0
2025_06_01,NMBHF2,8.27,9.03,8.27,8.59,15200.0
2025_06_02,NMBHF2,8.43,8.5,8.33,8.5,11900.0
2025_06_03,NMBHF2,8.38,8.5,8.38,8.42,7910.0
2025_06_04,NMBHF2,8.27,8.74,8.27,8.51,18810.0
2025_06_05,NMBHF2,8.34,8.71,8.21,8.7,19600.0
2025_06_06,NMBHF2,8.34,8.71,8.21,8.7,19600.0
2025_06_07,NMBHF2,8.34,8.71,8.21,8.7,19600.0
2025_06_08,NMBHF2,8.53,8.69,8.5,8.66,15719.0
2025_06_09,NMBHF2,8.66,8.82,8.21,8.57,68570.0
2025_06_10,NMBHF2,8.73,8.73,8.42,8.55,502500.0
2025_06_11,NMBHF2,8.5,8.71,8.5,8.69,5940.0
2025_06_12,NMBHF2,8.52,8.57,8.52,8.55,9000.0
2025_06_13,NMBHF2,8.52,8.57,8.52,8.55,9000.0
2025_06_14,NMBHF2,8.52,8.57,8.52,8.55,9000.0
2025_06_15,NMBHF2,8.55,9.1,8.55,8.8,694834.0
2025_06_16,NMBHF2,8.63,8.9,8.5,8.67,5640.0
2025_06_17,NMBHF2,8.5,8.84,8.44,8.57,11900.0
2025_06_18,NMBHF2,8.45,8.94,8.45,8.7,6600.0
2025_06_19,NMBHF2,8.56,8.61,8.56,8.57,5300.0
2025_06_20,NMBHF2,8.56,8.61,8.56,8.57,5300.0
2025_06_21,NMBHF2,8.56,8.61,8.56,8.57,5300.0
2025_06_22,NMBHF2,8.56,8.65,8.42,8.65,34550.0
2025_06_23,NMBHF2,8.5,8.7,8.48,8.7,23230.0
2025_06_24,NMBHF2,8.53,8.7,8.43,8.69,8550.0
2025_06_25,NMBHF2,8.69,8.73,8.53,8.72,21410.0
2025_06_26,NMBHF2,8.89,9.06,8.44,8.77,11300.0
2025_06_27,NMBHF2,8.89,9.06,8.44,8.77,11300.0
2025_06_28,NMBHF2,8.89,9.06,8.44,8.77,11300.0
2025_06_29,NMBHF2,8.75,8.94,8.61,8.7,11350.0
2025_06_30,NMBHF2,8.7,8.98,8.61,8.8,4900.0
2025_07_01,NMBHF2,8.96,9.1,8.64,8.67,16800.0
2025_07_02,NMBHF2,8.5,8.67,8.5,8.65,3630.0
2025_07_03,NMBHF2,8.82,9.16,8.5,8.69,43700.0
2025_07_04,NMBHF2,8.82,9.16,8.5,8.69,43700.0
2025_07_05,NMBHF2,8.82,9.16,8.5,8.69,43700.0
2025_07_06,NMBHF2,8.55,9.0,8.55,8.91,16000.0
2025_07_07,NMBHF2,8.91,9.18,8.74,8.9,27860.0
2025_07_08,NMBHF2,8.73,8.99,8.63,8.98,5600.0
2025_07_09,NMBHF2,8.81,9.1,8.66,8.71,2700.0
2025_07_10,NMBHF2,8.8,9.0,8.8,8.99,2050.0
2025_07_11,NMBHF2,8.8,9.0,8.8,8.99,2050.0
2025_07_12,NMBHF2,8.8,9.0,8.8,8.99,2050.0
2025_07_13,NMBHF2,8.82,9.1,8.76,9.01,30500.0
2025_07_14,NMBHF2,9.19,9.19,8.75,9.01,9200.0
2025_07_15,NMBHF2,8.9,9.16,8.83,9.14,4000.0
2025_07_16,NMBHF2,9.0,9.5,8.92,9.06,536450.0
2025_07_17,NMBHF2,9.06,9.53,8.99,9.25,45450.0
2025_07_18,NMBHF2,9.06,9.53,8.99,9.25,45450.0
2025_07_19,NMBHF2,9.06,9.53,8.99,9.25,45450.0
2025_07_20,NMBHF2,9.09,9.6,9.08,9.13,122560.0
2025_07_21,NMBHF2,9.31,9.38,9.03,9.3,4700.0
2025_07_22,NMBHF2,9.3,9.48,9.13,9.17,36100.0
2025_07_23,NMBHF2,8.99,9.4,8.99,9.4,15700.0
2025_07_24,NMBHF2,9.22,9.58,9.22,9.26,13350.0
2025_07_25,NMBHF2,9.22,9.58,9.22,9.26,13350.0
2025_07_26,NMBHF2,9.22,9.58,9.22,9.26,13350.0
2025_07_27,NMBHF2,9.08,9.38,8.91,9.38,44898.0
2025_07_28,NMBHF2,9.38,9.51,9.03,9.19,12300.0
2025_07_29,NMBHF2,9.12,9.48,9.12,9.26,14400.0
2025_07_30,NMBHF2,9.44,9.44,9.12,9.31,28600.0
2025_07_31,NMBHF2,9.13,9.39,8.97,9.13,5100.0
2025_08_01,NMBHF2,9.13,9.39,8.97,9.13,5100.0
2025_08_02,NMBHF2,9.13,9.39,8.97,9.13,5100.0
2025_08_03,NMBHF2,9.13,9.31,8.79,8.92,16850.0
2025_08_04,NMBHF2,9.09,9.12,8.9,8.97,5400.0
2025_08_05,NMBHF2,9.14,9.14,8.8,9.1,6000.0
2025_08_06,NMBHF2,8.92,9.18,8.89,9.0,22410.0
2025_08_07,NMBHF2,9.1,9.27,8.92,9.09,3750.0
2025_08_08,NMBHF2,9.1,9.27,8.92,9.09,3750.0
2025_08_09,NMBHF2,9.1,9.27,8.92,9.09,3750.0
2025_08_10,NMBHF2,9.1,9.27,8.92,9.09,3750.0
2025_08_11,NMBHF2,9.25,9.25,8.8,8.86,26700.0
2025_08_12,NMBHF2,9.03,9.1,8.8,9.1,27310.0
2025_08_13,NMBHF2,8.93,9.12,8.93,9.05,4050.0
2025_08_14,NMBHF2,9.0,9.1,9.0,9.05,3600.0
2025_08_15,NMBHF2,9.0,9.1,9.0,9.05,3600.0
2025_08_16,NMBHF2,9.0,9.1,9.0,9.05,3600.0
2025_08_17,NMBHF2,9.0,9.05,8.92,9.01,6550.0
2025_08_18,NMBHF2,8.91,9.02,8.91,8.97,13100.0
2025_08_19,NMBHF2,8.91,9.18,8.85,9.04,19100.0
2025_08_20,NMBHF2,9.0,9.07,8.72,8.79,66300.0
2025_08_21,NMBHF2,8.8,9.12,8.8,8.86,14600.0
2025_08_22,NMBHF2,8.8,9.12,8.8,8.86,14600.0
2025_08_23,NMBHF2,8.8,9.12,8.8,8.86,14600.0
2025_08_24,NMBHF2,8.86,8.93,8.75,8.93,2450.0
2025_08_25,NMBHF2,8.77,8.94,8.77,8.85,2500.0
2025_08_26,NMBHF2,8.85,9.08,8.8,9.0,7750.0
2025_08_27,NMBHF2,9.18,9.18,8.83,9.02,7400.0
2025_08_28,NMBHF2,9.02,9.15,8.85,9.15,15200.0
2025_08_29,NMBHF2,9.02,9.15,8.85,9.15,15200.0
2025_08_30,NMBHF2,9.02,9.15,8.85,9.15,15200.0
2025_08_31,NMBHF2,8.97,9.0,8.97,9.0,4952.0
2025_09_01,NMBHF2,8.9,9.1,8.73,9.1,14180.0
2025_09_02,NMBHF2,8.92,8.92,8.76,8.86,2400.0
2025_09_03,NMBHF2,8.82,9.15,8.82,9.15,8950.0
2025_09_04,NMBHF2,8.97,9.3,8.91,8.91,7900.0
2025_09_05,NMBHF2,8.97,9.3,8.91,8.91,7900.0
2025_09_06,NMBHF2,8.97,9.3,8.91,8.91,7900.0
2025_09_07,NMBHF2,8.85,9.15,8.8,9.15,26700.0
2025_09_08,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_09,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_10,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_11,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_12,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_13,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_14,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_15,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_16,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_17,NMBHF2,8.98,9.1,8.98,9.0,3390.0
2025_09_21,NMBHF2,8.82,8.99,8.66,8.76,46422.0
2025_09_22,NMBHF2,8.82,8.99,8.66,8.76,46422.0
2025_09_23,NMBHF2,8.6,8.85,8.6,8.76,2710.0
2025_09_24,NMBHF2,8.75,8.93,8.75,8.82,3450.0
2025_09_25,NMBHF2,8.8,8.99,8.8,8.8,2450.0
2025_09_26,NMBHF2,8.8,8.99,8.8,8.8,2450.0
2025_09_27,NMBHF2,8.8,8.99,8.8,8.8,2450.0
2025_09_28,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_09_29,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_09_30,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_10_01,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_10_02,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_10_03,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_10_04,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_10_05,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_10_06,NMBHF2,8.95,9.14,8.93,9.09,22800.0
2025_10_07,NMBHF2,8.91,9.12,8.91,8.92,48930.0
2025_10_08,NMBHF2,8.91,9.09,8.8,9.09,31858.0
2025_10_09,NMBHF2,8.91,9.11,8.91,9.0,5610.0
2025_10_10,NMBHF2,8.91,9.11,8.91,9.0,5610.0
2025_10_11,NMBHF2,8.91,9.11,8.91,9.0,5610.0
2025_10_12,NMBHF2,8.82,9.14,8.8,9.14,4000.0
2025_10_13,NMBHF2,8.96,8.96,8.79,8.86,1000.0
2025_10_14,NMBHF2,8.74,8.91,8.74,8.89,4100.0
2025_10_15,NMBHF2,8.8,9.06,8.78,9.06,6100.0
2025_10_16,NMBHF2,8.88,8.9,8.73,8.85,5800.0
2025_10_17,NMBHF2,8.88,8.9,8.73,8.85,5800.0
2025_10_18,NMBHF2,8.88,8.9,8.73,8.85,5800.0
2025_10_19,NMBHF2,8.7,9.02,8.7,9.02,650.0
2025_10_20,NMBHF2,8.7,9.02,8.7,9.02,650.0
2025_10_21,NMBHF2,8.7,9.02,8.7,9.02,650.0
2025_10_22,NMBHF2,8.7,9.02,8.7,9.02,650.0
