Date,Symbol,Open,High,Low,Close,Volume
2025_04_08,NMIC,302.3,332.5,302.3,332.5,210.0
2025_04_09,NMIC,332.6,365.7,332.6,365.7,170.0
2025_04_10,NMIC,373.0,402.2,373.0,402.2,277.0
2025_04_11,NMIC,373.0,402.2,373.0,402.2,277.0
2025_04_12,NMIC,373.0,402.2,373.0,402.2,277.0
2025_04_13,NMIC,410.2,442.4,410.2,442.4,210.0
2025_04_14,NMIC,410.2,442.4,410.2,442.4,210.0
2025_04_15,NMIC,449.7,486.6,449.7,486.6,230.0
2025_04_16,NMIC,496.3,535.2,496.3,535.2,330.0
2025_04_17,NMIC,536.3,588.7,536.3,588.7,370.0
2025_04_18,NMIC,536.3,588.7,536.3,588.7,370.0
2025_04_19,NMIC,536.3,588.7,536.3,588.7,370.0
2025_04_20,NMIC,600.4,647.5,600.4,647.5,440.0
2025_04_21,NMIC,660.4,712.2,660.4,712.2,530.0
2025_04_22,NMIC,712.2,783.4,712.2,783.4,590.0
2025_04_23,NMIC,799.0,861.7,799.0,861.7,650.0
2025_04_24,NMIC,878.9,947.8,878.9,947.8,530.0
2025_04_25,NMIC,878.9,947.8,878.9,947.8,530.0
2025_04_26,NMIC,878.9,947.8,878.9,947.8,530.0
2025_04_27,NMIC,966.7,1042.5,966.7,1042.5,940.0
2025_04_28,NMIC,1042.0,1146.7,1042.0,1146.7,850.0
2025_04_29,NMIC,1169.6,1261.3,1169.6,1261.3,840.0
2025_04_30,NMIC,1238.5,1387.4,1238.5,1387.4,810.0
2025_05_01,NMIC,1238.5,1387.4,1238.5,1387.4,810.0
2025_05_02,NMIC,1238.5,1387.4,1238.5,1387.4,810.0
2025_05_03,NMIC,1238.5,1387.4,1238.5,1387.4,810.0
2025_05_04,NMIC,1387.6,1526.1,1387.6,1526.1,1410.0
2025_05_05,NMIC,1556.6,1678.7,1556.6,1678.7,1500.0
2025_05_06,NMIC,1712.0,1846.5,1712.0,1846.5,1540.0
2025_05_07,NMIC,1883.4,2031.1,1883.4,2031.1,4840.0
2025_05_08,NMIC,2071.7,2234.2,2071.7,2234.2,15950.0
2025_05_09,NMIC,2071.7,2234.2,2071.7,2234.2,15950.0
2025_05_10,NMIC,2071.7,2234.2,2071.7,2234.2,15950.0
2025_05_11,NMIC,2278.8,2457.6,2278.8,2457.6,29180.0
2025_05_12,NMIC,2278.8,2457.6,2278.8,2457.6,29180.0
2025_05_13,NMIC,2506.7,2703.3,2274.0,2304.7,217680.0
2025_05_14,NMIC,2305.0,2310.0,2080.1,2081.02,145890.0
2025_05_15,NMIC,2050.0,2255.0,1960.0,2190.06,59233.0
2025_05_16,NMIC,2050.0,2255.0,1960.0,2190.06,59233.0
2025_05_17,NMIC,2050.0,2255.0,1960.0,2190.06,59233.0
2025_05_18,NMIC,2146.3,2180.0,2018.0,2025.07,51818.0
2025_05_19,NMIC,2020.0,2060.0,1939.0,1955.69,59401.0
2025_05_20,NMIC,1956.0,1990.0,1891.0,1965.58,45780.0
2025_05_21,NMIC,2000.0,2040.0,1907.0,1913.7,27915.0
2025_05_22,NMIC,1890.0,2055.0,1872.0,1988.55,74610.0
2025_05_23,NMIC,1890.0,2055.0,1872.0,1988.55,74610.0
2025_05_24,NMIC,1890.0,2055.0,1872.0,1988.55,74610.0
2025_05_25,NMIC,1985.0,2023.0,1933.6,1992.7,35397.0
2025_05_26,NMIC,2032.5,2073.0,1936.5,1952.32,20489.0
2025_05_27,NMIC,1920.0,1940.0,1896.7,1899.79,22118.0
2025_05_28,NMIC,1900.0,1900.0,1805.0,1822.27,34583.0
2025_05_29,NMIC,1900.0,1900.0,1805.0,1822.27,34583.0
2025_05_30,NMIC,1900.0,1900.0,1805.0,1822.27,34583.0
2025_05_31,NMIC,1900.0,1900.0,1805.0,1822.27,34583.0
2025_06_01,NMIC,1900.0,1900.0,1805.0,1822.27,34583.0
2025_06_02,NMIC,1822.0,1854.0,1766.0,1823.42,67547.0
2025_06_03,NMIC,1823.0,1890.0,1800.0,1808.45,29581.0
2025_06_04,NMIC,1801.0,1835.0,1801.0,1822.85,23969.0
2025_06_05,NMIC,1820.1,1831.0,1766.3,1769.73,27046.0
2025_06_06,NMIC,1820.1,1831.0,1766.3,1769.73,27046.0
2025_06_07,NMIC,1820.1,1831.0,1766.3,1769.73,27046.0
2025_06_08,NMIC,1755.0,1755.0,1592.8,1595.79,57804.0
2025_06_09,NMIC,1595.0,1720.0,1536.0,1711.76,46686.0
2025_06_10,NMIC,1680.0,1820.0,1680.0,1794.47,35039.0
2025_06_11,NMIC,1830.0,1830.0,1725.0,1776.05,37091.0
2025_06_12,NMIC,1777.0,1795.5,1656.3,1676.88,29692.0
2025_06_13,NMIC,1777.0,1795.5,1656.3,1676.88,29692.0
2025_06_14,NMIC,1777.0,1795.5,1656.3,1676.88,29692.0
2025_06_15,NMIC,1650.1,1800.0,1650.1,1721.91,32045.0
2025_06_16,NMIC,1756.0,1756.0,1680.0,1680.71,13065.0
2025_06_17,NMIC,1680.0,1700.0,1646.7,1650.29,14120.0
2025_06_18,NMIC,1650.0,1703.4,1636.0,1651.26,16159.0
2025_06_19,NMIC,1630.1,1664.0,1578.0,1583.13,19737.0
2025_06_20,NMIC,1630.1,1664.0,1578.0,1583.13,19737.0
2025_06_21,NMIC,1630.1,1664.0,1578.0,1583.13,19737.0
2025_06_22,NMIC,1580.0,1640.0,1565.0,1610.02,35602.0
2025_06_23,NMIC,1607.0,1669.0,1576.0,1588.29,15124.0
2025_06_24,NMIC,1580.0,1614.0,1560.0,1566.31,13256.0
2025_06_25,NMIC,1570.0,1646.0,1561.3,1599.75,25556.0
2025_06_26,NMIC,1600.0,1621.0,1545.5,1562.4,15548.0
2025_06_27,NMIC,1600.0,1621.0,1545.5,1562.4,15548.0
2025_06_28,NMIC,1600.0,1621.0,1545.5,1562.4,15548.0
2025_06_29,NMIC,1593.6,1593.6,1535.0,1539.8,12591.0
2025_06_30,NMIC,1510.0,1649.9,1510.0,1613.24,25055.0
2025_07_01,NMIC,1613.0,1634.0,1585.0,1589.27,11319.0
2025_07_02,NMIC,1585.0,1620.0,1572.9,1579.88,12221.0
2025_07_03,NMIC,1560.0,1620.0,1560.0,1585.18,17321.0
2025_07_04,NMIC,1560.0,1620.0,1560.0,1585.18,17321.0
2025_07_05,NMIC,1560.0,1620.0,1560.0,1585.18,17321.0
2025_07_06,NMIC,1570.0,1625.0,1570.0,1573.58,14120.0
2025_07_07,NMIC,1600.0,1630.0,1578.1,1586.46,18218.0
2025_07_08,NMIC,1571.5,1601.0,1571.5,1582.28,6222.0
2025_07_09,NMIC,1582.0,1590.0,1570.0,1577.98,12345.0
2025_07_10,NMIC,1575.0,1590.0,1561.1,1566.66,12347.0
2025_07_11,NMIC,1575.0,1590.0,1561.1,1566.66,12347.0
2025_07_12,NMIC,1575.0,1590.0,1561.1,1566.66,12347.0
2025_07_13,NMIC,1597.9,1611.0,1555.0,1562.2,12136.0
2025_07_14,NMIC,1570.0,1570.0,1543.0,1544.88,10437.0
2025_07_15,NMIC,1546.0,1560.0,1525.1,1552.39,13423.0
2025_07_16,NMIC,1542.1,1575.0,1542.1,1559.4,15166.0
2025_07_17,NMIC,1545.0,1624.0,1545.0,1612.91,20790.0
2025_07_18,NMIC,1545.0,1624.0,1545.0,1612.91,20790.0
2025_07_19,NMIC,1545.0,1624.0,1545.0,1612.91,20790.0
2025_07_20,NMIC,1605.0,1750.0,1601.0,1732.81,55287.0
2025_07_21,NMIC,1730.0,1770.0,1682.1,1759.08,36273.0
2025_07_22,NMIC,1732.0,1762.0,1723.0,1755.71,19093.0
2025_07_23,NMIC,1725.1,1745.0,1725.1,1735.45,16219.0
2025_07_24,NMIC,1711.1,1744.0,1711.0,1718.72,22432.0
2025_07_25,NMIC,1711.1,1744.0,1711.0,1718.72,22432.0
2025_07_26,NMIC,1711.1,1744.0,1711.0,1718.72,22432.0
2025_07_27,NMIC,1708.0,1744.0,1688.0,1696.39,25569.0
2025_07_28,NMIC,1706.9,1707.0,1670.1,1684.07,15451.0
2025_07_29,NMIC,1687.0,1724.6,1656.0,1700.91,21645.0
2025_07_30,NMIC,1705.0,1720.0,1651.0,1670.64,14102.0
2025_07_31,NMIC,1660.0,1669.0,1640.0,1649.06,13709.0
