Date,Symbol,Open,High,Low,Close,Volume
2024_03_08,NTC,859.0,865.0,845.0,855.0,13007.0
2024_03_09,NTC,859.0,865.0,845.0,855.0,13007.0
2024_03_11,NTC,869.9,872.0,856.0,859.9,10552.0
2024_03_15,NTC,860.0,872.9,855.0,865.0,15738.0
2024_03_16,NTC,860.0,872.9,855.0,865.0,15738.0
2024_03_22,NTC,866.0,867.0,849.9,854.0,13948.0
2024_03_23,NTC,866.0,867.0,849.9,854.0,13948.0
2024_03_24,NTC,866.0,867.0,849.9,854.0,13948.0
2024_03_29,NTC,849.9,850.0,840.0,847.6,15889.0
2024_03_30,NTC,849.9,850.0,840.0,847.6,15889.0
2024_04_05,NTC,839.0,840.0,833.5,833.6,14947.0
2024_04_06,NTC,839.0,840.0,833.5,833.6,14947.0
2024_04_08,NTC,850.0,850.0,833.0,840.0,8488.0
2024_04_11,NTC,838.0,853.8,833.0,834.0,17949.0
2024_04_12,NTC,838.0,853.8,833.0,834.0,17949.0
2024_04_13,NTC,838.0,853.8,833.0,834.0,17949.0
2024_04_17,NTC,815.4,834.9,815.4,827.0,18794.0
2024_04_19,NTC,826.0,831.9,815.0,819.0,56097.0
2024_04_20,NTC,826.0,831.9,815.0,819.0,56097.0
2024_04_23,NTC,825.0,835.0,820.2,825.3,7505.0
2024_04_26,NTC,829.0,834.0,825.1,827.0,13183.0
2024_04_27,NTC,829.0,834.0,825.1,827.0,13183.0
2024_05_01,NTC,840.0,840.0,822.0,829.8,17323.0
2024_05_03,NTC,846.3,846.3,819.0,820.0,21453.0
2024_05_04,NTC,846.3,846.3,819.0,820.0,21453.0
2024_05_10,NTC,822.9,822.9,806.0,807.0,12325.0
2024_05_11,NTC,822.9,822.9,806.0,807.0,12325.0
2024_05_17,NTC,845.5,845.5,821.0,830.0,11964.0
2024_05_18,NTC,845.5,845.5,821.0,830.0,11964.0
2024_05_23,NTC,873.1,873.1,843.1,850.0,22913.0
2024_05_24,NTC,873.1,873.1,843.1,850.0,22913.0
2024_05_25,NTC,873.1,873.1,843.1,850.0,22913.0
2024_05_28,NTC,849.5,850.0,842.0,847.3,8660.0
2024_05_31,NTC,826.0,855.0,825.8,832.1,8298.0
2024_06_01,NTC,826.0,855.0,825.8,832.1,8298.0
2024_06_07,NTC,844.9,844.9,830.7,833.1,7218.0
2024_06_08,NTC,844.9,844.9,830.7,833.1,7218.0
2024_06_14,NTC,836.0,838.9,828.0,832.9,28220.0
2024_06_15,NTC,836.0,838.9,828.0,832.9,28220.0
2024_06_17,NTC,846.0,846.0,823.0,830.0,36497.0
2024_06_21,NTC,838.4,838.4,809.1,816.9,63408.0
2024_06_22,NTC,838.4,838.4,809.1,816.9,63408.0
2024_06_28,NTC,805.0,816.9,803.0,812.9,27286.0
2024_06_29,NTC,805.0,816.9,803.0,812.9,27286.0
2024_07_05,NTC,835.3,835.3,804.0,810.0,76731.0
2024_07_06,NTC,835.3,835.3,804.0,810.0,76731.0
2024_07_12,NTC,840.0,842.0,832.0,838.0,34297.0
2024_07_13,NTC,840.0,842.0,832.0,838.0,34297.0
2024_07_19,NTC,881.0,943.0,877.0,909.0,101101.0
2024_07_20,NTC,881.0,943.0,877.0,909.0,101101.0
2024_07_26,NTC,942.0,942.0,921.0,924.1,56996.0
2024_07_27,NTC,942.0,942.0,921.0,924.1,56996.0
2024_08_02,NTC,1026.0,1026.0,991.8,1000.0,144657.0
2024_08_03,NTC,1026.0,1026.0,991.8,1000.0,144657.0
2024_08_04,NTC,1026.0,1026.0,991.8,1000.0,144657.0
2024_08_09,NTC,1099.5,1109.0,1060.0,1064.0,117906.0
2024_08_10,NTC,1099.5,1109.0,1060.0,1064.0,117906.0
2024_08_16,NTC,1125.0,1125.0,1104.9,1113.9,220875.0
2024_08_17,NTC,1125.0,1125.0,1104.9,1113.9,220875.0
2024_08_19,NTC,1120.0,1124.0,1074.0,1080.0,222154.0
2024_08_20,NTC,1120.0,1124.0,1074.0,1080.0,222154.0
2024_08_23,NTC,1065.0,1082.5,1060.1,1068.0,94440.0
2024_08_24,NTC,1065.0,1082.5,1060.1,1068.0,94440.0
2024_08_26,NTC,1071.0,1075.0,1038.1,1039.0,92180.0
2024_08_30,NTC,1015.0,1015.0,988.2,992.1,68842.0
2024_08_31,NTC,1015.0,1015.0,988.2,992.1,68842.0
2024_09_06,NTC,985.0,1003.0,976.0,995.0,90926.0
2024_09_07,NTC,985.0,1003.0,976.0,995.0,90926.0
2024_09_13,NTC,984.3,987.0,960.1,985.0,27804.0
2024_09_14,NTC,984.3,987.0,960.1,985.0,27804.0
2024_09_17,NTC,980.0,980.0,941.0,946.9,38521.0
2024_09_19,NTC,950.0,955.0,939.0,942.0,34601.0
2024_09_20,NTC,950.0,955.0,939.0,942.0,34601.0
2024_09_21,NTC,950.0,955.0,939.0,942.0,34601.0
2024_09_27,NTC,930.0,932.0,912.0,912.0,25483.0
2024_09_28,NTC,930.0,932.0,912.0,912.0,25483.0
2024_10_03,NTC,956.0,979.0,950.0,955.0,20834.0
2024_10_04,NTC,956.0,979.0,950.0,955.0,20834.0
2024_10_05,NTC,956.0,979.0,950.0,955.0,20834.0
2024_10_10,NTC,985.0,994.9,985.0,988.0,14408.0
2024_10_11,NTC,985.0,994.9,985.0,988.0,14408.0
2024_10_12,NTC,985.0,994.9,985.0,988.0,14408.0
2024_10_13,NTC,985.0,994.9,985.0,988.0,14408.0
2024_10_14,NTC,985.0,994.9,985.0,988.0,14408.0
2024_10_18,NTC,1013.0,1023.0,995.0,1009.5,41341.0
2024_10_19,NTC,1013.0,1023.0,995.0,1009.5,41341.0
2024_10_25,NTC,995.0,997.0,977.0,977.0,19320.0
2024_10_26,NTC,995.0,997.0,977.0,977.0,19320.0
2024_10_31,NTC,1005.0,1005.0,976.1,980.1,10317.0
2024_11_01,NTC,1005.0,1005.0,976.1,980.1,10317.0
